ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1954,1954-09-26,1,23.045,BAL,,RAM,L 0-48,2,5,2.50,0,2,31,15.50,0,0,
2,1954,1954-10-02,2,23.051,BAL,,NYG,W 20-14,8,13,1.63,0,4,55,13.75,1,1,
3,1954,1954-10-10,3,23.059,BAL,@,CHI,L 9-28,5,17,3.40,0,5,45,9.00,0,0,
4,1954,1954-10-16,4,23.065,BAL,@,DET,L 0-35,6,61,10.17,0,1,5,5.00,0,0,
5,1954,1954-10-24,5,23.073,BAL,,GNB,L 6-7,3,8,2.67,0,3,5,1.67,0,0,
6,1954,1954-10-31,6,23.080,BAL,@,WAS,L 21-24,1,0,0.00,0,3,28,9.33,0,0,
7,1954,1954-11-06,7,23.086,BAL,,DET,L 3-27,7,0,0.00,0,2,16,8.00,0,0,
8,1954,1954-11-13,8,23.093,BAL,@,GNB,L 13-24,1,1,1.00,0,1,2,2.00,0,0,
9,1954,1954-11-21,9,23.101,BAL,,CHI,L 13-28,3,13,4.33,0,2,37,18.50,1,1,
10,1954,1954-11-28,10,23.108,BAL,,SFO,W 17-13,7,31,4.43,0,3,85,28.33,1,1,
11,1954,1954-12-04,11,23.114,BAL,@,RAM,W 22-21,12,8,0.67,0,1,3,3.00,0,0,
12,1954,1954-12-11,12,23.121,BAL,@,SFO,L 7-10,5,17,3.40,0,3,26,8.67,0,0,
13,1955,1955-09-25,1,24.044,BAL,,CHI,W 23-17,3,1,0.33,0,1,14,14.00,0,0,
14,1955,1955-10-23,5,24.072,BAL,,WAS,L 13-14,1,1,1.00,0,0,0,,0,0,
15,1956,1956-09-30,1,25.049,BAL,,CHI,W 28-21,0,0,,0,3,68,22.67,1,1,
16,1956,1956-10-14,3,25.063,BAL,@,GNB,L 33-38,1,10,10.00,0,1,19,19.00,0,0,
17,1956,1956-10-21,4,25.070,BAL,@,CHI,L 27-58,3,0,0.00,0,1,7,7.00,0,0,
18,1956,1956-10-28,5,25.077,BAL,,GNB,W 28-21,1,1,1.00,0,0,0,,0,0,
19,1956,1956-11-11,6,25.091,BAL,@,CLE,W 21-7,1,1,1.00,0,0,0,,0,0,
20,1956,1956-11-18,7,25.098,BAL,@,DET,L 3-27,0,0,,0,1,40,40.00,0,0,
21,1956,1956-11-25,8,25.105,BAL,,RAM,W 56-21,1,2,2.00,0,1,43,43.00,1,1,
22,1956,1956-12-02,9,25.112,BAL,,SFO,L 17-20,2,17,8.50,0,0,0,,0,0,
23,1956,1956-12-09,10,25.119,BAL,@,RAM,L 7-31,1,7,7.00,0,1,7,7.00,0,0,
24,1956,1956-12-16,11,25.126,BAL,@,SFO,L 17-30,3,14,4.67,0,1,-4,-4.00,0,0,
25,1956,1956-12-23,12,25.133,BAL,,WAS,W 19-17,7,20,2.86,0,0,0,,0,0,
26,1957,1957-10-13,3,26.062,BAL,@,GNB,W 45-17,4,16,4.00,0,0,0,,0,0,
27,1957,1957-10-20,4,26.069,BAL,@,DET,L 27-31,1,-1,-1.00,0,0,0,,0,0,
28,1957,1957-10-27,5,26.076,BAL,,GNB,L 21-24,0,0,,0,2,4,2.00,0,0,
29,1957,1957-11-03,6,26.083,BAL,,PIT,L 13-19,2,3,1.50,0,0,0,,0,0,
30,1957,1957-11-10,7,26.090,BAL,@,WAS,W 21-17,0,0,,0,2,9,4.50,0,0,
31,1957,1957-11-17,8,26.097,BAL,@,CHI,W 29-14,0,0,,0,1,12,12.00,0,0,
32,1957,1957-11-24,9,26.104,BAL,,SFO,W 27-21,0,0,,0,1,7,7.00,0,0,
33,1957,1957-12-15,12,26.125,BAL,@,RAM,L 21-37,0,0,,0,1,37,37.00,0,0,
34,1960,1960-09-10,1,29.029,LAC,,DTX,W 21-20,0,0,,0,7,92,13.14,0,0,0
35,1960,1960-09-18,2,29.037,LAC,@,HOU,L 28-38,0,0,,0,5,65,13.00,2,2,12
36,1960,1960-10-08,5,29.057,LAC,,BOS,L 0-35,0,0,,0,3,22,7.33,0,0,0
37,1960,1960-10-16,6,29.065,LAC,@,DEN,W 23-19,0,0,,0,4,57,14.25,0,0,0
38,1960,1960-11-04,8,29.084,LAC,@,NYT,W 21-7,0,0,,0,2,15,7.50,0,0,0
39,1960,1960-11-13,9,29.093,LAC,,HOU,W 24-21,0,0,,0,1,6,6.00,0,0,0
40,1960,1960-11-27,11,29.107,LAC,,OAK,W 52-28,0,0,,0,2,11,5.50,0,0,0
41,1960,1960-12-04,12,29.114,LAC,@,OAK,W 41-17,0,0,,0,3,12,4.00,1,1,6
42,1960,1960-12-10,13,29.120,LAC,,DEN,W 41-33,0,0,,0,3,20,6.67,1,1,6
43,1960,1960-12-18,14,29.128,LAC,,NYT,W 50-43,0,0,,0,2,16,8.00,0,0,0
