ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-14,2,22.258,SDG,@,DEN,L 38-39,,,,,,,
2,2008,2008-09-22,3,22.266,SDG,,NYJ,W 48-29,,,0,0,0.0,0,0
3,2008,2008-09-28,4,22.272,SDG,@,OAK,W 28-18,,,0,0,0.0,0,0
4,2008,2008-10-05,5,22.279,SDG,@,MIA,L 10-17,,,0,0,0.5,1,0
5,2008,2008-10-12,6,22.286,SDG,,NWE,W 30-10,,,0,0,0.0,0,2
6,2008,2008-10-19,7,22.293,SDG,@,BUF,L 14-23,,,,,,,
7,2008,2008-10-26,8,22.300,SDG,@,NOR,L 32-37,,,0,0,0.0,0,0
8,2008,2008-11-09,9,22.314,SDG,,KAN,W 20-19,,,0,0,0.0,0,0
9,2008,2008-11-16,10,22.321,SDG,@,PIT,L 10-11,,,,,,,
10,2008,2008-11-23,11,22.328,SDG,,IND,L 20-23,,,0,0,0.0,0,0
11,2008,2008-12-04,13,22.339,SDG,,OAK,W 34-7,,,0,0,0.0,2,0
12,2008,2008-12-14,14,22.349,SDG,@,KAN,W 22-21,,,0,0,0.0,4,1
13,2008,2008-12-21,15,22.356,SDG,@,TAM,W 41-24,,,0,0,0.0,1,0
14,2008,2008-12-28,16,22.363,SDG,,DEN,W 52-21,,,0,0,0.0,1,0
15,2009,2009-09-14,1,23.257,SDG,@,OAK,W 24-20,,,,,,,
16,2010,2010-09-13,1,24.256,SDG,@,KAN,L 14-21,,,0,0,0.0,0,0
17,2010,2010-09-19,2,24.262,SDG,,JAX,W 38-13,,,0,0,0.0,4,0
18,2010,2010-09-26,3,24.269,SDG,@,SEA,L 20-27,,,0,0,1.0,1,0
19,2010,2010-10-03,4,24.276,SDG,,ARI,W 41-10,*,,0,0,0.0,3,1
20,2010,2010-10-10,5,24.283,SDG,@,OAK,L 27-35,*,,0,0,0.0,1,0
21,2010,2010-10-17,6,24.290,SDG,@,STL,L 17-20,*,,0,0,0.0,2,1
22,2010,2010-10-24,7,24.297,SDG,,NWE,L 20-23,*,,0,0,0.0,5,0
23,2010,2010-10-31,8,24.304,SDG,,TEN,W 33-25,*,,0,0,0.0,1,1
24,2010,2010-11-07,9,24.311,SDG,@,HOU,W 29-23,*,,0,0,0.0,3,0
25,2010,2010-11-22,10,24.326,SDG,,DEN,W 35-14,*,,0,0,0.0,1,0
26,2010,2010-11-28,11,24.332,SDG,@,IND,W 36-14,*,,0,0,0.0,1,1
27,2010,2010-12-05,12,24.339,SDG,,OAK,L 13-28,*,,0,0,1.0,4,1
28,2010,2010-12-12,13,24.346,SDG,,KAN,W 31-0,*,,0,0,0.0,2,0
29,2010,2010-12-16,14,24.350,SDG,,SFO,W 34-7,*,,0,0,0.0,0,1
30,2010,2010-12-26,15,24.360,SDG,@,CIN,L 20-34,*,,0,0,0.0,4,5
31,2010,2011-01-02,16,25.002,SDG,@,DEN,W 33-28,*,,0,0,1.0,3,0
32,2011,2011-10-09,5,25.282,CAR,,NOR,L 27-30,,,0,0,0.0,2,0
33,2011,2011-10-16,6,25.289,CAR,@,ATL,L 17-31,,,0,0,0.0,3,0
34,2011,2011-10-23,7,25.296,CAR,,WAS,W 33-20,,,0,0,1.0,3,2
35,2011,2011-10-30,8,25.303,CAR,,MIN,L 21-24,,,0,0,0.0,3,1
36,2011,2011-11-13,9,25.317,CAR,,TEN,L 3-30,,,,,,,
37,2011,2011-11-20,10,25.324,CAR,@,DET,L 35-49,,,,,,,
38,2011,2011-11-27,11,25.331,CAR,@,IND,W 27-19,,,0,0,0.0,0,2
39,2011,2011-12-04,12,25.338,CAR,@,TAM,W 38-19,,,0,0,0.0,3,0
40,2011,2011-12-11,13,25.345,CAR,,ATL,L 23-31,,1,0,2,1.0,1,0
41,2011,2011-12-18,14,25.352,CAR,@,HOU,W 28-13,,,0,0,0.0,0,0
42,2011,2011-12-24,15,25.358,CAR,,TAM,W 48-16,,,0,0,0.0,1,0
43,2011,2012-01-01,16,26.001,CAR,@,NOR,L 17-45,*,,0,0,0.0,1,1
44,2012,2012-09-09,1,26.253,CAR,@,TAM,L 10-16,*,,0,0,0.0,0,1
45,2012,2012-09-16,2,26.260,CAR,,NOR,W 35-27,*,,0,0,0.0,0,1
46,2012,2012-09-20,3,26.264,CAR,,NYG,L 7-36,*,,,,,,
47,2012,2012-10-07,5,26.281,CAR,,SEA,L 12-16,,,0,0,1.0,1,3
48,2012,2012-10-21,6,26.295,CAR,,DAL,L 14-19,,,,,,,
