ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks
1,1987,1987-09-13,1,24.040,WAS,,PHI,W 34-24,,,,,
2,1987,1987-09-20,2,24.047,WAS,@,ATL,L 20-21,,,,,
3,1987,1987-10-25,6,24.082,WAS,,NYJ,W 17-16,,,,,
4,1987,1987-11-01,7,24.089,WAS,@,BUF,W 27-7,,,,,
5,1987,1987-11-08,8,24.096,WAS,@,PHI,L 27-31,,,,,
6,1987,1987-11-15,9,24.103,WAS,,DET,W 20-13,,,,,
7,1987,1987-11-23,10,24.111,WAS,,RAM,L 26-30,,,,,
8,1987,1987-11-29,11,24.117,WAS,,NYG,W 23-19,,,,,
9,1987,1987-12-06,12,24.124,WAS,@,STL,W 34-17,,,,,
10,1987,1987-12-13,13,24.131,WAS,,DAL,W 24-20,,,,,
11,1987,1987-12-20,14,24.138,WAS,@,MIA,L 21-23,,,,,
12,1987,1987-12-26,15,24.144,WAS,@,MIN,W 27-24,,,,,
13,1988,1988-09-05,1,25.032,WAS,@,NYG,L 20-27,0,0,,0,
14,1988,1988-09-11,2,25.038,WAS,,PIT,W 30-29,0,0,,0,
15,1988,1988-09-18,3,25.045,WAS,,PHI,W 17-10,0,0,,0,
16,1988,1988-09-25,4,25.052,WAS,@,PHO,L 21-30,0,0,,0,
17,1988,1988-10-02,5,25.059,WAS,,NYG,L 23-24,0,0,,0,
18,1988,1988-10-09,6,25.066,WAS,@,DAL,W 35-17,0,0,,0,
19,1988,1988-10-16,7,25.073,WAS,,PHO,W 33-17,0,0,,0,1.0
20,1988,1988-10-23,8,25.080,WAS,@,GNB,W 20-17,1,0,0.00,0,0.0
21,1988,1988-10-30,9,25.087,WAS,@,HOU,L 17-41,0,0,,0,
22,1988,1988-11-06,10,25.094,WAS,,NOR,W 27-24,0,0,,0,
23,1988,1988-11-13,11,25.101,WAS,,CHI,L 14-34,0,0,,0,
24,1988,1988-11-21,12,25.109,WAS,@,SFO,L 21-37,0,0,,0,
25,1988,1988-11-27,13,25.115,WAS,,CLE,L 13-17,0,0,,0,
