ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1971,1971-09-19,1,22.206,MIA,@,DEN,T 10-10,,,,,,,,,,
2,1971,1971-09-26,2,22.213,MIA,@,BUF,W 29-14,,,,,,,,,,
3,1971,1971-10-03,3,22.220,MIA,,NYJ,L 10-14,2,23,11.50,0,0,0,,0,0,0
4,1971,1971-10-10,4,22.227,MIA,@,CIN,W 23-13,,,,,,,,,,
5,1971,1971-10-17,5,22.234,MIA,,NWE,W 41-3,,,,,,,,,,
6,1971,1971-10-24,6,22.241,MIA,@,NYJ,W 30-14,,,,,,,,,,
7,1971,1971-11-07,8,22.255,MIA,,BUF,W 34-0,,,,,,,,,,
8,1971,1971-11-14,9,22.262,MIA,,PIT,W 24-21,,,,,,,,,,
9,1971,1971-11-21,10,22.269,MIA,,BAL,W 17-14,,,,,,,,,,
10,1971,1971-11-29,11,22.277,MIA,,CHI,W 34-3,1,13,13.00,1,0,0,,0,1,6
11,1971,1971-12-11,13,22.289,MIA,@,BAL,L 3-14,,,,,,,,,,
12,1971,1971-12-19,14,22.297,MIA,,GNB,W 27-6,2,32,16.00,0,0,0,,0,0,0
13,1972,1972-09-24,2,23.212,MIA,,HOU,W 34-13,,,,,,,,,,
14,1972,1972-10-08,4,23.226,MIA,@,NYJ,W 27-17,2,37,18.50,0,0,0,,0,0,0
15,1972,1972-11-05,8,23.254,MIA,@,BUF,W 30-16,,,,,,,,,,
16,1972,1972-11-12,9,23.261,MIA,,NWE,W 52-0,1,49,49.00,0,0,0,,0,0,0
17,1972,1972-11-19,10,23.268,MIA,,NYJ,W 28-24,2,31,15.50,0,0,0,,0,0,0
18,1972,1972-11-27,11,23.276,MIA,,STL,W 31-10,6,140,23.33,2,0,0,,0,2,12
19,1972,1972-12-03,12,23.282,MIA,@,NWE,W 37-21,,,,,,,,,,
20,1972,1972-12-10,13,23.289,MIA,@,NYG,W 23-13,,,,,,,,,,
21,1972,1972-12-16,14,23.295,MIA,,BAL,W 16-0,2,19,9.50,0,0,0,,0,0,0
22,1973,1973-09-16,1,24.203,DAL,@,CHI,W 20-17,1,21,21.00,1,0,0,,0,1,6
23,1973,1973-09-24,2,24.211,DAL,,NOR,W 40-3,1,16,16.00,0,0,0,,0,0,0
24,1973,1973-09-30,3,24.217,DAL,,STL,W 45-10,3,62,20.67,0,1,9,9.00,0,0,0
25,1973,1973-10-08,4,24.225,DAL,@,WAS,L 7-14,4,54,13.50,1,0,0,,0,1,6
26,1973,1973-10-14,5,24.231,DAL,@,RAM,L 31-37,6,86,14.33,2,1,14,14.00,0,2,12
27,1973,1973-10-21,6,24.238,DAL,,NYG,W 45-28,3,71,23.67,0,1,5,5.00,0,0,0
28,1973,1973-10-28,7,24.245,DAL,@,PHI,L 16-30,5,79,15.80,2,0,0,,0,2,12
29,1974,1974-09-15,1,25.202,DEN,,RAM,L 10-17,0,0,,0,1,1,1.00,0,0,0
30,1974,1974-09-30,3,25.217,DEN,@,WAS,L 3-30,,,,,,,,,,
31,1974,1974-10-13,5,25.230,DEN,,NOR,W 33-17,,,,,,,,,,
32,1974,1974-10-20,6,25.237,DEN,,SDG,W 27-7,,,,,,,,,,
33,1974,1974-10-27,7,25.244,DEN,@,CLE,L 21-23,,,,,,,,,,
34,1974,1974-11-10,9,25.258,DEN,@,BAL,W 17-6,,,,,,,,,,
35,1974,1974-11-18,10,25.266,DEN,,KAN,L 34-42,2,9,4.50,1,0,0,,0,1,6
36,1974,1974-12-08,13,25.286,DEN,,HOU,W 37-14,,,,,,,,,,
