ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1953,1953-09-27,1,23.001,CHI,@,BAL,L 9-13,,15,24,62.50,208,0,3,50.7,0,0,8.67,3.04,5,11,2.20,0,,,,,,,0,
2,1953,1953-10-04,2,23.008,CHI,@,GNB,W 17-13,,7,11,63.64,93,0,1,52.5,0,0,8.45,4.36,0,0,,0,,,,,,,0,
3,1953,1953-10-11,3,23.015,CHI,,BAL,L 14-16,,2,4,50.00,32,0,0,77.1,0,0,8.00,8.00,2,5,2.50,0,,,,,,,0,
4,1953,1953-10-18,4,23.022,CHI,,SFO,L 28-35,,1,6,16.67,11,0,0,39.6,0,0,1.83,1.83,0,0,,0,,,,,,,0,
5,1953,1953-11-01,6,23.036,CHI,@,SFO,L 14-24,,1,4,25.00,11,0,0,39.6,0,0,2.75,2.75,0,0,,0,,,,,,,0,
6,1953,1953-11-08,7,23.043,CHI,,GNB,T 21-21,,2,8,25.00,25,0,0,40.1,0,0,3.13,3.13,0,0,,0,,,,,,,0,
7,1953,1953-12-06,11,23.071,CHI,@,DET,L 7-13,,3,5,60.00,39,1,0,124.2,0,0,7.80,11.80,0,0,,0,,,,,,,0,
8,1953,1953-12-13,12,23.078,CHI,,CRD,L 17-24,,2,5,40.00,18,0,0,50.4,0,0,3.60,3.60,0,0,,0,,,,,,,0,
9,1956,1956-11-04,6,26.039,CLE,@,GNB,W 24-7,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,3,1.50,0,,,,,,,0,
10,1956,1956-11-11,7,26.046,CLE,,BAL,L 7-21,,5,12,41.67,57,0,0,56.6,0,0,4.75,4.75,2,3,1.50,0,,,,,,,0,
11,1956,1956-11-18,8,26.053,CLE,@,PHI,W 16-0,*,4,11,36.36,63,1,0,86.6,0,0,5.73,7.55,0,0,,0,,,,,,,0,
12,1956,1956-11-25,9,26.060,CLE,,WAS,L 17-20,*,6,12,50.00,48,0,1,25.7,0,0,4.00,0.25,1,3,3.00,0,,,,,,,0,
13,1956,1956-12-02,10,26.067,CLE,,PHI,W 17-14,*,9,18,50.00,115,2,2,67.8,0,0,6.39,3.61,4,-6,-1.50,0,,,,,,,0,
14,1956,1956-12-09,11,26.074,CLE,@,NYG,W 24-7,*,7,11,63.64,106,1,1,87.7,0,0,9.64,7.36,7,11,1.57,2,,,,,,,2,
15,1956,1956-12-16,12,26.081,CLE,,CRD,L 7-24,*,11,31,35.48,162,0,4,13.8,0,0,5.23,-0.58,8,26,3.25,0,,,,,,,0,
16,1957,1957-09-29,1,27.003,CLE,,NYG,W 6-3,*,4,8,50.00,46,0,0,67.7,0,0,5.75,5.75,1,-3,-3.00,0,,,,,,,0,
17,1957,1957-10-05,2,27.009,CLE,@,PIT,W 23-12,*,10,17,58.82,122,1,0,100.6,0,0,7.18,8.35,3,5,1.67,0,,,,,,,0,
18,1957,1957-10-13,3,27.017,CLE,,PHI,W 24-7,*,5,7,71.43,110,1,0,153.3,0,0,15.71,18.57,1,2,2.00,0,,,,,,,0,
19,1957,1957-10-20,4,27.024,CLE,@,PHI,L 7-17,*,6,12,50.00,116,0,3,44.4,0,0,9.67,-1.58,2,-14,-7.00,0,,,,,,,0,
20,1957,1957-10-27,5,27.031,CLE,@,CRD,W 17-7,,2,3,66.67,31,1,0,140.3,0,0,10.33,17.00,0,0,,0,,,,,,,0,
21,1957,1957-11-03,6,27.038,CLE,,WAS,W 21-17,*,8,12,66.67,122,0,1,65.3,0,0,10.17,6.42,2,3,1.50,1,,,,,,,1,
22,1957,1957-11-10,7,27.045,CLE,,PIT,W 24-0,*,7,11,63.64,156,2,1,108.9,0,0,14.18,13.73,1,7,7.00,0,,,,,,,0,
23,1957,1957-11-17,8,27.052,CLE,@,WAS,T 30-30,*,16,24,66.67,349,2,1,120.1,0,0,14.54,14.33,3,-12,-4.00,0,,,,,,,0,
24,1957,1957-11-24,9,27.059,CLE,,RAM,W 45-31,*,0,4,0.00,0,0,2,0.0,0,0,0.00,-22.50,0,0,,0,,,,,,,0,
25,1957,1957-12-01,10,27.066,CLE,,CRD,W 31-0,*,5,12,41.67,177,2,0,128.5,0,0,14.75,18.08,1,7,7.00,0,,,,,,,0,
26,1960,1960-09-11,1,29.351,BUF,@,NYT,L 3-27,*,2,10,20.00,37,0,1,2.9,0,0,3.70,-0.80,2,5,2.50,0,,,,,,,0,0
27,1960,1960-09-18,2,29.358,BUF,,DEN,L 21-27,*,13,23,56.52,218,2,5,78.1,0,0,9.48,1.43,1,1,1.00,0,,,,,,,0,0
28,1960,1960-09-23,3,29.363,BUF,@,BOS,W 13-0,,6,16,37.50,131,1,1,62.2,0,0,8.19,6.63,3,4,1.33,0,,,,,,,0,0
29,1960,1960-10-02,4,30.006,BUF,,LAC,L 10-24,*,8,14,57.14,53,0,3,25.9,0,0,3.79,-5.86,2,6,3.00,0,,,,,,,0,0
30,1960,1960-10-16,5,30.020,BUF,,NYT,L 13-17,,,,,,,,,,,,,,,,,,,,,,,,
31,1960,1960-10-23,6,30.027,BUF,,OAK,W 38-9,,,,,,,,,,,,,,,,,,,,,,,,
32,1960,1960-10-30,7,30.034,BUF,,HOU,W 25-24,,,,,,,,,,,,,,,,,,,,,,,,
33,1960,1960-11-06,8,30.041,BUF,,DTX,L 28-45,,8,16,50.00,170,1,0,108.9,0,0,10.63,11.88,0,0,,0,,,,,,,0,0
34,1960,1960-11-13,9,30.048,BUF,@,OAK,L 7-20,,7,10,70.00,87,0,0,96.7,0,0,8.70,8.70,3,-8,-2.67,1,,,,,,,1,6
