ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2004,2004-09-12,1,25.066,DAL,@,MIN,L 17-35,,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,98,32.67,0
2,2004,2004-09-19,2,25.073,DAL,,CLE,W 19-12,,0,0,,0,0,0,,0,0,0,,0,,,,3,119,39.67,0
3,2004,2004-09-27,3,25.081,DAL,@,WAS,W 21-18,,0,0,,0,0,0,,0,0,0,,0,,,,8,314,39.25,0
4,2004,2004-10-10,4,25.094,DAL,,NYG,L 10-26,,0,0,,0,0,0,,0,0,0,,0,,,,3,112,37.33,0
5,2004,2004-10-17,5,25.101,DAL,,PIT,L 20-24,,0,0,,0,0,0,,0,0,0,,0,,,,4,201,50.25,0
6,2004,2004-10-24,6,25.108,DAL,@,GNB,L 20-41,,0,0,,0,0,0,,0,0,0,,0,,,,5,182,36.40,0
7,2004,2004-10-31,7,25.115,DAL,,DET,W 31-21,,0,0,,0,0,0,,0,0,0,,0,,,,2,100,50.00,0
8,2004,2004-11-07,8,25.122,DAL,@,CIN,L 3-26,,0,0,,0,0,0,,0,0,0,,0,,,,4,192,48.00,0
9,2004,2004-11-15,9,25.130,DAL,,PHI,L 21-49,,0,0,,0,0,0,,0,0,0,,0,,,,7,309,44.14,0
10,2004,2004-11-21,10,25.136,DAL,@,BAL,L 10-30,,0,0,,0,0,0,,0,0,0,,0,,,,6,250,41.67,0
11,2004,2004-11-25,11,25.140,DAL,,CHI,W 21-7,,0,0,,0,0,0,,0,0,0,,0,,,,9,388,43.11,0
12,2004,2004-12-06,12,25.151,DAL,@,SEA,W 43-39,,0,0,,0,0,0,,0,0,0,,0,,,,3,110,36.67,0
13,2004,2004-12-12,13,25.157,DAL,,NOR,L 13-27,,0,0,,0,0,0,,0,0,0,,0,,,,5,245,49.00,0
14,2004,2004-12-19,14,25.164,DAL,@,PHI,L 7-12,,0,0,,0,0,0,,0,0,0,,0,,,,6,234,39.00,0
15,2004,2004-12-26,15,25.171,DAL,,WAS,W 13-10,,0,0,,0,0,0,,0,0,0,,0,,,,5,233,46.60,0
16,2004,2005-01-02,16,25.178,DAL,@,NYG,L 24-28,,0,0,,0,0,0,,0,0,0,,0,,,,2,95,47.50,0
17,2005,2005-09-11,1,26.065,DAL,@,SDG,W 28-24,,0,0,,0,0,0,,0,0,0,,,,,,3,124,41.33,0
18,2005,2005-09-19,2,26.073,DAL,,WAS,L 13-14,,0,0,,0,0,0,,0,0,0,,,,,,6,289,48.17,0
19,2005,2005-09-25,3,26.079,DAL,@,SFO,W 34-31,,0,0,,0,0,0,,0,0,0,,,,,,3,126,42.00,0
20,2005,2005-10-02,4,26.086,DAL,@,OAK,L 13-19,,0,0,,0,0,0,,0,0,0,,,,,,5,224,44.80,0
21,2005,2005-10-09,5,26.093,DAL,,PHI,W 33-10,,0,0,,0,0,0,,0,0,0,,,,,,2,82,41.00,0
22,2005,2005-10-16,6,26.100,DAL,,NYG,W 16-13,,0,0,,0,0,0,,0,0,0,,,,,,3,121,40.33,0
23,2005,2005-10-23,7,26.107,DAL,@,SEA,L 10-13,,0,0,,0,0,0,,0,0,0,,,,,,9,363,40.33,0
24,2005,2005-10-30,8,26.114,DAL,,ARI,W 34-13,,0,0,,0,0,0,,0,0,0,,,,,,3,160,53.33,0
25,2005,2005-11-14,9,26.129,DAL,@,PHI,W 21-20,,0,0,,0,0,0,,0,0,0,,,,,,9,384,42.67,0
26,2005,2005-11-20,10,26.135,DAL,,DET,W 20-7,,0,0,,0,0,0,,0,0,0,,,,,,3,97,32.33,0
27,2005,2005-11-24,11,26.139,DAL,,DEN,L 21-24,,0,0,,0,0,0,,0,0,0,,,,,,5,238,47.60,0
28,2005,2005-12-04,12,26.149,DAL,@,NYG,L 10-17,,0,0,,0,0,0,,0,0,0,,,,,,7,280,40.00,0
29,2005,2005-12-11,13,26.156,DAL,,KAN,W 31-28,,0,0,,0,0,0,,0,0,0,,,,,,4,177,44.25,0
30,2005,2005-12-18,14,26.163,DAL,@,WAS,L 7-35,,0,0,,0,0,0,,0,0,0,,,,,,6,211,35.17,0
31,2005,2005-12-24,15,26.169,DAL,@,CAR,W 24-20,,0,0,,0,0,0,,0,0,0,,,,,,7,340,48.57,0
32,2005,2006-01-01,16,26.177,DAL,,STL,L 10-20,,0,0,,0,0,0,,0,0,0,,,,,,6,223,37.17,0
33,2006,2006-09-10,1,27.064,DAL,@,JAX,L 17-24,,0,0,,0,0,0,,0,0,0,,,,,,5,266,53.20,0
34,2006,2006-09-17,2,27.071,DAL,,WAS,W 27-10,,0,0,,0,0,0,,0,0,0,,,,,,7,343,49.00,0
35,2006,2006-10-01,3,27.085,DAL,@,TEN,W 45-14,,0,0,,0,0,0,,0,0,0,,,,,,1,40,40.00,0
36,2006,2006-10-08,4,27.092,DAL,@,PHI,L 24-38,,1,0,0.00,0,0,0,,0,0,0,,,,,,6,315,52.50,0
37,2006,2006-10-15,5,27.099,DAL,,HOU,W 34-6,,0,0,,0,0,0,,0,0,0,,,,,,4,227,56.75,0
38,2006,2006-10-23,6,27.107,DAL,,NYG,L 22-36,,0,0,,0,0,0,,0,0,0,,,,,,3,123,41.00,0
39,2006,2006-10-29,7,27.113,DAL,@,CAR,W 35-14,,0,0,,0,0,0,,0,0,0,,,,,,4,193,48.25,0
40,2006,2006-11-05,8,27.120,DAL,@,WAS,L 19-22,,0,0,,0,0,0,,0,0,0,,,,,,5,215,43.00,0
41,2006,2006-11-12,9,27.127,DAL,@,ARI,W 27-10,,0,0,,0,0,0,,0,0,0,,,,,,2,116,58.00,0
42,2006,2006-11-19,10,27.134,DAL,,IND,W 21-14,,0,0,,0,0,0,,0,0,0,,,,,,3,140,46.67,0
43,2006,2006-11-23,11,27.138,DAL,,TAM,W 38-10,,0,0,,0,0,0,,0,0,0,,,,,,2,71,35.50,0
44,2006,2006-12-03,12,27.148,DAL,@,NYG,W 23-20,,0,0,,0,0,0,,0,0,0,,,,,,2,92,46.00,0
45,2006,2006-12-10,13,27.155,DAL,,NOR,L 17-42,,0,0,,0,0,0,,0,0,0,,,,,,4,163,40.75,0
46,2006,2006-12-16,14,27.161,DAL,@,ATL,W 38-28,,0,0,,0,0,0,,0,0,0,,,,,,3,159,53.00,0
47,2006,2006-12-25,15,27.170,DAL,,PHI,L 7-23,,0,0,,0,0,0,,0,0,0,,,,,,3,131,43.67,0
48,2006,2006-12-31,16,27.176,DAL,,DET,L 31-39,,0,0,,0,0,0,,0,0,0,,,,,,2,103,51.50,0
49,2007,2007-09-09,1,28.063,DAL,,NYG,W 45-35,,0,0,,0,0,0,,0,0,0,,,,,,2,108,54.00,0
50,2007,2007-09-16,2,28.070,DAL,@,MIA,W 37-20,,0,0,,0,0,0,,0,0,0,,,,,,4,174,43.50,0
51,2007,2007-09-23,3,28.077,DAL,@,CHI,W 34-10,,0,0,,0,0,0,,0,0,0,,,,,,4,155,38.75,0
52,2007,2007-09-30,4,28.084,DAL,,STL,W 35-7,,0,0,,0,0,0,,0,0,0,,,,,,5,259,51.80,0
53,2007,2007-10-08,5,28.092,DAL,@,BUF,W 25-24,,0,0,,0,0,0,,0,0,0,,,,,,2,113,56.50,0
54,2007,2007-10-14,6,28.098,DAL,,NWE,L 27-48,,0,0,,0,0,0,,0,0,0,,,,,,5,269,53.80,0
55,2007,2007-10-21,7,28.105,DAL,,MIN,W 24-14,,0,0,,0,0,0,,0,0,0,,,,,,4,213,53.25,0
56,2007,2007-11-04,8,28.119,DAL,@,PHI,W 38-17,,0,0,,0,0,0,,0,0,0,,,,,,2,85,42.50,0
57,2007,2007-11-11,9,28.126,DAL,@,NYG,W 31-20,,0,0,,0,0,0,,0,0,0,,,,,,4,143,35.75,0
58,2007,2007-11-18,10,28.133,DAL,,WAS,W 28-23,,0,0,,0,0,0,,0,0,0,,,,,,4,195,48.75,0
59,2007,2007-11-22,11,28.137,DAL,,NYJ,W 34-3,,0,0,,0,0,0,,0,0,0,,,,,,5,225,45.00,0
60,2007,2007-11-29,12,28.144,DAL,,GNB,W 37-27,,0,0,,0,0,0,,0,0,0,,,,,,1,40,40.00,0
61,2007,2007-12-09,13,28.154,DAL,@,DET,W 28-27,,0,0,,0,0,0,,0,0,0,,,,,,3,132,44.00,0
62,2007,2007-12-16,14,28.161,DAL,,PHI,L 6-10,,0,0,,0,0,0,,0,0,0,,,,,,7,351,50.14,0
63,2007,2007-12-22,15,28.167,DAL,@,CAR,W 20-13,,0,0,,0,0,0,,0,0,0,,,,,,4,176,44.00,0
