ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1950,1950-09-17,1,28.363,NYG,@,PIT,W 18-7,,3,13,23.08,30,0,1,7.5,0,0,2.31,-1.15,2,19,9.50,0,,,,
2,1950,1950-10-01,2,29.012,NYG,@,CLE,W 6-0,*,4,13,30.77,61,0,0,47.3,0,0,4.69,4.69,2,2,1.00,0,,,,
3,1950,1950-10-08,3,29.019,NYG,@,WAS,W 21-17,*,7,18,38.89,168,1,0,91.9,0,0,9.33,10.44,0,0,,0,,,,
4,1950,1950-10-15,4,29.026,NYG,,PIT,L 6-17,*,5,14,35.71,59,1,1,43.5,0,0,4.21,2.43,0,0,,0,,,,
5,1950,1950-10-22,5,29.033,NYG,,CLE,W 17-13,,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,4,-3,-0.75,0,,,,
6,1950,1950-10-29,6,29.040,NYG,@,CRD,L 3-17,*,3,9,33.33,23,0,1,2.8,0,0,2.56,-2.44,0,0,,0,,,,
7,1950,1950-11-05,7,29.047,NYG,,WAS,W 24-21,,8,14,57.14,89,1,0,100.0,0,0,6.36,7.79,2,-9,-4.50,0,,,,
8,1950,1950-11-12,8,29.054,NYG,,CRD,W 51-21,*,10,20,50.00,234,2,1,105.0,0,0,11.70,11.45,0,0,,0,,,,
9,1950,1950-11-19,9,29.061,NYG,@,BAL,W 55-20,*,2,5,40.00,13,0,2,8.3,0,0,2.60,-15.40,0,0,,0,,,,
10,1950,1950-12-03,11,29.075,NYG,,NYY,W 51-7,*,10,17,58.82,235,2,1,117.9,0,0,13.82,13.53,2,10,5.00,1,,,,
11,1950,1950-12-10,12,29.082,NYG,@,PHI,W 9-7,*,4,6,66.67,88,1,0,149.3,0,0,14.67,18.00,1,-2,-2.00,0,,,,
12,1951,1951-10-01,1,30.012,NYG,@,PIT,T 13-13,,2,5,40.00,20,0,0,52.1,0,0,4.00,4.00,0,0,,0,,,,
