ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2010,2010-10-10,5,22.216,CAR,,CHI,L 6-23,,2,0,0,,0,0.0%,0.00,1,7,7.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0
2,2010,2010-12-12,13,22.279,CAR,,ATL,L 10-31,,0,0,0,,0,0.0%,,0,0,,0,1,1,100.00,0,0,0,79.2,0,0,0.00,0.00,0,0,,0,0,0,,0
3,2010,2011-01-02,16,22.300,CAR,@,ATL,L 10-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,0,0.00,0
4,2011,2011-09-11,1,23.187,CAR,@,ARI,L 21-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,19,4.75,0
5,2011,2011-09-18,2,23.194,CAR,,GNB,L 23-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,11,5.50,0
6,2011,2011-09-25,3,23.201,CAR,,JAX,W 16-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,1,4,4.00,0,4,28,7.00,0
7,2011,2011-10-02,4,23.208,CAR,@,CHI,L 29-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,7,3.50,0
8,2011,2011-10-09,5,23.215,CAR,,NOR,L 27-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,9,9.00,0
9,2011,2011-10-16,6,23.222,CAR,@,ATL,L 17-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0
10,2011,2011-10-23,7,23.229,CAR,,WAS,W 33-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
