ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1989,1989-09-10,1,22.163,HOU,@,MIN,L 7-38,0,0,,0,,7,327,46.71,
2,1989,1989-09-17,2,22.170,HOU,@,SDG,W 34-27,0,0,,0,,2,86,43.00,
3,1989,1989-09-24,3,22.177,HOU,,BUF,L 41-47,0,0,,0,,1,55,55.00,
4,1989,1989-10-01,4,22.184,HOU,,MIA,W 39-7,0,0,,0,,3,137,45.67,
5,1989,1989-10-15,6,22.198,HOU,@,CHI,W 33-28,0,0,,0,,3,113,37.67,
6,1989,1989-10-22,7,22.205,HOU,,PIT,W 27-0,0,0,,0,,3,135,45.00,
7,1989,1989-10-29,8,22.212,HOU,@,CLE,L 17-28,0,0,,0,,6,264,44.00,
8,1989,1989-11-05,9,22.219,HOU,,DET,W 35-31,0,0,,0,,0,0,,
9,1989,1989-11-13,10,22.227,HOU,,CIN,W 26-24,0,0,,0,0.5,0,0,,0
10,1989,1989-11-19,11,22.233,HOU,,RAI,W 23-7,0,0,,0,1.0,0,0,,0
11,1989,1989-11-26,12,22.240,HOU,@,KAN,L 0-34,0,0,,0,,6,240,40.00,
12,1989,1989-12-03,13,22.247,HOU,@,PIT,W 23-16,0,0,,0,,3,113,37.67,
13,1989,1989-12-10,14,22.254,HOU,,TAM,W 20-17,0,0,,0,,3,135,45.00,
14,1989,1989-12-17,15,22.261,HOU,@,CIN,L 7-61,1,0,0.00,0,0.0,0,0,,0
15,1989,1989-12-23,16,22.267,HOU,,CLE,L 20-24,0,0,,0,,4,172,43.00,
16,1990,1990-09-09,1,23.162,HOU,@,ATL,L 27-47,,,,,,3,151,50.33,
17,1990,1990-09-16,2,23.169,HOU,@,PIT,L 9-20,,,,,,5,203,40.60,
18,1990,1990-09-23,3,23.176,HOU,,IND,W 24-10,,,,,,1,44,44.00,
19,1990,1990-09-30,4,23.183,HOU,@,SDG,W 17-7,0,0,,0,0.5,0,0,,0
20,1990,1990-10-07,5,23.190,HOU,,SFO,L 21-24,,,,,,6,295,49.17,
21,1990,1990-10-14,6,23.197,HOU,,CIN,W 48-17,,,,,,0,0,,
22,1990,1990-10-21,7,23.204,HOU,,NOR,W 23-10,,,,,,2,102,51.00,
23,1990,1990-10-28,8,23.211,HOU,,NYJ,L 12-17,,,,,,1,39,39.00,
24,1990,1990-11-04,9,23.218,HOU,@,RAM,L 13-17,,,,,,2,78,39.00,
25,1990,1990-11-18,10,23.232,HOU,@,CLE,W 35-23,,,,,,3,146,48.67,
26,1990,1990-11-26,11,23.240,HOU,,BUF,W 27-24,,,,,,0,0,,
27,1990,1990-12-02,12,23.246,HOU,@,SEA,L 10-13,,,,,,2,77,38.50,
28,1990,1990-12-09,13,23.253,HOU,,CLE,W 58-14,,,,,,1,37,37.00,
29,1990,1990-12-16,14,23.260,HOU,@,KAN,W 27-10,,,,,,3,142,47.33,
