ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1971,1971-09-19,1,22.071,SDG,,KAN,W 21-14,3,9,3.00,0,3,51,17.00,1,1,1,100.00,26,0,0,118.7,0,0,26.00,26.00,0,0,,0,0,0,,0,1,6,0,0,,0
2,1971,1971-09-26,2,22.078,SDG,,OAK,L 0-34,1,15,15.00,0,2,34,17.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
3,1971,1971-10-03,3,22.085,SDG,@,PIT,L 17-21,3,1,0.33,0,2,12,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
4,1971,1971-10-10,4,22.092,SDG,@,KAN,L 10-31,2,-5,-2.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
5,1971,1971-10-17,5,22.099,SDG,@,DEN,L 16-20,5,17,3.40,0,3,47,15.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
6,1971,1971-10-23,6,22.105,SDG,,BUF,W 20-3,4,6,1.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
7,1971,1971-10-31,7,22.113,SDG,,NYJ,W 49-21,8,36,4.50,1,4,72,18.00,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,2,12,0,0,,0
8,1971,1971-11-07,8,22.120,SDG,@,NYG,L 17-35,7,16,2.29,0,3,48,16.00,0,1,1,100.00,21,1,0,158.3,0,0,21.00,41.00,0,0,,0,0,0,,0,0,0,0,0,,0
9,1971,1971-11-15,9,22.128,SDG,,STL,W 20-17,17,98,5.76,0,6,77,12.83,0,1,2,50.00,33,0,0,95.8,0,0,16.50,16.50,0,0,,0,0,0,,0,0,0,0,0,,0
10,1971,1971-11-21,10,22.134,SDG,@,OAK,L 33-34,3,3,1.00,0,2,9,4.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
11,1971,1971-11-28,11,22.141,SDG,@,CIN,L 0-31,7,30,4.29,0,3,11,3.67,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,0,0,,0
12,1972,1972-09-17,1,23.069,DAL,,PHI,W 28-6,7,30,4.29,0,2,63,31.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,0,0,,0
13,1972,1972-09-24,2,23.076,DAL,@,NYG,W 23-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1972,1972-10-01,3,23.083,DAL,@,GNB,L 13-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1972,1972-10-08,4,23.090,DAL,,PIT,W 17-13,3,2,0.67,0,1,16,16.00,0,0,0,,0,0,0,,0,0,,,1,15,15.00,0,0,0,,0,0,0,0,0,,0
16,1972,1972-10-15,5,23.097,DAL,@,BAL,W 21-0,4,-6,-1.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
17,1972,1972-10-22,6,23.104,DAL,@,WAS,L 20-24,1,1,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,,0
18,1972,1972-10-30,7,23.112,DAL,,DET,W 28-24,10,38,3.80,1,2,42,21.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12,0,0,,0
19,1972,1972-11-05,8,23.118,DAL,@,SDG,W 34-28,6,17,2.83,0,1,6,6.00,0,1,1,100.00,31,0,0,118.7,0,0,31.00,31.00,0,0,,0,0,0,,0,0,0,0,0,,0
