ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2005,2005-09-11,1,23.134,BAL,,IND,L 7-24,,0,0,0,,0,0.0%,,0,0,,0,1,10,10.00,0
2,2005,2005-09-18,2,23.141,BAL,@,TEN,L 10-25,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
3,2005,2005-10-09,4,23.162,BAL,@,DET,L 17-35,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
4,2005,2005-10-16,5,23.169,BAL,,CLE,W 16-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
5,2005,2005-10-23,6,23.176,BAL,@,CHI,L 6-10,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0
6,2005,2005-10-31,7,23.184,BAL,@,PIT,L 19-20,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0
7,2005,2005-11-06,8,23.190,BAL,,CIN,L 9-21,*,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,0
8,2005,2005-11-13,9,23.197,BAL,@,JAX,L 3-30,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
9,2005,2005-11-20,10,23.204,BAL,,PIT,W 16-13,*,3,3,8,2.67,0,100.0%,2.67,0,0,,0,0,0,,0
10,2005,2005-11-27,11,23.211,BAL,@,CIN,L 29-42,*,1,1,7,7.00,0,100.0%,7.00,5,4,0.80,0,0,0,,0
11,2005,2005-12-25,15,23.239,BAL,,MIN,W 30-23,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
12,2005,2006-01-01,16,23.246,BAL,@,CLE,L 16-20,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
13,2006,2006-09-10,1,24.133,BAL,@,TAM,W 27-0,*,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0
14,2006,2006-09-17,2,24.140,BAL,,OAK,W 28-6,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0
15,2006,2006-09-24,3,24.147,BAL,@,CLE,W 15-14,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
16,2006,2006-10-01,4,24.154,BAL,,SDG,W 16-13,*,,0,0,,0,0.0%,,0,0,,0,0,0,,0
17,2006,2006-10-09,5,24.162,BAL,@,DEN,L 3-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
18,2006,2006-10-15,6,24.168,BAL,,CAR,L 21-23,*,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0
19,2006,2006-10-29,7,24.182,BAL,@,NOR,W 35-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
20,2006,2006-11-05,8,24.189,BAL,,CIN,W 26-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
21,2006,2006-11-12,9,24.196,BAL,@,TEN,W 27-26,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
22,2006,2006-11-19,10,24.203,BAL,,ATL,W 24-10,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
23,2006,2006-11-26,11,24.210,BAL,,PIT,W 27-0,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0
24,2006,2006-11-30,12,24.214,BAL,@,CIN,L 7-13,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
25,2007,2007-09-10,1,25.133,BAL,@,CIN,L 20-27,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0
26,2007,2007-09-16,2,25.139,BAL,,NYJ,W 20-13,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
27,2007,2007-09-30,4,25.153,BAL,@,CLE,L 13-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
28,2007,2007-10-07,5,25.160,BAL,@,SFO,W 9-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
29,2007,2007-10-14,6,25.167,BAL,,STL,W 22-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
30,2007,2007-10-21,7,25.174,BAL,@,BUF,L 14-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
31,2007,2007-11-05,8,25.189,BAL,@,PIT,L 7-38,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
32,2007,2007-11-11,9,25.195,BAL,,CIN,L 7-21,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
33,2007,2007-11-18,10,25.202,BAL,,CLE,L 30-33,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
34,2007,2007-11-25,11,25.209,BAL,@,SDG,L 14-32,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
35,2007,2007-12-03,12,25.217,BAL,,NWE,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
36,2007,2007-12-09,13,25.223,BAL,,IND,L 20-44,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
37,2007,2007-12-16,14,25.230,BAL,@,MIA,L 16-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
38,2007,2007-12-23,15,25.237,BAL,@,SEA,L 6-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
39,2007,2007-12-30,16,25.244,BAL,,PIT,W 27-21,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0
