ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2005,2005-09-11,1,23.228,STL,@,SFO,L 25-28,,0,0,,0,0.0,,,4,132,33.00,0
2,2005,2005-09-18,2,23.235,STL,@,ARI,W 17-12,,0,0,,0,0.0,,,7,300,42.86,0
3,2005,2005-09-25,3,23.242,STL,,TEN,W 31-27,,0,0,,0,0.0,,,4,170,42.50,0
4,2005,2005-10-02,4,23.249,STL,@,NYG,L 24-44,,0,0,,0,0.0,,,2,68,34.00,0
5,2005,2005-10-09,5,23.256,STL,,SEA,L 31-37,,0,0,,0,0.0,,,5,166,33.20,0
6,2005,2005-11-06,8,23.284,PHI,@,WAS,L 10-17,,0,0,,0,0.0,,,7,262,37.43,0
7,2005,2005-11-14,9,23.292,PHI,,DAL,L 20-21,,0,0,,0,0.0,,,7,266,38.00,0
8,2005,2005-11-20,10,23.298,PHI,@,NYG,L 17-27,,0,0,,0,0.0,,,5,171,34.20,1
9,2008,2008-10-12,5,26.260,NYJ,,CIN,W 26-14,,0,0,,0,0.0,0,0,2,74,37.00,0
10,2008,2008-10-19,6,26.267,NYJ,@,OAK,L 13-16,,0,0,,0,0.0,0,0,7,278,39.71,0
11,2008,2008-10-26,7,26.274,NYJ,,KAN,W 28-24,,0,0,,0,0.0,0,1,3,143,47.67,0
12,2008,2008-11-02,8,26.281,NYJ,@,BUF,W 26-17,,0,0,,0,0.0,0,0,1,46,46.00,0
13,2008,2008-11-09,9,26.288,NYJ,,STL,W 47-3,,0,0,,0,0.0,0,0,1,36,36.00,0
14,2008,2008-11-13,10,26.292,NYJ,@,NWE,W 34-31,,0,0,,0,0.0,0,0,5,213,42.60,0
15,2008,2008-11-23,11,26.302,NYJ,@,TEN,W 34-13,,0,0,,0,0.0,0,0,1,50,50.00,0
16,2008,2008-11-30,12,26.309,NYJ,,DEN,L 17-34,,0,0,,0,0.0,0,0,4,164,41.00,0
17,2008,2008-12-07,13,26.316,NYJ,@,SFO,L 14-24,,0,0,,0,0.0,0,0,6,258,43.00,0
18,2008,2008-12-14,14,26.323,NYJ,,BUF,W 31-27,,0,0,,0,0.0,0,0,4,202,50.50,0
19,2008,2008-12-21,15,26.330,NYJ,@,SEA,L 3-13,,0,0,,0,0.0,0,0,6,228,38.00,0
20,2008,2008-12-28,16,26.337,NYJ,,MIA,L 17-24,,0,0,,0,0.0,0,0,4,192,48.00,1
21,2009,2009-09-27,3,27.244,TEN,@,NYJ,L 17-24,,0,0,,0,0.0,0,0,7,303,43.29,0
22,2009,2009-10-04,4,27.251,TEN,@,JAX,L 17-37,,0,0,,0,0.0,0,0,5,211,42.20,0
23,2009,2009-10-11,5,27.258,TEN,,IND,L 9-31,,0,0,,0,0.0,0,0,4,146,36.50,0
24,2009,2009-10-18,6,27.265,TEN,@,NWE,L 0-59,,0,0,,0,0.0,0,0,6,208,34.67,0
25,2009,2009-11-16,9,27.294,CLE,,BAL,L 0-16,,0,0,,0,0.0,0,0,9,347,38.56,0
26,2009,2009-11-22,10,27.300,CLE,@,DET,L 37-38,,0,0,,0,0.0,0,0,6,247,41.17,0
27,2009,2009-11-29,11,27.307,CLE,@,CIN,L 7-16,,0,0,,0,0.0,0,0,8,364,45.50,0
28,2009,2009-12-06,12,27.314,CLE,,SDG,L 23-30,,0,0,,0,0.0,0,0,3,131,43.67,0
29,2009,2009-12-10,13,27.318,CLE,,PIT,W 13-6,,0,0,,0,0.0,0,0,8,302,37.75,0
30,2009,2009-12-20,14,27.328,CLE,@,KAN,W 41-34,,1,0,0.00,0,0.0,0,0,2,66,33.00,0
31,2009,2009-12-27,15,27.335,CLE,,OAK,W 23-9,,0,0,,0,0.0,0,0,6,225,37.50,0
32,2009,2010-01-03,16,27.342,CLE,,JAX,W 23-17,,0,0,,0,0.0,0,0,3,107,35.67,0
33,2010,2010-09-12,1,28.229,CLE,@,TAM,L 14-17,,0,0,,0,0.0,0,0,6,266,44.33,0
34,2010,2010-09-19,2,28.236,CLE,,KAN,L 14-16,,0,0,,0,0.0,0,0,8,337,42.13,0
35,2010,2010-09-26,3,28.243,CLE,@,BAL,L 17-24,,0,0,,0,0.0,0,0,6,294,49.00,0
