ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1963,1963-09-14,1,22.137,STL,@,DAL,W 34-7,0,0,,0,0,0,,0,0,0,0,0,0,5,209,41.80,0
2,1963,1963-09-22,2,22.145,STL,@,PHI,W 28-24,0,0,,0,1,29,29.00,0,0,0,0,0,0,2,73,36.50,0
3,1963,1963-09-29,3,22.152,STL,@,PIT,L 10-23,0,0,,0,0,0,,0,0,0,0,0,0,7,287,41.00,0
4,1963,1963-10-06,4,22.159,STL,@,MIN,W 56-14,0,0,,0,0,0,,0,0,0,0,0,0,4,160,40.00,0
5,1963,1963-10-13,5,22.166,STL,,PIT,W 24-23,0,0,,0,0,0,,0,0,0,0,0,0,2,90,45.00,0
6,1963,1963-10-20,6,22.173,STL,,GNB,L 7-30,0,0,,0,0,0,,0,0,0,0,0,0,3,96,32.00,0
7,1963,1963-10-27,7,22.180,STL,@,WAS,W 21-7,0,0,,0,0,0,,0,0,0,1,0,0,3,132,44.00,0
8,1963,1963-11-03,8,22.187,STL,,NYG,L 21-38,0,0,,0,1,16,16.00,0,0,0,0,0,0,2,66,33.00,0
9,1963,1963-11-10,9,22.194,STL,,WAS,W 24-20,0,0,,0,4,101,25.25,0,0,0,0,0,0,7,348,49.71,0
10,1963,1963-11-17,10,22.201,STL,@,CLE,W 20-14,0,0,,0,1,15,15.00,0,0,0,0,0,0,6,233,38.83,0
11,1963,1963-11-24,11,22.208,STL,@,NYG,W 24-17,0,0,,0,2,83,41.50,0,0,0,0,0,0,7,270,38.57,0
12,1963,1963-12-01,12,22.215,STL,,CLE,L 10-24,1,32,32.00,0,1,23,23.00,0,0,0,0,0,0,6,288,48.00,0
13,1963,1963-12-08,13,22.222,STL,,PHI,W 38-14,0,0,,0,3,89,29.67,0,0,0,0,0,0,6,216,36.00,0
14,1963,1963-12-15,14,22.229,STL,,DAL,L 24-28,0,0,,0,2,63,31.50,0,0,0,0,0,0,5,176,35.20,0
15,1964,1964-09-12,1,23.135,STL,@,DAL,W 16-6,0,0,,0,1,29,29.00,0,0,0,0,0,0,2,94,47.00,0
16,1964,1964-09-20,2,23.143,STL,@,CLE,T 33-33,0,0,,0,6,142,23.67,0,0,0,0,0,0,3,110,36.67,0
17,1964,1964-09-27,3,23.150,STL,@,SFO,W 23-13,0,0,,0,0,0,,0,0,0,0,0,0,4,183,45.75,0
18,1964,1964-10-04,4,23.157,STL,@,WAS,W 23-17,0,0,,0,1,0,0.00,0,0,0,0,0,0,4,174,43.50,0
19,1964,1964-10-12,5,23.165,STL,@,BAL,L 27-47,0,0,,0,0,0,,0,0,0,0,0,0,2,72,36.00,0
20,1964,1964-10-18,6,23.171,STL,,WAS,W 38-24,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
21,1964,1964-11-01,8,23.185,STL,@,NYG,L 17-34,0,0,,0,2,43,21.50,0,0,0,0,0,0,0,0,,0
22,1964,1964-11-08,9,23.192,STL,,PIT,W 34-30,0,0,,0,2,40,20.00,0,0,0,0,0,0,0,0,,0
23,1964,1964-11-15,10,23.199,STL,,NYG,T 10-10,0,0,,0,1,14,14.00,0,0,0,0,0,0,0,0,,0
24,1964,1964-11-22,11,23.206,STL,@,PHI,W 38-13,0,0,,0,4,132,33.00,0,0,0,0,0,0,0,0,,0
25,1964,1964-11-29,12,23.213,STL,@,PIT,W 21-20,0,0,,0,3,92,30.67,0,0,0,0,0,0,0,0,,0
26,1964,1964-12-06,13,23.220,STL,,CLE,W 28-19,0,0,,0,2,37,18.50,0,0,0,0,0,0,0,0,,0
27,1964,1964-12-13,14,23.227,STL,,PHI,W 36-34,0,0,,0,2,37,18.50,0,1,6,2,71,1,0,0,,0
28,1965,1965-09-19,1,24.142,STL,@,PHI,L 27-34,0,0,,0,1,66,66.00,0,0,0,0,0,0,0,0,,0
29,1965,1965-09-26,2,24.149,STL,@,CLE,W 49-13,0,0,,0,0,0,,0,0,0,2,30,0,0,0,,0
30,1965,1965-10-04,3,24.157,STL,,DAL,W 20-13,0,0,,0,1,17,17.00,0,0,0,0,0,0,0,0,,0
31,1965,1965-10-10,4,24.163,STL,@,WAS,W 37-16,0,0,,0,1,39,39.00,0,0,0,0,0,0,0,0,,0
32,1965,1965-10-17,5,24.170,STL,@,PIT,W 20-7,0,0,,0,1,15,15.00,0,0,0,0,0,0,0,0,,0
33,1965,1965-10-24,6,24.177,STL,,WAS,L 20-24,0,0,,0,2,34,17.00,0,0,0,0,0,0,0,0,,0
34,1965,1965-10-31,7,24.184,STL,@,NYG,L 10-14,0,0,,0,1,27,27.00,0,0,0,0,0,0,2,80,40.00,0
35,1966,1966-10-02,4,25.155,STL,@,PHI,W 41-10,0,0,,0,0,0,,0,1,6,1,18,1,0,0,,0
36,1966,1966-10-09,5,25.162,STL,,NYG,W 24-19,0,0,,0,0,0,,0,0,0,1,3,0,0,0,,0
37,1966,1966-10-16,6,25.169,STL,,DAL,T 10-10,0,0,,0,0,0,,0,0,0,1,22,0,0,0,,0
38,1966,1966-11-27,11,25.211,STL,,PIT,W 6-3,1,17,17.00,0,0,0,,0,0,0,0,0,0,5,139,27.80,0
39,1967,1967-10-15,5,26.168,STL,@,CLE,L 16-20,0,0,,0,0,0,,0,0,0,1,6,0,0,0,,0
40,1967,1967-10-30,7,26.183,STL,,GNB,L 23-31,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
41,1967,1967-11-19,10,26.203,STL,@,CHI,L 3-30,,,,,,,,,,,1,0,0,,,,
42,1967,1967-11-23,11,26.207,STL,@,DAL,L 21-46,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
43,1967,1967-12-03,12,26.217,STL,,NOR,W 31-20,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
44,1969,1969-11-09,8,28.193,STL,,NYG,W 42-17,0,0,,0,0,0,,0,0,0,1,28,0,0,0,,0
45,1970,1970-09-18,1,29.141,STL,@,RAM,L 13-34,,,,,,,,,,,,,,,,,
46,1970,1970-09-27,2,29.150,STL,,WAS,W 27-17,0,0,,0,0,0,,0,0,0,1,27,0,0,0,,0
47,1970,1970-10-04,3,29.157,STL,,DAL,W 20-7,,,,,,,,,,,,,,,,,
48,1970,1970-10-11,4,29.164,STL,,NOR,W 24-17,,,,,,,,,,,,,,,,,
49,1970,1970-11-01,7,29.185,STL,,HOU,W 44-0,,,,,,,,,,,,,,,,,
50,1970,1970-11-08,8,29.192,STL,,BOS,W 31-0,,,,,,,,,,,,,,,,,
51,1970,1970-11-16,9,29.200,STL,@,DAL,W 38-0,,,,,,,,,,,,,,,,,
52,1970,1970-11-22,10,29.206,STL,@,KAN,T 6-6,,,,,,,,,,,,,,,,,
53,1970,1970-11-29,11,29.213,STL,,PHI,W 23-14,0,0,,0,0,0,,0,0,0,1,18,0,0,0,,0
54,1970,1970-12-06,12,29.220,STL,@,DET,L 3-16,,,,,,,,,,,,,,,,,
55,1970,1970-12-13,13,29.227,STL,,NYG,L 17-34,,,,,,,,,,,,,,,,,
56,1971,1971-09-19,1,30.142,STL,,WAS,L 17-24,,,,,,,,,,,,,,,,,
57,1971,1971-10-03,3,30.156,STL,,NYG,L 20-21,,,,,,,,,,,,,,,,,
58,1971,1971-10-10,4,30.163,STL,@,ATL,W 26-9,0,0,,0,0,0,,0,0,0,2,20,0,0,0,,0
59,1971,1971-10-17,5,30.170,STL,@,WAS,L 0-20,,,,,,,,,,,,,,,,,
60,1971,1971-10-24,6,30.177,STL,,SFO,L 14-26,,,,,,,,,,,,,,,,,
61,1971,1971-10-31,7,30.184,STL,@,BUF,W 28-23,,,,,,,,,,,,,,,,,
