ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1995,1995-09-03,1,26.252,NYJ,@,MIA,L 14-52,0,0,,
2,1995,1995-09-10,2,26.259,NYJ,,IND,L 24-27,0,0,,
3,1995,1995-09-17,3,26.266,NYJ,,JAX,W 27-10,0,0,,
4,1995,1995-09-24,4,26.273,NYJ,@,ATL,L 3-13,0,0,,
5,1995,1995-10-01,5,26.280,NYJ,,OAK,L 10-47,0,0,,
6,1995,1995-10-08,6,26.287,NYJ,@,BUF,L 10-29,0,0,,
7,1995,1995-10-15,7,26.294,NYJ,@,CAR,L 15-26,0,0,,
8,1995,1995-10-22,8,26.301,NYJ,,MIA,W 17-16,0,0,,
9,1995,1995-10-29,9,26.308,NYJ,@,IND,L 10-17,0,0,,
10,1995,1995-11-05,10,26.315,NYJ,,NWE,L 7-20,0,0,,
11,1995,1995-11-19,11,26.329,NYJ,,BUF,L 26-28,0,0,,
12,1995,1995-11-26,12,26.336,NYJ,@,SEA,W 16-10,0,0,,
13,1995,1995-12-03,13,26.343,NYJ,,STL,L 20-23,0,0,,
14,1995,1995-12-10,14,26.350,NYJ,@,NWE,L 28-31,0,0,,
15,1995,1995-12-17,15,26.357,NYJ,@,HOU,L 6-23,0,0,,
16,1995,1995-12-24,16,26.364,NYJ,,NOR,L 0-12,5,238,47.60,0
17,1996,1996-09-01,1,27.251,NYJ,@,DEN,L 6-31,,,,
18,1996,1996-09-08,2,27.258,NYJ,,IND,L 7-21,,,,
19,1996,1996-09-15,3,27.265,NYJ,@,MIA,L 27-36,,,,
20,1996,1996-09-22,4,27.272,NYJ,,NYG,L 6-13,,,,
21,1996,1996-09-29,5,27.279,NYJ,@,WAS,L 16-31,,,,
22,1996,1996-10-06,6,27.286,NYJ,,OAK,L 13-34,,,,
23,1996,1996-10-13,7,27.293,NYJ,@,JAX,L 17-21,,,,
24,1996,1996-10-20,8,27.300,NYJ,,BUF,L 22-25,,,,
25,1996,1996-10-27,9,27.307,NYJ,@,ARI,W 31-21,,,,
26,1996,1996-11-10,10,27.321,NYJ,,NWE,L 27-31,,,,
27,1996,1996-11-17,11,27.328,NYJ,@,IND,L 29-34,,,,
28,1996,1996-11-24,12,27.335,NYJ,@,BUF,L 10-35,,,,
29,1996,1996-12-01,13,27.342,NYJ,,HOU,L 10-35,,,,
30,1996,1996-12-08,14,27.349,NYJ,@,NWE,L 10-34,,,,
31,1996,1996-12-14,15,27.355,NYJ,,PHI,L 20-21,,,,
32,1996,1996-12-22,16,27.363,NYJ,,MIA,L 28-31,,,,
