ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1979,1979-09-02,1,22.009,DAL,@,STL,W 22-21,,,,,,,,,,,,,,,,,,
2,1979,1979-09-09,2,22.016,DAL,@,SFO,W 21-13,,,,,,,,,,,,,,,,,,
3,1979,1979-09-16,3,22.023,DAL,,CHI,W 24-20,0,0,,0,1,14,14.00,0,2,17,8.50,0,0,0,0.0,0,0,0
4,1979,1979-09-24,4,22.031,DAL,@,CLE,L 7-26,1,21,21.00,0,2,46,23.00,0,0,0,,0,0,0,0.0,0,0,0
5,1979,1979-09-30,5,22.037,DAL,,CIN,W 38-13,0,0,,0,0,0,,0,3,17,5.67,0,0,0,0.0,0,0,0
6,1979,1979-10-07,6,22.044,DAL,@,MIN,W 36-20,0,0,,0,5,69,13.80,0,2,19,9.50,0,0,0,0.0,0,0,0
7,1979,1979-10-14,7,22.051,DAL,,RAM,W 30-6,1,45,45.00,0,2,34,17.00,0,5,34,6.80,0,0,0,0.0,0,0,0
8,1979,1979-10-21,8,22.058,DAL,,STL,W 22-13,0,0,,0,2,41,20.50,0,3,20,6.67,0,0,0,0.0,0,0,0
9,1979,1979-10-28,9,22.065,DAL,@,PIT,L 3-14,0,0,,0,2,27,13.50,0,2,9,4.50,0,0,0,0.0,0,0,0
10,1979,1979-11-04,10,22.072,DAL,@,NYG,W 16-14,0,0,,0,1,11,11.00,0,5,38,7.60,0,0,0,0.0,0,0,0
11,1979,1979-11-12,11,22.080,DAL,,PHI,L 21-31,0,0,,0,1,24,24.00,0,4,29,7.25,0,0,0,0.0,0,0,0
12,1979,1979-11-18,12,22.086,DAL,@,WAS,L 20-34,0,0,,0,1,21,21.00,0,3,17,5.67,0,0,0,0.0,0,0,0
13,1979,1979-11-22,13,22.090,DAL,,HOU,L 24-30,0,0,,0,2,41,20.50,0,3,13,4.33,0,0,0,0.0,0,0,0
14,1979,1979-12-02,14,22.100,DAL,,NYG,W 28-7,1,10,10.00,0,0,0,,0,2,20,10.00,0,0,0,0.0,0,0,0
15,1979,1979-12-08,15,22.106,DAL,@,PHI,W 24-17,,,,,,,,,,,,,,,,,,
16,1979,1979-12-16,16,22.114,DAL,,WAS,W 35-34,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0.0,0,0,0
17,1980,1980-09-08,1,23.015,DAL,@,WAS,W 17-3,,,,,,,,,,,,,,,,,,
18,1980,1980-09-14,2,23.021,DAL,@,DEN,L 20-41,,,,,,,,,,,,,,,,,,
19,1980,1980-09-21,3,23.028,DAL,,TAM,W 28-17,,,,,,,,,,,,,,,,,,
20,1980,1980-09-28,4,23.035,DAL,@,GNB,W 28-7,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,21,0
21,1980,1980-10-05,5,23.042,DAL,,NYG,W 24-3,,,,,,,,,,,,,,,,,,
22,1980,1980-10-12,6,23.049,DAL,,SFO,W 59-14,,,,,,,,,,,,,,,,,,
23,1980,1980-10-19,7,23.056,DAL,@,PHI,L 10-17,0,0,,0,1,10,10.00,0,0,0,,0,0,0,0.0,1,19,0
24,1980,1980-10-26,8,23.063,DAL,,SDG,W 42-31,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,42,0
25,1980,1980-11-02,9,23.070,DAL,@,STL,W 27-24,,,,,,,,,,,,,,,,,,
26,1980,1980-11-09,10,23.077,DAL,@,NYG,L 35-38,,,,,,,,,,,,,,,,,,
