ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1985,1985-09-15,2,22.138,NYJ,,BUF,W 42-3,,3,67,22.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
2,1985,1985-09-22,3,22.145,NYJ,@,GNB,W 24-3,,0,0,,0,,,0,0,,0,,,,,,,,,,,,0,
3,1985,1985-09-29,4,22.152,NYJ,,IND,W 25-20,,0,0,,0,,,0,0,,0,,,,,,,,,,,,0,
4,1985,1985-10-06,5,22.159,NYJ,@,CIN,W 29-20,,0,0,,0,,,0,0,,0,,,,,,,,,,,,0,
5,1985,1985-10-14,6,22.167,NYJ,,MIA,W 23-7,,2,28,14.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
6,1985,1985-10-20,7,22.173,NYJ,@,NWE,L 13-20,,0,0,,0,,,0,0,,0,,,,,,,,,,,,0,
7,1985,1985-10-27,8,22.180,NYJ,,SEA,W 17-14,,3,30,10.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
8,1985,1985-11-03,9,22.187,NYJ,@,IND,W 35-17,,1,17,17.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
9,1985,1985-11-10,10,22.194,NYJ,@,MIA,L 17-21,,10,156,15.60,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
10,1985,1985-11-17,11,22.201,NYJ,,TAM,W 62-28,,6,133,22.17,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
11,1985,1985-11-24,12,22.208,NYJ,,NWE,W 16-13,,6,78,13.00,0,,,1,5,5.00,0,0,0,,0,0,0,,,,,,0,0
12,1985,1985-11-28,13,22.212,NYJ,@,DET,L 20-31,,5,74,14.80,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
13,1985,1985-12-08,14,22.222,NYJ,@,BUF,W 27-7,,3,29,9.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
14,1985,1985-12-14,15,22.228,NYJ,,CHI,L 6-19,,3,20,6.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
15,1985,1985-12-22,16,22.236,NYJ,,CLE,W 37-10,,4,30,7.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
16,1986,1986-09-07,1,23.130,NYJ,@,BUF,W 28-24,,6,119,19.83,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
17,1986,1986-09-11,2,23.134,NYJ,,NWE,L 6-20,,5,48,9.60,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
18,1986,1986-09-21,3,23.144,NYJ,,MIA,W 51-45,,7,111,15.86,0,,,1,2,2.00,0,0,0,,0,0,0,,,,,,0,0
19,1986,1986-09-28,4,23.151,NYJ,@,IND,W 26-7,,8,78,9.75,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
20,1986,1986-10-05,5,23.158,NYJ,,BUF,W 14-13,,10,86,8.60,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
21,1986,1986-10-12,6,23.165,NYJ,@,NWE,W 31-24,,3,26,8.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
22,1986,1986-10-20,7,23.173,NYJ,,DEN,W 22-10,,4,37,9.25,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
23,1986,1986-10-26,8,23.179,NYJ,,NOR,W 28-23,,6,101,16.83,3,,,0,0,,0,0,0,,0,0,0,,,,,,3,18
24,1986,1986-11-02,9,23.186,NYJ,@,SEA,W 38-7,,9,195,21.67,2,,,0,0,,0,0,0,,0,0,0,,,,,,2,12
25,1986,1986-11-09,10,23.193,NYJ,@,ATL,W 28-14,,5,98,19.60,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
26,1986,1986-11-16,11,23.200,NYJ,,IND,W 31-16,,4,35,8.75,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
27,1986,1986-11-24,12,23.208,NYJ,@,MIA,L 3-45,,3,54,18.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
28,1986,1986-11-30,13,23.214,NYJ,,RAM,L 3-17,,4,60,15.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
29,1986,1986-12-07,14,23.221,NYJ,@,SFO,L 10-24,,4,57,14.25,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
30,1986,1986-12-13,15,23.227,NYJ,,PIT,L 24-45,,4,42,10.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
