ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1964,1964-12-13,13,22.214,NYJ,@,HOU,L 17-33,0,0,,0,0,0,,0,0,0,,0,1,3,3.00,0,0,0,1,16,0
2,1966,1966-10-16,6,24.156,NYJ,@,HOU,L 0-24,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
3,1968,1968-11-03,8,26.174,NYJ,,BUF,W 25-21,0,0,,0,0,0,,0,1,0,0.00,0,0,0,,0,0,0,0,0,0
4,1968,1968-12-08,13,26.209,NYJ,,CIN,W 27-14,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
5,1968,1968-12-15,14,26.216,NYJ,@,MIA,W 31-7,1,5,5.00,0,1,-13,-13.00,0,0,0,,0,0,0,,0,0,0,0,0,0
6,1969,1969-10-11,5,27.151,BOS,@,BUF,L 16-23,2,23,11.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
7,1969,1969-10-26,7,27.166,BOS,@,NYJ,L 17-23,6,78,13.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0
8,1969,1969-11-02,8,27.173,BOS,,HOU,W 24-0,4,30,7.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
9,1969,1969-11-09,9,27.180,BOS,,MIA,L 16-17,2,55,27.50,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0
10,1969,1969-11-16,10,27.187,BOS,@,CIN,W 25-14,2,17,8.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
11,1969,1969-11-30,12,27.201,BOS,@,MIA,W 38-23,1,14,14.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0
12,1970,1970-09-20,1,28.130,BOS,,MIA,W 27-14,,,,,,,,,,,,,,,,,,,,,
13,1970,1970-09-27,2,28.137,BOS,,NYJ,L 21-31,,,,,,,,,,,,,,,,,,,,,
14,1970,1970-10-04,3,28.144,BOS,,BAL,L 6-14,,,,,,,,,,,,,,,,,,,,,
15,1970,1970-10-11,4,28.151,BOS,@,KAN,L 10-23,,,,,,,,,,,,,,,,,,,,,
16,1970,1970-10-18,5,28.158,BOS,,NYG,L 0-16,,,,,,,,,,,,,,,,,,,,,
17,1970,1970-10-25,6,28.165,BOS,@,BAL,L 3-27,1,12,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
18,1970,1970-11-01,7,28.172,BOS,,BUF,L 10-45,,,,,,,,,,,,,,,,,,,,,
19,1970,1970-11-08,8,28.179,BOS,@,STL,L 0-31,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
20,1970,1970-11-15,9,28.186,BOS,,SDG,L 14-16,2,28,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
21,1970,1970-11-22,10,28.193,BOS,@,NYJ,L 3-17,,,,,,,,,,,,,,,,,,,,,
22,1970,1970-11-29,11,28.200,BOS,@,BUF,W 14-10,,,,,,,,,,,,,,,,,,,,,
23,1970,1970-12-06,12,28.207,BOS,@,MIA,L 20-37,,,,,,,,,,,,,,,,,,,,,
24,1970,1970-12-13,13,28.214,BOS,,MIN,L 14-35,,,,,,,,,,,,,,,,,,,,,
25,1970,1970-12-20,14,28.221,BOS,@,CIN,L 7-45,,,,,,,,,,,,,,,,,,,,,
