ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1989,1989-09-10,1,26.058,SEA,@,PHI,L 7-31,,,,,,,,,,,
2,1989,1989-09-17,2,26.065,SEA,,PHO,L 24-34,,,,,,,,,,,
3,1989,1989-09-24,3,26.072,SEA,@,NWE,W 24-3,,,,,,,,,,,
4,1989,1989-10-01,4,26.079,SEA,@,RAI,W 24-20,,,,,,,,,,,
5,1989,1989-10-08,5,26.086,SEA,,KAN,L 16-20,,,,,,,,,,,
6,1989,1989-10-15,6,26.093,SEA,@,SDG,W 17-16,,,,,,,,,,,
7,1989,1989-10-22,7,26.100,SEA,,DEN,L 21-24,,,,,,,,,,,
8,1989,1989-10-29,8,26.107,SEA,,SDG,W 10-7,,,,,,,,,,,
9,1989,1989-11-05,9,26.114,SEA,@,KAN,L 10-20,,,,,,,,,,,
10,1989,1989-11-12,10,26.121,SEA,,CLE,L 7-17,,,,,,,,,,,
11,1989,1989-11-19,11,26.128,SEA,@,NYG,L 3-15,,,,,,,,,,,
12,1989,1989-11-26,12,26.135,SEA,@,DEN,L 14-41,,,,,,,,,,,
13,1989,1989-12-04,13,26.143,SEA,,BUF,W 17-16,,,,,,,,,,,
14,1989,1989-12-10,14,26.149,SEA,@,CIN,W 24-17,,,,,,,,,,,
15,1989,1989-12-17,15,26.156,SEA,,RAI,W 23-17,,,,,,,,,,,
16,1989,1989-12-23,16,26.162,SEA,,WAS,L 0-29,,,,,,,,,,,
17,1990,1990-09-09,1,27.057,PHI,@,NYG,L 20-27,,,,,,0,0,,0,,
18,1990,1990-09-16,2,27.064,PHI,,PHO,L 21-23,0,0,,0,,1,9,9.00,0,,
19,1990,1990-09-23,3,27.071,PHI,@,RAM,W 27-21,,,,,,0,0,,0,,
20,1990,1990-09-30,4,27.078,PHI,,IND,L 23-24,,,,,,0,0,,0,,
21,1990,1990-10-15,5,27.093,PHI,,MIN,W 32-24,,,,,,0,0,,0,,
22,1990,1990-10-21,6,27.099,PHI,@,WAS,L 7-13,,,,,,0,0,,0,,
23,1990,1990-10-28,7,27.106,PHI,@,DAL,W 21-20,,,,,,0,0,,0,,
24,1990,1990-11-04,8,27.113,PHI,,NWE,W 48-20,,,,,,0,0,,0,,
25,1990,1990-11-12,9,27.121,PHI,,WAS,W 28-14,,,,,,0,0,,0,,
26,1990,1990-11-18,10,27.127,PHI,@,ATL,W 24-23,,,,,,0,0,,0,,
27,1990,1990-11-25,11,27.134,PHI,,NYG,W 31-13,,,,,,0,0,,0,,
28,1990,1990-12-02,12,27.141,PHI,@,BUF,L 23-30,,,,,,0,0,,0,,
29,1990,1990-12-09,13,27.148,PHI,@,MIA,L 20-23,,,,,,0,0,,0,,
30,1990,1990-12-16,14,27.155,PHI,,GNB,W 31-0,,,,,,0,0,,0,,
31,1990,1990-12-23,15,27.162,PHI,,DAL,W 17-3,,,,,,0,0,,0,,
32,1990,1990-12-29,16,27.168,PHI,@,PHO,W 23-21,,,,,,0,0,,0,,
33,1991,1991-09-01,1,28.049,ATL,@,KAN,L 3-14,,,,,,,,,,,
34,1991,1991-09-08,2,28.056,ATL,,MIN,L 19-20,,,,,,,,,,,
35,1991,1991-09-15,3,28.063,ATL,@,SDG,W 13-10,,,,,,,,,,,
36,1992,1992-09-06,1,29.054,ATL,,NYJ,W 20-17,,,,,,,,,,0.0%,
37,1992,1992-09-13,2,29.061,ATL,@,WAS,L 17-24,,,,,,,,,,0.0%,
38,1992,1992-09-20,3,29.068,ATL,,NOR,L 7-10,,,,,,,,,,0.0%,
39,1992,1992-09-27,4,29.075,ATL,@,CHI,L 31-41,,,,,,,,,,0.0%,
40,1992,1992-10-04,5,29.082,ATL,,GNB,W 24-10,,,,,,,,,,0.0%,
41,1992,1992-10-11,6,29.089,ATL,@,MIA,L 17-21,,,,,,,,,,0.0%,
42,1992,1992-10-18,7,29.096,ATL,@,SFO,L 17-56,,,,,,,,,,0.0%,
43,1992,1992-11-01,8,29.110,ATL,,RAM,W 30-28,,,,,,,,,,0.0%,
44,1992,1992-11-09,9,29.118,ATL,,SFO,L 3-41,,,,,,,,,,0.0%,
45,1992,1992-11-15,10,29.124,ATL,,PHO,W 20-17,,,,,,,,,,0.0%,
46,1992,1992-11-22,11,29.131,ATL,@,BUF,L 14-41,,,,,,,,,,0.0%,
47,1992,1992-11-29,12,29.138,ATL,,NWE,W 34-0,,,,,,,,,,0.0%,
48,1992,1992-12-03,13,29.142,ATL,@,NOR,L 14-22,,,,,,,,,,0.0%,
49,1992,1992-12-13,14,29.152,ATL,@,TAM,W 35-7,,,,,,,,,,0.0%,
50,1992,1992-12-21,15,29.160,ATL,,DAL,L 17-41,,,,,,,,,,0.0%,
51,1992,1992-12-27,16,29.166,ATL,@,RAM,L 27-38,,,,,,,,,,0.0%,
52,1993,1993-09-05,1,30.053,ATL,@,DET,L 13-30,,,,,,,,,,0.0%,
