ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
1,2003,2003-09-07,1,23.135,TEN,,OAK,W 25-20,,,,,,,,,,,0.0%,,,,
2,2003,2003-09-14,2,23.142,TEN,@,IND,L 7-33,,,,,,,,,,,0.0%,,,,
3,2003,2003-09-21,3,23.149,TEN,,NOR,W 27-12,,,,,,,,,,,0.0%,,,,
4,2003,2003-09-28,4,23.156,TEN,@,PIT,W 30-13,,,,,,,,,,,0.0%,,,,
5,2003,2003-10-05,5,23.163,TEN,@,NWE,L 30-38,,,,,,,,,,,0.0%,,,,
6,2003,2003-10-12,6,23.170,TEN,,HOU,W 38-17,,,,,,,,,,,0.0%,,,,
7,2003,2003-11-23,11,23.212,TEN,@,ATL,W 38-31,,,,,,0,,,,,0.0%,,,,
8,2003,2003-12-01,12,23.220,TEN,@,NYJ,L 17-24,,,,,,,,,,,0.0%,,,,
9,2003,2003-12-07,13,23.226,TEN,,IND,L 27-29,,,,,,,,,,,0.0%,,,,
10,2003,2003-12-14,14,23.233,TEN,,BUF,W 28-26,,,,,,,,,,,0.0%,,,,
11,2003,2003-12-21,15,23.240,TEN,@,HOU,W 27-24,,,,,,0,,,,,0.0%,,,,
12,2003,2003-12-28,16,23.247,TEN,,TAM,W 33-13,,,,,,0,,,,,0.0%,,,,
13,2004,2004-09-19,2,24.147,TEN,,IND,L 17-31,,,,,,,,,,,0.0%,,,,
14,2004,2004-09-26,3,24.154,TEN,,JAX,L 12-15,,,,,,0,,,,,0.0%,,,,
15,2004,2004-10-03,4,24.161,TEN,@,SDG,L 17-38,,,,,,,,,,,0.0%,,,,
16,2004,2004-10-11,5,24.169,TEN,@,GNB,W 48-27,,,,,,,,,,,0.0%,,,,
17,2004,2004-10-17,6,24.175,TEN,,HOU,L 10-20,,,,,,0,,,,,0.0%,,,,
18,2004,2004-10-24,7,24.182,TEN,@,MIN,L 3-20,,,,,,,,,,,0.0%,,,,
19,2004,2004-10-31,8,24.189,TEN,,CIN,W 27-20,,,,,,,,,,,0.0%,,,,
20,2004,2004-11-14,9,24.203,TEN,,CHI,L 17-19,,,,,,,,,,,0.0%,,,,
21,2004,2004-11-21,10,24.210,TEN,@,JAX,W 18-15,*,,,,,0,,,,,0.0%,,,,
22,2004,2004-11-28,11,24.217,TEN,@,HOU,L 21-31,*,,,,,0,,,,,0.0%,,,,
23,2004,2004-12-05,12,24.224,TEN,@,IND,L 24-51,,,,,,0,,,,,0.0%,,,,
24,2004,2004-12-13,13,24.232,TEN,,KAN,L 38-49,*,,,,,0,,,,,0.0%,,,,
25,2004,2004-12-19,14,24.238,TEN,@,OAK,L 35-40,*,,,,,0,,,,,0.0%,,,,
26,2004,2004-12-25,15,24.244,TEN,,DEN,L 16-37,*,,,,,0,,,,,0.0%,,,,
27,2004,2005-01-02,16,24.252,TEN,,DET,W 24-19,*,,,,,0,,,,,0.0%,,,,
28,2005,2005-09-11,1,25.139,TEN,@,PIT,L 7-34,,,,,,0,,,,,0.0%,,,,
29,2005,2005-09-18,2,25.146,TEN,,BAL,W 25-10,,,,,,0,,,,,0.0%,,,,
30,2005,2005-09-25,3,25.153,TEN,@,STL,L 27-31,,,,,,,,,,,0.0%,,,,
31,2005,2005-10-02,4,25.160,TEN,,IND,L 10-31,,,,,,,,,,,0.0%,,,,
32,2005,2005-10-09,5,25.167,TEN,@,HOU,W 34-20,,,,,,,,,,,0.0%,,,,
33,2005,2005-10-16,6,25.174,TEN,,CIN,L 23-31,,,,,,0,,,,,0.0%,,,,
34,2005,2005-10-23,7,25.181,TEN,@,ARI,L 10-20,,,,,,,,,,,0.0%,,,,
35,2005,2005-10-30,8,25.188,TEN,,OAK,L 25-34,,,,,,,,,,,0.0%,,,,
36,2005,2005-11-06,9,25.195,TEN,@,CLE,L 14-20,,,,,,1,,,,,0.0%,,,,
37,2005,2005-11-20,10,25.209,TEN,,JAX,L 28-31,,,,,,0,,,,,0.0%,,,,
38,2005,2005-11-27,11,25.216,TEN,,SFO,W 33-22,,,,,,0,,,,,0.0%,,,,
39,2005,2005-12-04,12,25.223,TEN,@,IND,L 3-35,,,,,,0,,,,,0.0%,,,,
40,2005,2005-12-11,13,25.230,TEN,,HOU,W 13-10,,,,,,0,,,,,0.0%,,,,
41,2005,2005-12-18,14,25.237,TEN,,SEA,L 24-28,,0,0,,0,1,1,26,26.00,0,100.0%,26.00,0.0,,
42,2005,2005-12-24,15,25.243,TEN,@,MIA,L 10-24,,,,,,,,,,,0.0%,,,,
43,2005,2006-01-01,16,25.251,TEN,@,JAX,L 13-40,,,,,,,,,,,0.0%,,,,
44,2006,2006-09-10,1,26.138,TEN,,NYJ,L 16-23,,,,,,,,,,,0.0%,,,,
45,2006,2006-09-17,2,26.145,TEN,@,SDG,L 7-40,,,,,,0,,,,,0.0%,,,,
46,2006,2006-09-24,3,26.152,TEN,@,MIA,L 10-13,,,,,,,,,,,0.0%,,,,
47,2006,2006-10-01,4,26.159,TEN,,DAL,L 14-45,,,,,,0,,,,,0.0%,,,,
48,2006,2006-10-08,5,26.166,TEN,@,IND,L 13-14,,,,,,,,,,,0.0%,,,,
49,2006,2006-10-15,6,26.173,TEN,@,WAS,W 25-22,,,,,,0,,,,,0.0%,,,,
50,2006,2006-10-29,7,26.187,TEN,,HOU,W 28-22,,,,,,0,,,,,0.0%,,,,
51,2006,2006-11-05,8,26.194,TEN,@,JAX,L 7-37,,,,,,0,,,,,0.0%,,,,
52,2006,2006-11-12,9,26.201,TEN,,BAL,L 26-27,,1,0,0.00,0,0,0,0,,0,0.0%,,0.0,,
53,2006,2006-11-19,10,26.208,TEN,@,PHI,W 31-13,,,,,,,,,,,0.0%,,,,
54,2006,2006-11-26,11,26.215,TEN,,NYG,W 24-21,,,,,,,,,,,0.0%,,,,
55,2006,2006-12-03,12,26.222,TEN,,IND,W 20-17,,,,,,,,,,,0.0%,,,,
56,2006,2006-12-10,13,26.229,TEN,@,HOU,W 26-20,,,,,,0,,,,,0.0%,,,,
57,2006,2006-12-17,14,26.236,TEN,,JAX,W 24-17,,,,,,,,,,,0.0%,,,,
58,2006,2006-12-24,15,26.243,TEN,@,BUF,W 30-29,,,,,,0,,,,,0.0%,,,,
59,2006,2006-12-31,16,26.250,TEN,,NWE,L 23-40,,,,,,0,,,,,0.0%,,,,
60,2007,2007-09-09,1,27.137,TEN,@,JAX,W 13-10,,,,,,0,,,,,0.0%,,,,
