ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-09-12,1,21.012,ARI,@,STL,L 10-17,*,8,4,70,17.50,0,50.0%,8.75,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,,
2,2004,2004-09-19,2,21.019,ARI,,NWE,L 12-23,*,12,5,36,7.20,0,41.7%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,,
3,2004,2004-09-26,3,21.026,ARI,@,ATL,L 3-6,*,6,5,37,7.40,0,83.3%,6.17,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,,
4,2004,2004-10-03,4,21.033,ARI,,NOR,W 34-10,*,4,3,61,20.33,0,75.0%,15.25,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,,
5,2004,2004-10-10,5,21.040,ARI,@,SFO,L 28-31,*,6,5,94,18.80,1,83.3%,15.67,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,,
6,2004,2004-10-24,6,21.054,ARI,,SEA,W 25-17,*,6,4,73,18.25,1,66.7%,12.17,0,0,,0,0,0,,0,0,0,,1,7,,,,1,6,0.0,,
7,2004,2004-10-31,7,21.061,ARI,@,BUF,L 14-38,*,5,0,0,,0,0.0%,0.00,1,4,4.00,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,,
8,2004,2004-11-07,8,21.068,ARI,@,MIA,W 24-23,*,7,5,92,18.40,1,71.4%,13.14,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,,
9,2004,2004-11-14,9,21.075,ARI,,NYG,W 17-14,*,5,1,2,2.00,0,20.0%,0.40,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,,
10,2004,2004-11-21,10,21.082,ARI,@,CAR,L 10-35,*,14,7,92,13.14,1,50.0%,6.57,2,0,0.00,0,0,0,,0,0,0,,0,0,,,,1,6,0.0,,
11,2004,2004-11-28,11,21.089,ARI,,NYJ,L 3-13,*,6,2,21,10.50,0,33.3%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,,
12,2004,2004-12-05,12,21.096,ARI,@,DET,L 12-26,*,7,2,12,6.00,0,28.6%,1.71,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,,
13,2004,2004-12-12,13,21.103,ARI,,SFO,L 28-31,*,9,4,47,11.75,0,44.4%,5.22,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,,
14,2004,2004-12-19,14,21.110,ARI,,STL,W 31-7,*,6,4,37,9.25,2,66.7%,6.17,0,0,,0,0,0,,0,0,0,,0,0,,,,2,12,0.0,,
