ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1990,1990-09-09,1,23.265,CHI,,SEA,W 17-0,0,0,,0,,,,,0,0,,0
2,1990,1990-09-16,2,23.272,CHI,@,GNB,W 31-13,5,14,2.80,0,0,0,,0,1,7,7.00,0
3,1990,1990-09-23,3,23.279,CHI,,MIN,W 19-16,0,0,,0,0,0,,0,1,10,10.00,0
4,1990,1990-09-30,4,23.286,CHI,@,RAI,L 10-24,0,0,,0,,,,,0,0,,0
5,1990,1990-10-07,5,23.293,CHI,,GNB,W 27-13,0,0,,0,,,,,0,0,,0
6,1990,1990-10-14,6,23.300,CHI,,RAM,W 38-9,4,22,5.50,0,0,0,,0,0,0,,0
7,1990,1990-10-28,7,23.314,CHI,@,PHO,W 31-21,0,0,,0,,,,,0,0,,0
8,1990,1990-11-04,8,23.321,CHI,@,TAM,W 26-6,2,4,2.00,0,0,0,,0,0,0,,0
9,1990,1990-11-11,9,23.328,CHI,,ATL,W 30-24,0,0,,0,,,,,0,0,,0
10,1990,1990-11-18,10,23.335,CHI,@,DEN,W 16-13,1,8,8.00,0,0,0,,0,0,0,,0
11,1990,1990-11-25,11,23.342,CHI,@,MIN,L 13-41,0,0,,0,,,,,0,0,,0
12,1990,1990-12-02,12,23.349,CHI,,DET,W 23-17,0,0,,0,,,,,0,0,,0
13,1990,1990-12-09,13,23.356,CHI,@,WAS,L 9-10,0,0,,0,,,,,0,0,,0
14,1990,1990-12-16,14,23.363,CHI,@,DET,L 21-38,0,0,,0,,,,,0,0,,0
15,1990,1990-12-23,15,24.005,CHI,,TAM,W 27-14,4,8,2.00,0,0,0,,0,0,0,,0
16,1990,1990-12-29,16,24.011,CHI,,KAN,L 10-21,0,0,,0,0,0,,0,1,0,0.00,0
17,1991,1991-09-01,1,24.257,CHI,,MIN,W 10-6,6,19,3.17,0,0,0,,0,0,0,,0
18,1991,1991-09-08,2,24.264,CHI,@,TAM,W 21-20,6,15,2.50,0,4,19,4.75,0,0,0,,0
19,1991,1991-09-15,3,24.271,CHI,,NYG,W 20-17,2,10,5.00,0,0,0,,0,0,0,,0
20,1991,1991-09-23,4,24.279,CHI,,NYJ,W 19-13,2,2,1.00,0,2,13,6.50,0,0,0,,0
21,1991,1991-09-29,5,24.285,CHI,@,BUF,L 20-35,3,7,2.33,0,2,14,7.00,0,1,0,0.00,0
22,1991,1991-10-06,6,24.292,CHI,,WAS,L 7-20,1,0,0.00,0,4,28,7.00,0,0,0,,0
23,1991,1991-10-27,8,24.313,CHI,@,NOR,W 20-17,0,0,,0,0,0,,0,0,0,,0
24,1991,1991-11-11,10,24.328,CHI,@,MIN,W 34-17,3,15,5.00,0,0,0,,0,1,10,10.00,0
25,1991,1991-11-17,11,24.334,CHI,@,IND,W 31-17,0,0,,0,0,0,,0,0,0,,0
26,1991,1991-11-24,12,24.341,CHI,,MIA,L 13-16,2,3,1.50,0,1,3,3.00,0,0,0,,0
27,1991,1991-11-28,13,24.345,CHI,@,DET,L 6-16,2,3,1.50,0,2,16,8.00,0,0,0,,0
28,1991,1991-12-08,14,24.355,CHI,,GNB,W 27-13,0,0,,0,0,0,,0,0,0,,0
29,1991,1991-12-14,15,24.361,CHI,,TAM,W 27-0,0,0,,0,0,0,,0,0,0,,0
30,1991,1991-12-23,16,25.005,CHI,@,SFO,L 14-52,0,0,,0,0,0,,0,0,0,,0
