ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1984,1984-09-16,3,23.152,CIN,@,NYJ,L 23-43,,4,7,57.14,31,0,0,68.2,0,0,4.43,4.43,3,9,3.00,1,,0,0,,0,,,1,6,0,0,,0
2,1984,1984-10-01,5,23.167,CIN,@,PIT,L 17-38,,1,3,33.33,9,0,0,42.4,0,0,3.00,3.00,0,0,,0,,0,0,,0,,,0,0,0,0,,0
3,1984,1984-10-07,6,23.173,CIN,,HOU,W 13-3,*,13,24,54.17,159,0,2,40.1,0,0,6.63,2.88,4,8,2.00,1,,0,0,,0,,,1,6,0,0,,0
4,1984,1984-10-14,7,23.180,CIN,@,NWE,L 14-20,*,13,26,50.00,174,2,0,97.3,2,20,6.69,8.23,5,25,5.00,0,,0,0,,0,,,0,0,0,0,,0
5,1984,1984-10-21,8,23.187,CIN,,CLE,W 12-9,*,1,7,14.29,4,0,0,39.6,1,15,0.57,0.57,4,11,2.75,0,,0,0,,0,,,0,0,0,0,,0
6,1984,1984-11-18,12,23.215,CIN,,SEA,L 6-26,,1,2,50.00,14,0,1,33.3,1,11,7.00,-15.50,0,0,,0,,0,0,,0,,,0,0,0,0,,0
7,1984,1984-11-25,13,23.222,CIN,,ATL,W 35-14,,2,2,100.00,9,0,0,85.4,0,0,4.50,4.50,0,0,,0,,0,0,,0,,,0,0,0,0,,0
8,1984,1984-12-02,14,23.229,CIN,@,CLE,W 20-17,,12,20,60.00,108,1,0,91.2,1,6,5.40,6.40,0,0,,0,,0,0,,0,,,0,0,0,0,,0
9,1984,1984-12-09,15,23.236,CIN,@,NOR,W 24-21,*,1,6,16.67,1,0,0,39.6,0,0,0.17,0.17,2,10,5.00,0,,0,0,,0,,,0,0,0,0,,0
10,1984,1984-12-16,16,23.243,CIN,,BUF,W 52-21,,3,5,60.00,21,0,0,69.6,0,0,4.20,4.20,1,0,0.00,0,,0,0,,0,,,0,0,0,0,,0
11,1985,1985-09-15,2,24.151,CIN,@,STL,L 27-41,,7,12,58.33,85,1,0,108.0,1,2,7.08,8.75,1,1,1.00,0,,0,0,,0,,,0,0,0,0,,0
12,1985,1985-09-22,3,24.158,CIN,,SDG,L 41-44,*,26,44,59.09,320,3,2,85.4,3,24,7.27,6.59,1,0,0.00,0,,0,0,,0,,,0,0,0,0,,0
13,1985,1985-09-30,4,24.166,CIN,@,PIT,W 37-24,*,19,27,70.37,184,3,0,126.2,3,40,6.81,9.04,2,10,5.00,0,,0,0,,0,,,0,0,0,0,,0
14,1985,1985-10-06,5,24.172,CIN,,NYJ,L 20-29,*,12,26,46.15,173,0,1,52.2,3,33,6.65,4.92,4,19,4.75,1,,0,0,,0,,,1,6,0,0,,0
15,1985,1985-10-13,6,24.179,CIN,,NYG,W 35-30,*,15,24,62.50,193,3,0,127.3,4,36,8.04,10.54,4,-27,-6.75,0,,0,0,,0,,,0,0,0,0,,0
16,1985,1985-10-20,7,24.186,CIN,@,HOU,L 27-44,*,30,52,57.69,381,3,3,75.9,4,29,7.33,5.88,2,16,8.00,0,,0,0,,0,,,0,0,0,0,,0
17,1985,1985-10-27,8,24.193,CIN,,PIT,W 26-21,*,18,29,62.07,235,1,1,84.7,1,8,8.10,7.24,5,-1,-0.20,0,,0,0,,0,,,0,0,0,0,,0
18,1985,1985-11-03,9,24.200,CIN,@,BUF,W 23-17,*,11,21,52.38,193,2,1,95.9,1,12,9.19,8.95,3,3,1.00,0,,0,0,,0,,,0,0,0,0,,0
19,1985,1985-11-10,10,24.207,CIN,,CLE,W 27-10,*,23,33,69.70,262,1,0,103.3,1,10,7.94,8.55,2,1,0.50,0,,0,0,,0,,,0,0,0,0,,0
20,1985,1985-11-17,11,24.214,CIN,@,RAI,L 6-13,*,14,31,45.16,175,0,0,63.2,3,29,5.65,5.65,1,20,20.00,0,,0,0,,0,,,0,0,0,0,,0
21,1985,1985-11-24,12,24.221,CIN,@,CLE,L 6-24,*,3,5,60.00,30,0,1,37.5,3,26,6.00,-3.00,1,11,11.00,0,,0,0,,0,,,0,0,0,0,,0
22,1985,1985-12-01,13,24.228,CIN,,HOU,W 45-27,*,18,24,75.00,320,3,0,156.2,1,3,13.33,15.83,2,0,0.00,0,,0,0,,0,,,0,0,0,0,,0
23,1985,1985-12-08,14,24.235,CIN,,DAL,W 50-24,*,15,25,60.00,265,3,0,135.8,0,0,10.60,13.00,0,0,,0,,0,0,,0,,,0,0,0,0,,0
