ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1992,1992-09-20,3,21.105,GNB,,CIN,W 24-23,,0,0,,0,3,64,21.33,1,1,6,0.0,0,0,0
2,1992,1992-09-27,4,21.112,GNB,,PIT,W 17-3,,0,0,,0,2,26,13.00,0,0,0,0.0,0,0,0
3,1992,1992-10-04,5,21.119,GNB,@,ATL,L 10-24,,0,0,,0,2,-2,-1.00,0,0,0,0.0,0,0,0
4,1992,1992-10-18,6,21.133,GNB,@,CLE,L 6-17,,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0
5,1992,1992-10-25,7,21.140,GNB,,CHI,L 10-30,,0,0,,0,4,39,9.75,0,0,0,0.0,0,0,0
6,1992,1992-11-01,8,21.147,GNB,@,DET,W 27-13,,0,0,,0,2,61,30.50,0,0,0,0.0,0,0,0
7,1992,1992-11-08,9,21.154,GNB,@,NYG,L 7-27,,0,0,,0,3,15,5.00,0,0,0,0.0,0,0,0
8,1992,1992-11-15,10,21.161,GNB,,PHI,W 27-24,,0,0,,0,1,5,5.00,0,0,0,0.0,0,0,0
9,1992,1992-11-22,11,21.168,GNB,@,CHI,W 17-3,,0,0,,0,2,0,0.00,0,0,0,0.0,0,0,0
10,1992,1992-11-29,12,21.175,GNB,,TAM,W 19-14,,,,,,0,0,,0,,,,,,
11,1992,1992-12-06,13,21.182,GNB,,DET,W 38-10,,0,0,,0,1,3,3.00,0,0,0,0.0,1,0,0
12,1992,1992-12-13,14,21.189,GNB,@,HOU,W 16-14,,,,,,0,0,,0,,,,,,
13,1992,1992-12-20,15,21.196,GNB,,RAM,W 28-13,,0,0,,0,0,0,,0,1,6,0.0,2,33,1
14,1992,1992-12-27,16,21.203,GNB,@,MIN,L 7-27,,,,,,0,0,,0,,,,,,
15,1993,1993-09-05,1,22.090,GNB,,RAM,W 36-6,,0,0,,0,3,42,14.00,0,0,0,0.0,0,0,0
16,1993,1993-09-12,2,22.097,GNB,,PHI,L 17-20,,0,0,,0,1,2,2.00,0,0,0,0.0,0,0,0
17,1993,1993-09-26,3,22.111,GNB,@,MIN,L 13-15,,0,0,,0,3,15,5.00,0,0,0,0.0,0,0,0
18,1993,1993-10-03,4,22.118,GNB,@,DAL,L 14-36,,,,,,0,0,,0,,,,,,
19,1993,1993-10-10,5,22.125,GNB,,DEN,W 30-27,,,,,,0,0,,0,,,,,,
20,1993,1993-10-24,6,22.139,GNB,@,TAM,W 37-14,,0,0,,0,3,23,7.67,0,0,0,0.0,1,0,0
21,1993,1993-10-31,7,22.146,GNB,,CHI,W 17-3,,0,0,,0,1,-6,-6.00,0,0,0,0.0,0,0,0
22,1993,1993-11-08,8,22.154,GNB,@,KAN,L 16-23,,,,,,0,0,,0,,,,,,
23,1993,1993-11-14,9,22.160,GNB,@,NOR,W 19-17,,,,,,0,0,,0,,,,,,
24,1993,1993-11-21,10,22.167,GNB,,DET,W 26-17,,,,,,0,0,,0,,,,,,
25,1993,1993-11-28,11,22.174,GNB,,TAM,W 13-10,,,,,,0,0,,0,,,,,,
