ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-12-04,10,24.065,DET,@,BAL,W 20-15,,,,,,,0,0,1,21,0
2,1961,1961-10-08,4,25.008,DET,,CHI,L 17-31,2,2,100.0,,,,0,2,,,
3,1961,1961-10-15,5,25.015,DET,,RAM,W 14-13,2,2,100.0,,1,0.0,0,2,1,4,0
4,1961,1961-10-22,6,25.022,DET,,BAL,L 14-17,2,2,100.0,,2,0.0,0,2,0,0,0
5,1962,1962-09-16,1,25.351,DET,,PIT,W 45-7,6,6,100.0,1,2,50.0,0,9,0,0,0
6,1962,1962-09-23,2,25.358,DET,,SFO,W 45-24,6,6,100.0,1,2,50.0,0,9,0,0,0
7,1962,1962-09-30,3,26.000,DET,@,BAL,W 29-20,3,3,100.0,2,3,66.7,0,9,0,0,0
8,1962,1962-10-07,4,26.007,DET,@,GNB,L 7-9,1,1,100.0,,2,0.0,0,1,0,0,0
9,1962,1962-10-14,5,26.014,DET,,RAM,W 13-10,1,1,100.0,,1,0.0,0,1,0,0,0
10,1962,1962-10-21,6,26.021,DET,@,NYG,L 14-17,2,2,100.0,,2,0.0,0,2,0,0,0
11,1962,1962-10-28,7,26.028,DET,,CHI,W 11-3,,,,3,4,75.0,0,9,0,0,0
12,1962,1962-11-04,8,26.035,DET,@,RAM,W 12-3,1,1,100.0,1,3,33.3,0,4,0,0,0
13,1962,1962-11-11,9,26.042,DET,@,SFO,W 38-24,5,5,100.0,1,1,100.0,0,8,0,0,0
14,1962,1962-11-18,10,26.049,DET,@,MIN,W 17-6,2,2,100.0,,2,0.0,0,2,0,0,0
15,1962,1962-11-22,11,26.053,DET,,GNB,W 26-14,3,3,100.0,,,,0,3,,,
16,1962,1962-12-02,12,26.063,DET,,BAL,W 21-14,3,3,100.0,,,,0,3,,,
17,1962,1962-12-09,13,26.070,DET,,MIN,W 37-23,4,4,100.0,,,,0,4,1,47,0
18,1963,1963-09-14,1,26.349,DET,@,RAM,W 23-2,2,2,100.0,3,3,100.0,0,11,0,0,0
19,1963,1963-09-22,2,26.357,DET,@,GNB,L 10-31,1,1,100.0,1,1,100.0,0,4,0,0,0
20,1963,1963-09-29,3,26.364,DET,,CHI,L 21-37,3,3,100.0,,2,0.0,0,3,0,0,0
21,1963,1963-10-06,4,27.006,DET,,SFO,W 26-3,3,3,100.0,1,3,33.3,0,6,0,0,0
22,1963,1963-10-13,5,27.013,DET,@,DAL,L 14-17,2,2,100.0,,4,0.0,0,2,0,0,0
23,1963,1963-10-20,6,27.020,DET,,BAL,L 21-25,3,3,100.0,,,,0,3,,,
24,1963,1963-11-17,10,27.048,DET,,RAM,L 21-28,3,3,100.0,,,,0,3,1,17,0
25,1963,1963-11-24,11,27.055,DET,@,MIN,L 31-34,4,4,100.0,1,2,50.0,0,7,0,0,0
26,1963,1963-11-28,12,27.059,DET,,GNB,T 13-13,1,1,100.0,2,5,40.0,0,7,0,0,0
27,1963,1963-12-08,13,27.069,DET,,CLE,W 38-10,5,5,100.0,1,2,50.0,0,8,0,0,0
28,1963,1963-12-15,14,27.076,DET,@,CHI,L 14-24,2,2,100.0,,,,0,2,,,
29,1964,1964-09-13,1,27.349,DET,@,SFO,W 26-17,2,2,100.0,4,4,100.0,0,14,0,0,0
30,1964,1964-09-19,2,27.355,DET,@,RAM,T 17-17,2,2,100.0,1,1,100.0,0,5,0,0,0
31,1964,1964-09-28,3,27.364,DET,,GNB,L 10-14,1,1,100.0,1,2,50.0,0,4,0,0,0
32,1964,1964-10-04,4,28.004,DET,,NYG,W 26-3,3,3,100.0,1,4,25.0,0,6,1,14,0
33,1964,1964-10-11,5,28.011,DET,@,MIN,W 24-20,3,3,100.0,1,4,25.0,0,6,0,0,0
34,1964,1964-10-18,6,28.018,DET,@,CHI,W 10-0,1,1,100.0,1,2,50.0,0,4,0,0,0
35,1964,1964-10-25,7,28.025,DET,,BAL,L 0-34,,,,,1,0.0,0,0,0,0,0
36,1964,1964-11-01,8,28.032,DET,,RAM,W 37-17,4,5,80.0,1,1,100.0,0,7,0,0,0
37,1964,1964-11-08,9,28.039,DET,@,GNB,L 7-30,1,1,100.0,,,,0,1,,,
38,1964,1964-11-15,10,28.046,DET,@,CLE,L 21-37,3,3,100.0,,1,0.0,0,3,0,0,0
39,1964,1964-11-22,11,28.053,DET,,MIN,T 23-23,2,3,66.7,1,1,100.0,0,5,0,0,0
40,1964,1964-11-26,12,28.057,DET,,CHI,L 24-27,3,3,100.0,1,1,100.0,0,6,0,0,0
41,1964,1964-12-06,13,28.067,DET,@,BAL,W 31-14,4,4,100.0,1,1,100.0,0,7,0,0,0
42,1964,1964-12-13,14,28.074,DET,,SFO,W 24-7,3,3,100.0,1,2,50.0,0,6,0,0,0
43,1965,1965-09-19,1,28.354,DET,,RAM,W 20-0,2,2,100.0,2,4,50.0,0,8,0,0,0
44,1965,1965-09-26,2,28.361,DET,@,MIN,W 31-29,4,4,100.0,1,2,50.0,0,7,1,0,0
45,1965,1965-10-03,3,29.003,DET,,WAS,W 14-10,2,2,100.0,,,,0,2,,,
46,1965,1965-10-10,4,29.010,DET,@,BAL,L 7-31,1,1,100.0,,,,0,1,,,
47,1965,1965-10-17,5,29.017,DET,,GNB,L 21-31,3,3,100.0,,1,0.0,0,3,0,0,0
48,1965,1965-10-24,6,29.024,DET,@,CHI,L 10-38,1,1,100.0,1,2,50.0,0,4,0,0,0
49,1965,1965-10-31,7,29.031,DET,@,RAM,W 31-7,4,4,100.0,1,3,33.3,0,7,0,0,0
50,1965,1965-11-07,8,29.038,DET,@,GNB,W 12-7,1,1,100.0,1,1,100.0,0,4,0,0,0
51,1965,1965-11-14,9,29.045,DET,,SFO,L 21-27,3,3,100.0,,,,0,3,,,
52,1965,1965-11-21,10,29.052,DET,,CHI,L 10-17,1,1,100.0,1,1,100.0,0,4,0,0,0
53,1965,1965-11-25,11,29.056,DET,,BAL,T 24-24,3,3,100.0,1,3,33.3,0,6,0,0,0
54,1965,1965-12-05,12,29.066,DET,@,SFO,L 14-17,2,2,100.0,,2,0.0,0,2,0,0,0
55,1965,1965-12-12,13,29.073,DET,,MIN,L 7-29,1,1,100.0,,,,0,1,,,
56,1965,1965-12-19,14,29.080,DET,@,PHI,W 35-28,5,5,100.0,,3,0.0,0,5,1,0,0
57,1966,1966-09-11,1,29.346,DET,,CHI,W 14-3,2,2,100.0,,,,0,2,,,
58,1966,1966-09-18,2,29.353,DET,@,PIT,L 3-17,,,,1,3,33.3,0,3,0,0,0
59,1966,1966-09-25,3,29.360,DET,,ATL,W 28-10,4,4,100.0,,1,0.0,0,4,0,0,0
60,1966,1966-10-02,4,30.002,DET,@,GNB,L 14-23,2,2,100.0,,1,0.0,0,2,0,0,0
61,1966,1966-10-16,6,30.016,DET,@,BAL,L 14-45,2,2,100.0,,,,0,2,,,
62,1966,1966-10-23,7,30.023,DET,@,SFO,L 24-27,,,,,1,0.0,0,0,0,0,0
63,1966,1966-10-30,8,30.030,DET,,GNB,L 7-31,1,1,100.0,,1,0.0,0,1,0,0,0
64,1966,1966-11-06,9,30.037,DET,@,CHI,T 10-10,,,,1,1,100.0,0,3,0,0,0
