ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1972,1972-09-17,1,22.092,HOU,@,DEN,L 17-30,4,8,2.00,0,3,17,5.67,0,0,0,,0,0,0,,0
2,1972,1972-09-24,2,22.099,HOU,@,MIA,L 13-34,1,2,2.00,0,2,-2,-1.00,0,1,15,15.00,0,0,0,,0
3,1972,1972-10-01,3,22.106,HOU,,NYJ,W 26-20,2,3,1.50,0,0,0,,0,0,0,,0,0,0,,0
4,1972,1972-10-09,4,22.114,HOU,,OAK,L 0-34,1,1,1.00,0,0,0,,0,0,0,,0,0,0,,0
5,1972,1972-10-15,5,22.120,HOU,@,PIT,L 7-24,,,,,,,,,,,,,,,,
6,1972,1972-10-22,6,22.127,HOU,,CLE,L 17-23,,,,,,,,,,,,,,,,
7,1972,1972-10-29,7,22.134,HOU,@,CIN,L 7-30,0,0,,0,0,0,,0,2,51,25.50,0,1,0,0.00,0
8,1972,1972-11-05,8,22.141,HOU,@,CLE,L 0-20,0,0,,0,0,0,,0,4,88,22.00,0,1,0,0.00,0
9,1972,1972-11-12,9,22.148,HOU,,PHI,L 17-18,,,,,,,,,,,,,,,,
10,1972,1972-11-19,10,22.155,HOU,,GNB,L 10-23,,,,,,,,,,,,,,,,
11,1972,1972-11-26,11,22.162,HOU,@,SDG,L 20-34,,,,,,,,,,,,,,,,
12,1972,1972-12-03,12,22.169,HOU,@,ATL,L 10-20,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0
13,1972,1972-12-10,13,22.176,HOU,,PIT,L 3-9,1,-5,-5.00,0,1,9,9.00,0,0,0,,0,0,0,,0
14,1972,1972-12-17,14,22.183,HOU,,CIN,L 17-61,1,-3,-3.00,0,0,0,,0,0,0,,0,0,0,,0
15,1973,1973-09-23,2,23.098,HOU,@,CIN,L 10-24,,,,,,,,,,,,,,,,
16,1973,1973-09-30,3,23.105,HOU,,PIT,L 7-36,1,-3,-3.00,0,0,0,,0,0,0,,0,0,0,,0
17,1973,1973-10-07,4,23.112,HOU,,RAM,L 26-31,,,,,,,,,,,,,,,,
18,1973,1973-10-14,5,23.119,HOU,,DEN,L 20-48,,,,,,,,,,,,,,,,
19,1973,1973-10-21,6,23.126,HOU,@,CLE,L 13-42,,,,,,,,,,,,,,,,
20,1974,1974-09-15,1,24.090,HOU,,SDG,W 21-14,,,,,,,,,,,,,,,,
21,1974,1974-09-22,2,24.097,HOU,@,CLE,L 7-20,,,,,,,,,,,,,,,,
22,1974,1974-09-29,3,24.104,HOU,,KAN,L 7-17,,,,,,,,,,,,,,,,
23,1974,1974-10-06,4,24.111,HOU,,PIT,L 7-13,,,,,,,,,,,,,,,,
24,1974,1974-10-13,5,24.118,HOU,@,MIN,L 10-51,,,,,,,,,,,,,,,,
25,1974,1974-10-20,6,24.125,HOU,,STL,L 27-31,,,,,,,,,,,,,,,,
26,1974,1974-10-27,7,24.132,HOU,@,CIN,W 34-21,,,,,,,,,,,,,,,,
27,1974,1974-11-03,8,24.139,HOU,@,NYJ,W 27-22,,,,,,,,,,,,,,,,
28,1974,1974-11-10,9,24.146,HOU,@,BUF,W 21-9,,,,,,,,,,,,,,,,
29,1974,1974-11-17,10,24.153,HOU,,CIN,W 20-3,,,,,,,,,,,,,,,,
30,1974,1974-11-24,11,24.160,HOU,,DAL,L 0-10,,,,,,,,,,,,,,,,
31,1974,1974-12-01,12,24.167,HOU,@,PIT,W 13-10,,,,,,,,,,,,,,,,
32,1974,1974-12-08,13,24.174,HOU,@,DEN,L 14-37,0,0,,0,0,0,,0,1,14,14.00,0,0,0,,0
33,1974,1974-12-15,14,24.181,HOU,,CLE,W 28-24,,,,,,,,,,,,,,,,
34,1976,1976-09-12,1,26.087,HOU,,TAM,W 20-0,,,,,,,,,,,,,,,,
35,1976,1976-09-19,2,26.094,HOU,@,BUF,W 13-3,,,,,,,,,,,,,,,,
36,1976,1976-09-26,3,26.101,HOU,,OAK,L 13-14,,,,,,,,,,,,,,,,
37,1976,1976-10-03,4,26.108,HOU,@,NOR,W 31-26,,,,,,,,,,,,,,,,
38,1976,1976-10-10,5,26.115,HOU,,DEN,W 17-3,0,0,,0,0,0,,0,1,20,20.00,0,0,0,,0
39,1976,1976-10-17,6,26.122,HOU,@,SDG,L 27-30,,,,,,,,,,,,,,,,
40,1976,1976-10-24,7,26.129,HOU,,CIN,L 7-27,0,0,,0,0,0,,0,3,52,17.33,0,0,0,,0
41,1976,1976-11-01,8,26.137,HOU,@,BAL,L 14-38,0,0,,0,0,0,,0,2,36,18.00,0,0,0,,0
42,1976,1976-11-07,9,26.143,HOU,,CLE,L 7-21,,,,,,,,,,,,,,,,
43,1976,1976-11-14,10,26.150,HOU,@,CIN,L 27-31,,,,,,,,,,,,,,,,
44,1976,1976-11-21,11,26.157,HOU,@,PIT,L 16-32,,,,,,,,,,,,,,,,
45,1976,1976-11-28,12,26.164,HOU,,ATL,W 20-14,0,0,,0,0,0,,0,2,42,21.00,0,0,0,,0
46,1976,1976-12-05,13,26.171,HOU,@,CLE,L 10-13,,,,,,,,,,,,,,,,
47,1976,1976-12-11,14,26.177,HOU,,PIT,L 0-21,,,,,,,,,,,,,,,,
48,1977,1977-09-18,1,27.093,HOU,,NYJ,W 20-0,,,,,,,,,,,,,,,,
49,1977,1977-09-25,2,27.100,HOU,@,GNB,W 16-10,,,,,,,,,,,,,,,,
50,1977,1977-10-02,3,27.107,HOU,@,MIA,L 7-27,,,,,,,,,,,,,,,,
51,1977,1977-10-09,4,27.114,HOU,,PIT,W 27-10,,,,,,,,,,,,,,,,
52,1977,1977-10-16,5,27.121,HOU,,CLE,L 23-24,,,,,,,,,,,,,,,,
53,1977,1977-10-23,6,27.128,HOU,@,PIT,L 10-27,,,,,,,,,,,,,,,,
54,1977,1977-10-30,7,27.135,HOU,@,CIN,L 10-13,,,,,,,,,,,,,,,,
55,1977,1977-11-06,8,27.142,HOU,,CHI,W 47-0,,,,,,,,,,,,,,,,
56,1977,1977-11-13,9,27.149,HOU,@,OAK,L 29-34,,,,,,,,,,,,,,,,
57,1977,1977-11-20,10,27.156,HOU,@,SEA,W 22-10,,,,,,,,,,,,,,,,
58,1977,1977-11-27,11,27.163,HOU,,KAN,W 34-20,,,,,,,,,,,,,,,,
59,1977,1977-12-04,12,27.170,HOU,,DEN,L 14-24,,,,,,,,,,,,,,,,
60,1977,1977-12-11,13,27.177,HOU,@,CLE,W 19-15,,,,,,,,,,,,,,,,
61,1977,1977-12-18,14,27.184,HOU,,CIN,W 21-16,,,,,,,,,,,,,,,,
62,1978,1978-11-05,10,28.141,HOU,,CLE,W 14-10,,,,,,,,,,,,,,,,
63,1978,1978-11-12,11,28.148,HOU,@,NWE,W 26-23,,,,,,,,,,,,,,,,
64,1978,1978-11-20,12,28.156,HOU,,MIA,W 35-30,,,,,,,,,,,,,,,,
65,1978,1978-11-26,13,28.162,HOU,,CIN,W 17-10,,,,,,,,,,,,,,,,
66,1978,1978-12-03,14,28.169,HOU,,PIT,L 3-13,,,,,,,,,,,,,,,,
67,1978,1978-12-10,15,28.176,HOU,@,NOR,W 17-12,,,,,,,,,,,,,,,,
68,1978,1978-12-17,16,28.183,HOU,,SDG,L 24-45,,,,,,,,,,,,,,,,
