ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2002,2002-09-29,4,22.044,NWE,@,SDG,L 14-21,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
2,2002,2002-10-06,5,22.051,NWE,@,MIA,L 13-26,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
3,2002,2002-10-13,6,22.058,NWE,,GNB,L 10-28,,3,3,22,7.33,1,100.0%,7.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
4,2002,2002-10-27,7,22.072,NWE,,DEN,L 16-24,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
5,2002,2002-11-03,8,22.079,NWE,@,BUF,W 38-7,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
6,2002,2002-11-10,9,22.086,NWE,@,CHI,W 33-30,,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
7,2002,2002-11-17,10,22.093,NWE,@,OAK,L 20-27,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
8,2002,2002-11-24,11,22.100,NWE,,MIN,W 24-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
9,2002,2002-12-08,13,22.114,NWE,,BUF,W 27-17,,1,1,30,30.00,0,100.0%,30.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
10,2002,2002-12-16,14,22.122,NWE,@,TEN,L 7-24,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
11,2002,2002-12-22,15,22.128,NWE,,NYJ,L 17-30,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
12,2002,2002-12-29,16,22.135,NWE,,MIA,W 27-24,,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
13,2003,2003-09-21,3,23.036,NWE,,NYJ,W 23-16,,1,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
14,2003,2003-09-28,4,23.043,NWE,@,WAS,L 17-20,,6,4,57,14.25,1,66.7%,9.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
15,2003,2003-10-05,5,23.050,NWE,,TEN,W 38-30,,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
16,2003,2003-10-12,6,23.057,NWE,,NYG,W 17-6,,3,1,21,21.00,0,33.3%,7.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
17,2003,2003-10-19,7,23.064,NWE,@,MIA,W 19-13,,5,3,34,11.33,1,60.0%,6.80,0,0,,0,0,0,,0,0,0,,0,,,,1,20,20.00,0,1,6
18,2003,2003-10-26,8,23.071,NWE,,CLE,W 9-3,,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
19,2003,2003-11-03,9,23.079,NWE,@,DEN,W 30-26,,5,3,87,29.00,1,60.0%,17.40,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
20,2003,2003-11-16,10,23.092,NWE,,DAL,W 12-0,*,2,2,67,33.50,0,100.0%,33.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
21,2003,2003-11-30,12,23.106,NWE,@,IND,W 38-34,,5,3,21,7.00,0,60.0%,4.20,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
22,2003,2003-12-07,13,23.113,NWE,,MIA,W 12-0,*,5,2,17,8.50,0,40.0%,3.40,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
23,2003,2003-12-14,14,23.120,NWE,,JAX,W 27-13,*,7,5,65,13.00,0,71.4%,9.29,0,0,,0,0,0,,0,0,0,,0,,,,1,11,11.00,0,0,0
24,2003,2003-12-20,15,23.126,NWE,@,NYJ,W 21-16,*,5,4,61,15.25,2,80.0%,12.20,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,2,12
25,2003,2003-12-27,16,23.133,NWE,,BUF,W 31-0,*,10,7,80,11.43,1,70.0%,8.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
26,2004,2004-09-09,1,24.024,NWE,,IND,W 27-24,*,4,4,80,20.00,0,100.0%,20.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
27,2004,2004-09-19,2,24.034,NWE,@,ARI,W 23-12,,10,6,120,20.00,0,60.0%,12.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
28,2004,2004-10-03,3,24.048,NWE,@,BUF,W 31-17,,7,4,86,21.50,0,57.1%,12.29,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
29,2004,2004-10-10,4,24.055,NWE,,MIA,W 24-10,*,10,4,33,8.25,1,40.0%,3.30,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
30,2004,2004-10-17,5,24.062,NWE,,SEA,W 30-20,*,4,1,17,17.00,0,25.0%,4.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
31,2004,2004-10-24,6,24.069,NWE,,NYJ,W 13-7,*,6,5,107,21.40,0,83.3%,17.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
32,2004,2004-10-31,7,24.076,NWE,@,PIT,L 20-34,*,13,8,101,12.63,2,61.5%,7.77,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12
33,2004,2004-11-07,8,24.083,NWE,@,STL,W 40-22,*,10,5,100,20.00,0,50.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
