ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2007,2007-10-14,6,25.243,CAR,@,ARI,W 25-10,,1,2,2.00,0,0,0,0,,0,0.0%,
2,2007,2007-10-28,7,25.257,CAR,,IND,L 7-31,,0,0,,0,3,3,14,4.67,0,100.0%,4.67
3,2007,2007-11-04,8,25.264,CAR,@,TEN,L 7-20,,0,0,,0,,0,0,,0,0.0%,
4,2007,2007-11-11,9,25.271,CAR,,ATL,L 13-20,,0,0,,0,0,0,0,,0,0.0%,
5,2007,2007-11-18,10,25.278,CAR,@,GNB,L 17-31,,0,0,,0,,0,0,,0,0.0%,
6,2007,2007-12-02,12,25.292,CAR,,SFO,W 31-14,,,,,,,,,,,0.0%,
7,2007,2007-12-09,13,25.299,CAR,@,JAX,L 6-37,,0,0,,0,,0,0,,0,0.0%,
8,2007,2007-12-16,14,25.306,CAR,,SEA,W 13-10,,0,0,,0,,0,0,,0,0.0%,
9,2007,2007-12-22,15,25.312,CAR,,DAL,L 13-20,,0,0,,0,0,0,0,,0,0.0%,
10,2007,2007-12-30,16,25.320,CAR,@,TAM,W 31-23,,2,1,0.50,0,0,0,0,,0,0.0%,
