ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-17,1,27.240,NYG,@,PIT,W 18-7,10,5,0.50,0,1,5,5.00,0
2,1950,1950-10-01,2,27.254,NYG,@,CLE,W 6-0,12,77,6.42,0,1,3,3.00,0
3,1950,1950-10-08,3,27.261,NYG,@,WAS,W 21-17,7,4,0.57,1,1,39,39.00,1
4,1950,1950-10-15,4,27.268,NYG,,PIT,L 6-17,9,19,2.11,0,1,-5,-5.00,0
5,1950,1950-10-22,5,27.275,NYG,,CLE,W 17-13,3,0,0.00,0,0,0,,0
6,1950,1950-10-29,6,27.282,NYG,@,CRD,L 3-17,2,17,8.50,0,2,47,23.50,0
7,1950,1950-11-05,7,27.289,NYG,,WAS,W 24-21,2,3,1.50,0,0,0,,0
8,1950,1950-11-12,8,27.296,NYG,,CRD,W 51-21,26,218,8.38,2,0,0,,0
9,1950,1950-11-19,9,27.303,NYG,@,BAL,W 55-20,17,71,4.18,0,3,14,4.67,0
10,1950,1950-11-26,10,27.310,NYG,,PHI,W 7-3,7,-4,-0.57,0,0,0,,0
11,1950,1950-12-03,11,27.317,NYG,,NYY,W 51-7,15,54,3.60,1,0,0,,0
12,1950,1950-12-10,12,27.324,NYG,@,PHI,W 9-7,6,19,3.17,0,0,0,,0
