ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,1998,1998-09-06,1,21.334,OAK,@,KAN,L 8-28,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
2,1998,1998-09-13,2,21.341,OAK,,NYG,W 20-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
3,1998,1998-09-20,3,21.348,OAK,,DEN,L 17-34,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
4,1998,1998-09-27,4,21.355,OAK,@,DAL,W 13-12,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,24,0
5,1998,1998-10-04,5,21.362,OAK,@,ARI,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,,,1,46,1
6,1998,1998-10-11,6,22.004,OAK,,SDG,W 7-6,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
7,1998,1998-10-25,7,22.018,OAK,,CIN,W 27-10,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
8,1998,1998-11-01,8,22.025,OAK,@,SEA,W 31-18,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
9,1998,1998-11-15,10,22.039,OAK,,SEA,W 20-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,5,0
10,1998,1998-11-22,11,22.046,OAK,@,DEN,L 14-40,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
11,1998,1998-11-29,12,22.053,OAK,,WAS,L 19-29,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
12,1998,1998-12-06,13,22.060,OAK,,MIA,L 17-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
13,1998,1998-12-13,14,22.067,OAK,@,BUF,L 21-44,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
14,1998,1998-12-20,15,22.074,OAK,@,SDG,W 17-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,30,0
15,1998,1998-12-26,16,22.080,OAK,,KAN,L 24-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,13,0
16,1999,1999-09-12,1,22.340,OAK,@,GNB,L 24-28,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
17,1999,1999-09-19,2,22.347,OAK,@,MIN,W 22-17,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
18,1999,1999-09-26,3,22.354,OAK,,CHI,W 24-17,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
19,1999,1999-10-03,4,22.361,OAK,@,SEA,L 21-22,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
20,1999,1999-10-10,5,23.003,OAK,,DEN,L 13-16,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
21,1999,1999-10-17,6,23.010,OAK,@,BUF,W 20-14,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
22,1999,1999-10-24,7,23.017,OAK,,NYJ,W 24-23,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
23,1999,1999-10-31,8,23.024,OAK,,MIA,L 9-16,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
24,1999,1999-11-14,9,23.038,OAK,,SDG,W 28-9,*,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
25,1999,1999-11-22,10,23.046,OAK,@,DEN,L 21-27,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
26,1999,1999-11-28,11,23.052,OAK,,KAN,L 34-37,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,,,1,15,1
27,1999,1999-12-05,12,23.059,OAK,,SEA,W 30-21,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
28,1999,1999-12-09,13,23.063,OAK,@,TEN,L 14-21,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
