ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-10-09,2,24.161,DET,,SFO,L 10-14,0,0,,0,3,7,2.33,0,0,0,0,0,0
2,1960,1960-10-16,3,24.168,DET,@,PHI,L 10-28,1,5,5.00,0,0,0,,0,0,0,0,0,0
3,1960,1960-11-06,6,24.189,DET,@,SFO,W 24-0,0,0,,0,2,33,16.50,0,0,0,0,0,0
4,1960,1960-11-13,7,24.196,DET,,RAM,W 12-10,1,30,30.00,0,1,0,0.00,0,0,0,0,0,0
5,1960,1960-11-20,8,24.203,DET,@,CHI,L 7-28,2,56,28.00,0,2,12,6.00,0,0,0,0,0,0
6,1960,1960-11-24,9,24.207,DET,,GNB,W 23-10,2,52,26.00,0,4,21,5.25,0,0,0,0,0,0
7,1960,1960-12-04,10,24.217,DET,@,BAL,W 20-15,1,55,55.00,0,0,0,,0,0,0,0,0,0
8,1960,1960-12-11,11,24.224,DET,,DAL,W 23-14,1,27,27.00,0,1,3,3.00,0,0,0,0,0,0
9,1960,1960-12-18,12,24.231,DET,,CHI,W 36-0,0,0,,0,1,7,7.00,0,0,0,0,0,0
10,1961,1961-09-17,1,25.139,DET,@,GNB,W 17-13,2,41,20.50,0,0,0,,0,0,0,0,0,0
11,1961,1961-09-24,2,25.146,DET,@,BAL,W 16-15,3,46,15.33,0,0,0,,0,0,0,0,0,0
12,1961,1961-10-01,3,25.153,DET,,SFO,L 0-49,5,125,25.00,0,2,6,3.00,0,0,0,0,0,0
13,1961,1961-10-08,4,25.160,DET,,CHI,L 17-31,2,41,20.50,0,2,9,4.50,0,0,0,0,0,0
14,1961,1961-10-15,5,25.167,DET,,RAM,W 14-13,3,70,23.33,0,1,8,8.00,0,0,0,0,0,0
15,1961,1961-10-22,6,25.174,DET,,BAL,L 14-17,0,0,,0,3,54,18.00,0,0,0,0,0,0
16,1961,1961-10-29,7,25.181,WAS,,PHI,L 24-27,2,62,31.00,0,1,7,7.00,0,0,0,1,11,0
17,1961,1961-11-05,8,25.188,DET,@,SFO,T 20-20,2,50,25.00,0,2,11,5.50,0,0,0,0,0,0
18,1961,1961-11-12,9,25.195,WAS,,CLE,L 6-17,1,23,23.00,0,2,25,12.50,0,0,0,0,0,0
19,1961,1961-12-03,12,25.216,WAS,@,STL,L 24-38,4,93,23.25,0,2,14,7.00,0,0,0,0,0,0
20,1961,1961-12-10,13,25.223,WAS,,PIT,L 14-30,4,97,24.25,0,3,19,6.33,0,0,0,0,0,0
21,1961,1961-12-17,14,25.230,WAS,,DAL,W 34-24,1,43,43.00,0,1,0,0.00,0,0,0,0,0,0
22,1962,1962-10-14,5,26.166,WAS,@,STL,T 17-17,0,0,,0,0,0,,0,0,0,1,1,0
23,1962,1962-10-21,6,26.173,WAS,@,PHI,W 27-21,0,0,,0,0,0,,0,0,0,1,36,0
24,1962,1962-11-11,9,26.194,WAS,,CLE,W 17-9,0,0,,0,1,0,0.00,0,0,0,0,0,0
25,1962,1962-11-18,10,26.201,WAS,@,PIT,L 21-23,0,0,,0,0,0,,0,0,0,1,0,0
26,1962,1962-11-25,11,26.208,WAS,,NYG,L 24-42,2,52,26.00,0,0,7,,0,0,0,1,0,0
27,1962,1962-12-02,12,26.215,WAS,,PHI,L 14-37,2,55,27.50,0,1,4,4.00,0,0,0,0,0,0
28,1962,1962-12-08,13,26.221,WAS,@,BAL,L 21-34,0,0,,0,1,9,9.00,0,0,0,0,0,0
29,1962,1962-12-16,14,26.229,WAS,,PIT,L 24-27,0,0,,0,1,10,10.00,0,0,0,0,0,0
30,1963,1963-09-21,2,27.143,WAS,@,RAM,W 37-14,0,0,,0,1,45,45.00,0,0,0,0,0,0
31,1963,1963-09-29,3,27.151,WAS,,DAL,W 21-17,0,0,,0,1,11,11.00,0,1,6,3,110,1
32,1963,1963-10-27,7,27.179,WAS,,STL,L 7-21,0,0,,0,0,0,,0,0,0,1,14,0
33,1963,1963-11-10,9,27.193,WAS,@,STL,L 20-24,0,0,,0,1,12,12.00,0,0,0,0,0,0
34,1963,1963-11-17,10,27.200,WAS,,PIT,L 28-34,3,84,28.00,0,1,2,2.00,0,0,0,0,0,0
35,1963,1963-12-08,13,27.221,WAS,@,NYG,L 14-44,0,0,,0,1,13,13.00,0,0,0,1,16,0
36,1964,1964-09-20,2,28.142,WAS,@,DAL,L 18-24,0,0,,0,0,0,,0,0,0,1,11,0
37,1964,1964-11-01,8,28.184,WAS,@,PHI,W 21-10,0,0,,0,0,0,,0,0,0,1,7,0
38,1964,1964-11-15,10,28.198,WAS,@,PIT,W 30-0,0,0,,0,0,0,,0,0,0,1,0,0
39,1964,1964-11-22,11,28.205,WAS,,DAL,W 28-16,0,0,,0,0,0,,0,0,0,1,2,0
40,1965,1965-09-19,1,29.141,WAS,,CLE,L 7-17,0,0,,0,0,0,,0,0,0,1,16,0
41,1965,1965-10-03,3,29.155,WAS,@,DET,L 10-14,0,0,,0,0,0,,0,0,0,1,25,0
42,1965,1965-10-17,5,29.169,WAS,,BAL,L 7-38,0,0,,0,0,0,,0,0,0,1,15,0
