ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1986,1986-10-05,5,25.187,STL,,NYG,L 6-13,,,,,0,0,,0,,
2,1986,1986-10-12,6,25.194,STL,@,TAM,W 30-19,,,,,0,0,,0,,
3,1986,1986-10-19,7,25.201,STL,@,WAS,L 21-28,,,,,0,0,,0,,
4,1986,1986-10-26,8,25.208,STL,@,DAL,L 6-37,,,,,0,0,,0,,
5,1986,1986-11-02,9,25.215,STL,,PHI,W 13-10,,,,,0,0,,0,,
6,1986,1986-11-09,10,25.222,STL,@,SFO,L 17-43,,,,,0,0,,0,,
7,1986,1986-11-16,11,25.229,STL,,NOR,L 7-16,,,,,0,0,,0,,
8,1986,1986-11-23,12,25.236,STL,,KAN,W 23-14,,,,,0,0,,0,,
9,1986,1986-11-30,13,25.243,STL,,WAS,L 17-20,0,0,,0,1,2,2.00,0,0,0
10,1986,1986-12-07,14,25.250,STL,@,PHI,T 10-10,,,,,0,0,,0,,
11,1986,1986-12-14,15,25.257,STL,@,NYG,L 7-27,,,,,0,0,,0,,
12,1986,1986-12-21,16,25.264,STL,,TAM,W 21-17,,,,,0,0,,0,,
13,1987,1987-09-13,1,26.165,STL,,DAL,W 24-13,2,24,12.00,0,0,0,,0,0,0
14,1987,1987-09-20,2,26.172,STL,@,SDG,L 24-28,3,39,13.00,0,0,0,,0,0,0
15,1987,1987-10-25,6,26.207,STL,@,NYG,L 7-30,0,0,,0,0,0,,0,,
16,1987,1987-11-01,7,26.214,STL,,PHI,L 23-28,1,16,16.00,0,0,0,,0,0,0
17,1987,1987-11-08,8,26.221,STL,,TAM,W 31-28,4,36,9.00,0,0,0,,0,0,0
18,1987,1987-11-22,10,26.235,STL,@,PHI,W 31-19,0,0,,0,0,0,,0,,
19,1987,1987-11-29,11,26.242,STL,@,ATL,W 34-21,0,0,,0,0,0,,0,,
20,1987,1987-12-06,12,26.249,STL,,WAS,L 17-34,0,0,,0,1,25,25.00,0,0,0
21,1987,1987-12-13,13,26.256,STL,,NYG,W 27-24,1,17,17.00,0,0,0,,0,0,0
22,1987,1987-12-20,14,26.263,STL,@,TAM,W 31-14,0,0,,0,0,0,,0,,
23,1987,1987-12-27,15,26.270,STL,@,DAL,L 16-21,0,0,,0,0,0,,0,,
24,1988,1988-09-04,1,27.156,PHO,@,CIN,L 14-21,0,0,,0,,,,,,
25,1988,1988-09-12,2,27.164,PHO,,DAL,L 14-17,0,0,,0,,,,,,
26,1988,1988-09-18,3,27.170,PHO,@,TAM,W 30-24,0,0,,0,,,,,,
27,1988,1988-09-25,4,27.177,PHO,,WAS,W 30-21,1,10,10.00,0,0,0,,0,0,0
28,1988,1988-10-02,5,27.184,PHO,@,RAM,W 41-27,0,0,,0,,,,,,
29,1988,1988-10-09,6,27.191,PHO,,PIT,W 31-14,0,0,,0,,,,,,
30,1988,1988-10-16,7,27.198,PHO,@,WAS,L 17-33,0,0,,0,,,,,,
31,1988,1988-10-23,8,27.205,PHO,,CLE,L 21-29,0,0,,0,,,,,,
32,1988,1988-10-30,9,27.212,PHO,@,DAL,W 16-10,0,0,,0,,,,,,
33,1988,1988-11-06,10,27.219,PHO,,SFO,W 24-23,0,0,,0,,,,,,
34,1988,1988-11-13,11,27.226,PHO,,NYG,W 24-17,0,0,,0,,,,,,
35,1988,1988-11-20,12,27.233,PHO,@,HOU,L 20-38,0,0,,0,,,,,,
36,1988,1988-11-27,13,27.240,PHO,@,PHI,L 21-31,0,0,,0,,,,,,
37,1988,1988-12-04,14,27.247,PHO,@,NYG,L 7-44,0,0,,0,,,,,,
38,1988,1988-12-10,15,27.253,PHO,,PHI,L 17-23,0,0,,0,,,,,,
39,1988,1988-12-18,16,27.261,PHO,,GNB,L 17-26,0,0,,0,,,,,,
40,1989,1989-09-10,1,28.162,PHO,@,DET,W 16-13,0,0,,0,,,,,,
41,1989,1989-09-17,2,28.169,PHO,@,SEA,W 34-24,0,0,,0,,,,,,
42,1989,1989-09-24,3,28.176,PHO,@,NYG,L 7-35,0,0,,0,,,,,,
43,1989,1989-10-01,4,28.183,PHO,,SDG,L 13-24,1,35,35.00,0,0,0,,0,0,0
44,1989,1989-10-08,5,28.190,PHO,@,WAS,L 28-30,3,63,21.00,0,0,0,,0,0,0
45,1989,1989-10-15,6,28.197,PHO,,PHI,L 5-17,1,18,18.00,0,0,0,,0,0,0
46,1989,1989-10-22,7,28.204,PHO,,ATL,W 34-20,0,0,,0,,,,,,
47,1989,1989-10-29,8,28.211,PHO,@,DAL,W 19-10,0,0,,0,,,,,,
48,1989,1989-11-05,9,28.218,PHO,,NYG,L 13-20,2,26,13.00,0,0,0,,0,0,0
49,1989,1989-11-12,10,28.225,PHO,,DAL,W 24-20,0,0,,0,,,,,,
50,1989,1989-11-19,11,28.232,PHO,@,RAM,L 14-37,1,77,77.00,1,0,0,,0,1,6
51,1989,1989-11-26,12,28.239,PHO,,TAM,L 13-14,1,11,11.00,0,0,0,,0,0,0
52,1989,1989-12-03,13,28.246,PHO,,WAS,L 10-29,2,22,11.00,0,0,0,,0,0,0
53,1989,1989-12-10,14,28.253,PHO,@,RAI,L 14-16,1,9,9.00,0,0,0,,0,0,0
54,1989,1989-12-16,15,28.259,PHO,,DEN,L 0-37,1,10,10.00,0,0,0,,0,0,0
55,1990,1990-09-09,1,29.161,PHO,@,WAS,L 0-31,,,,,,,,,,
56,1990,1990-09-16,2,29.168,PHO,@,PHI,W 23-21,,,,,,,,,,
57,1990,1990-09-23,3,29.175,PHO,@,NOR,L 7-28,,,,,,,,,,
58,1990,1990-09-30,4,29.182,PHO,,WAS,L 10-38,,,,,,,,,,
59,1990,1990-10-14,5,29.196,PHO,,DAL,W 20-3,,,,,,,,,,
60,1990,1990-10-21,6,29.203,PHO,@,NYG,L 19-20,,,,,,,,,,
