ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2003,2003-09-07,1,23.286,MIA,,HOU,L 20-21,,,,,,,,,
2,2003,2003-09-14,2,23.293,MIA,@,NYJ,W 21-10,,,,,,,,,
3,2003,2003-09-21,3,23.300,MIA,,BUF,W 17-7,,,,,,,,,
4,2003,2003-10-05,4,23.314,MIA,@,NYG,W 23-10,,,,,,,,,
5,2003,2003-10-12,5,23.321,MIA,@,JAX,W 24-10,,,,,,,,,
6,2003,2003-10-19,6,23.328,MIA,,NWE,L 13-19,,,,,,,,,
7,2003,2003-10-27,7,23.336,MIA,@,SDG,W 26-10,,1,34,34.00,0,1,12,12.00,0
8,2003,2003-11-02,8,23.342,MIA,,IND,L 17-23,,1,15,15.00,0,2,24,12.00,0
9,2003,2003-11-09,9,23.349,MIA,@,TEN,L 7-31,,0,0,,0,1,6,6.00,0
10,2003,2003-11-16,10,23.356,MIA,,BAL,W 9-6,,0,0,,0,3,46,15.33,0
11,2003,2003-11-23,11,23.363,MIA,,WAS,W 24-23,,1,15,15.00,0,1,12,12.00,0
