ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1985,1985-09-08,1,22.162,DET,@,ATL,W 28-27,,,,,
2,1985,1985-09-15,2,22.169,DET,,DAL,W 26-21,,,,,
3,1985,1985-09-22,3,22.176,DET,@,IND,L 6-14,,,,,
4,1985,1985-09-29,4,22.183,DET,,TAM,W 30-9,,,,,
5,1985,1985-10-06,5,22.190,DET,@,GNB,L 10-43,,,,,
6,1985,1985-10-13,6,22.197,DET,@,WAS,L 3-24,,,,,
7,1985,1985-10-20,7,22.204,DET,,SFO,W 23-21,,,,,
8,1985,1985-10-27,8,22.211,DET,,MIA,W 31-21,,,,,
9,1985,1985-11-03,9,22.218,DET,@,MIN,L 13-16,,,,,
10,1985,1985-11-10,10,22.225,DET,@,CHI,L 3-24,,,,,
11,1985,1985-11-17,11,22.232,DET,,MIN,W 41-21,,,,,
12,1985,1985-11-24,12,22.239,DET,@,TAM,L 16-19,,,,,
13,1985,1985-11-28,13,22.243,DET,,NYJ,W 31-20,,,,,
14,1985,1985-12-08,14,22.253,DET,@,NWE,L 6-23,,,,,
15,1985,1985-12-15,15,22.260,DET,,GNB,L 23-26,,,,,
16,1985,1985-12-22,16,22.267,DET,,CHI,L 17-37,,,,,
17,1986,1986-09-07,1,23.161,DET,@,MIN,W 13-10,,,,,
18,1986,1986-09-14,2,23.168,DET,,DAL,L 7-31,,,,,
19,1986,1986-09-21,3,23.175,DET,,TAM,L 20-24,,,,,
20,1986,1986-09-28,4,23.182,DET,@,CLE,L 21-24,,,,,
21,1986,1986-10-05,5,23.189,DET,,HOU,W 24-13,,,,,
22,1986,1986-10-12,6,23.196,DET,@,GNB,W 21-14,,,,,
23,1986,1986-10-19,7,23.203,DET,@,RAM,L 10-14,,,,,
24,1986,1986-10-26,8,23.210,DET,@,CHI,L 7-13,,,,,
25,1986,1986-11-02,9,23.217,DET,,CIN,L 17-24,,,,,
26,1986,1986-11-09,10,23.224,DET,,MIN,L 10-24,,,,,
27,1986,1986-11-16,11,23.231,DET,@,PHI,W 13-11,,,,,
28,1986,1986-11-23,12,23.238,DET,@,TAM,W 38-17,,,,,
29,1986,1986-11-27,13,23.242,DET,,GNB,L 40-44,,,,,
30,1986,1986-12-07,14,23.252,DET,@,PIT,L 17-27,,,,,
31,1986,1986-12-15,15,23.260,DET,,CHI,L 13-16,,,,,
32,1986,1986-12-21,16,23.266,DET,,ATL,L 6-20,,,,,
33,1987,1987-09-13,1,24.167,DET,@,MIN,L 19-34,,,,,
34,1987,1987-10-25,6,24.209,DET,,GNB,L 33-34,,,,,
35,1987,1987-11-01,7,24.216,DET,@,DEN,L 0-34,,,,,
36,1987,1987-11-08,8,24.223,DET,,DAL,W 27-17,,,,,
37,1987,1987-11-15,9,24.230,DET,@,WAS,L 13-20,,,,,
38,1987,1987-11-22,10,24.237,DET,@,CHI,L 10-30,,,,,
39,1987,1987-11-26,11,24.241,DET,,KAN,L 20-27,,,,,
40,1987,1987-12-06,12,24.251,DET,,RAM,L 16-37,,,,,
41,1987,1987-12-13,13,24.258,DET,@,TAM,W 20-10,,,,,
42,1987,1987-12-20,14,24.265,DET,,MIN,L 14-17,,,,,
43,1987,1987-12-27,15,24.272,DET,@,ATL,W 30-13,,,,,
44,1988,1988-09-04,1,25.158,DET,,ATL,W 31-17,,,,,
45,1988,1988-09-11,2,25.165,DET,@,RAM,L 10-17,,,,,
46,1988,1988-09-18,3,25.172,DET,,NOR,L 14-22,,,,,
47,1988,1988-09-25,4,25.179,DET,,NYJ,L 10-17,,,,,
48,1988,1988-10-02,5,25.186,DET,@,SFO,L 13-20,,,,,
49,1988,1988-10-09,6,25.193,DET,,CHI,L 7-24,,,,,
50,1988,1988-10-16,7,25.200,DET,@,NYG,L 10-30,,,,,
51,1988,1988-10-23,8,25.207,DET,@,KAN,W 7-6,,,,,
52,1988,1988-10-30,9,25.214,DET,,NYG,L 10-13,,,,,
53,1988,1988-11-06,10,25.221,DET,@,MIN,L 17-44,,,,,
54,1988,1988-11-13,11,25.228,DET,,TAM,L 20-23,,,,,
55,1988,1988-11-20,12,25.235,DET,@,GNB,W 19-9,,,,,
56,1988,1988-11-24,13,25.239,DET,,MIN,L 0-23,,,,,
57,1988,1988-12-04,14,25.249,DET,,GNB,W 30-14,,,,,
58,1988,1988-12-11,15,25.256,DET,@,CHI,L 12-13,,,,,
59,1988,1988-12-18,16,25.263,DET,@,TAM,L 10-21,,,,,
60,1989,1989-09-10,1,26.164,DET,,PHO,L 13-16,,0,0,,0
61,1989,1989-09-17,2,26.171,DET,@,NYG,L 14-24,,0,0,,0
62,1989,1989-09-24,3,26.178,DET,,CHI,L 27-47,,0,0,,0
63,1989,1989-10-01,4,26.185,DET,,PIT,L 3-23,,1,3,3.00,0
64,1989,1989-10-08,5,26.192,DET,@,MIN,L 17-24,,0,0,,0
65,1989,1989-10-15,6,26.199,DET,@,TAM,W 17-16,,0,0,,0
66,1989,1989-10-22,7,26.206,DET,,MIN,L 7-20,,0,0,,0
67,1989,1989-10-29,8,26.213,DET,@,GNB,L 20-23,,0,0,,0
68,1989,1989-11-05,9,26.220,DET,@,HOU,L 31-35,,0,0,,0
69,1989,1989-11-12,10,26.227,DET,,GNB,W 31-22,,0,0,,0
70,1989,1989-11-19,11,26.234,DET,@,CIN,L 7-42,,0,0,,0
71,1989,1989-11-23,12,26.238,DET,,CLE,W 13-10,,0,0,,0
72,1989,1989-12-03,13,26.248,DET,,NOR,W 21-14,,0,0,,0
73,1989,1989-12-10,14,26.255,DET,@,CHI,W 27-17,,0,0,,0
74,1989,1989-12-17,15,26.262,DET,,TAM,W 33-7,,0,0,,0
75,1989,1989-12-24,16,26.269,DET,@,ATL,W 31-24,,0,0,,0
76,1990,1990-09-09,1,27.163,DET,,TAM,L 21-38,,,,,
77,1990,1990-09-16,2,27.170,DET,,ATL,W 21-14,,,,,
78,1990,1990-09-23,3,27.177,DET,@,TAM,L 20-23,,,,,
79,1990,1990-09-30,4,27.184,DET,,GNB,L 21-24,,,,,
80,1990,1990-10-07,5,27.191,DET,@,MIN,W 34-27,,,,,
81,1990,1990-10-14,6,27.198,DET,@,KAN,L 24-43,,,,,
82,1990,1990-10-28,7,27.212,DET,@,NOR,W 27-10,,,,,
