ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1953,1953-09-27,1,22.069,CLE,@,GNB,W 27-0,3,3,1.00,0,1,55,55.00,0,,,,
2,1953,1953-10-04,2,22.076,CLE,@,CRD,W 27-7,1,12,12.00,0,0,0,,0,,,,
3,1953,1953-10-10,3,22.082,CLE,,PHI,W 37-13,0,0,,0,1,7,7.00,0,,,,
4,1953,1953-10-18,4,22.090,CLE,@,WAS,W 30-14,5,31,6.20,1,1,1,1.00,0,,,,
5,1953,1953-10-25,5,22.097,CLE,@,NYG,W 7-0,18,74,4.11,0,0,0,,0,,,,
6,1953,1953-11-01,6,22.104,CLE,,WAS,W 27-3,12,68,5.67,1,2,1,0.50,0,,,,
7,1953,1953-11-08,7,22.111,CLE,,PIT,W 34-16,5,15,3.00,0,0,0,,0,,,,
8,1953,1953-11-15,8,22.118,CLE,,SFO,W 23-21,11,66,6.00,1,2,42,21.00,0,,,,
9,1953,1953-11-22,9,22.125,CLE,@,PIT,W 20-16,5,25,5.00,0,0,0,,0,,,,
10,1953,1953-11-29,10,22.132,CLE,,CRD,W 27-16,5,20,4.00,0,0,0,,0,,,,
11,1953,1953-12-06,11,22.139,CLE,,NYG,W 62-14,7,-1,-0.14,0,1,9,9.00,0,,,,
12,1953,1953-12-13,12,22.146,CLE,@,PHI,L 27-42,0,0,,0,1,5,5.00,0,,,,
13,1954,1954-09-26,1,23.068,CLE,@,PHI,L 10-28,3,7,2.33,0,0,0,,0,,,,
14,1954,1954-10-10,2,23.082,CLE,,CRD,W 31-7,7,4,0.57,0,1,18,18.00,0,,,,
15,1954,1954-10-17,3,23.089,CLE,@,PIT,L 27-55,5,24,4.80,1,1,3,3.00,0,,,,
16,1954,1954-10-24,4,23.096,CLE,@,CRD,W 35-3,5,5,1.00,0,1,6,6.00,0,,,,
17,1954,1954-10-31,5,23.103,CLE,,NYG,W 24-14,9,26,2.89,0,3,9,3.00,0,,,,
18,1954,1954-11-14,7,23.117,CLE,@,CHI,W 39-10,4,8,2.00,0,0,0,,0,,,,
19,1954,1954-11-21,8,23.124,CLE,,PHI,W 6-0,8,22,2.75,0,1,6,6.00,0,,,,
20,1954,1954-11-28,9,23.131,CLE,@,NYG,W 16-7,10,34,3.40,0,2,12,6.00,0,,,,
21,1954,1954-12-05,10,23.138,CLE,@,WAS,W 34-14,2,6,3.00,0,1,22,22.00,0,,,,
22,1954,1954-12-12,11,23.145,CLE,,PIT,W 42-7,6,45,7.50,1,0,0,,0,,,,
23,1954,1954-12-19,12,23.152,CLE,,DET,L 10-14,5,-1,-0.20,0,0,0,,0,,,,
24,1957,1957-10-05,2,26.077,CLE,@,PIT,W 23-12,1,5,5.00,0,0,0,,0,,,,
25,1957,1957-10-13,3,26.085,CLE,,PHI,W 24-7,18,42,2.33,1,0,0,,0,,,,
26,1957,1957-10-20,4,26.092,CLE,@,PHI,L 7-17,3,6,2.00,0,1,12,12.00,0,,,,
27,1957,1957-10-27,5,26.099,CLE,@,CRD,W 17-7,5,9,1.80,0,0,0,,0,,,,
28,1957,1957-11-03,6,26.106,CLE,,WAS,W 21-17,2,-5,-2.50,0,0,0,,0,,,,
29,1958,1958-09-28,1,27.070,PIT,@,SFO,L 20-23,3,-2,-0.67,0,1,1,1.00,0,,,,
30,1958,1958-10-12,3,27.084,PIT,,PHI,W 24-3,4,23,5.75,0,0,0,,0,,,,
31,1958,1958-12-13,12,27.146,PIT,,CRD,W 38-21,3,8,2.67,1,0,0,,0,,,,
32,1960,1960-10-23,7,29.095,OAK,@,BUF,L 9-38,0,0,,0,0,0,,0,3,11,3.67,0
33,1960,1960-10-28,8,29.100,OAK,@,NYT,W 28-27,0,0,,0,0,0,,0,1,0,0.00,0
34,1960,1960-11-04,9,29.107,OAK,@,BOS,L 28-34,0,0,,0,2,19,9.50,0,0,0,,0
35,1960,1960-11-13,10,29.116,OAK,,BUF,W 20-7,0,0,,0,0,0,,0,3,13,4.33,0
36,1960,1960-11-27,11,29.130,OAK,@,LAC,L 28-52,1,6,6.00,0,0,0,,0,0,0,,0
37,1960,1960-12-04,12,29.137,OAK,,LAC,L 17-41,0,0,,0,1,24,24.00,0,0,0,,0
