ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2002,2002-09-08,1,24.215,MIN,@,CHI,L 23-27,,,,,,,,,,,
2,2002,2002-09-15,2,24.222,MIN,,BUF,L 39-45,,,,,,,,,,,
3,2002,2002-09-22,3,24.229,MIN,,CAR,L 14-21,,,,,,,,,,,
4,2002,2002-09-29,4,24.236,MIN,@,SEA,L 23-48,,,,,,,,,,,
5,2002,2002-10-13,5,24.250,MIN,,DET,W 31-24,,,,,,,,,,,
6,2002,2002-10-20,6,24.257,MIN,@,NYJ,L 7-20,,,,,,,,,,,
7,2002,2002-10-27,7,24.264,MIN,,CHI,W 25-7,*,0,0,,0,0.0,,,1,18,0
8,2002,2002-11-03,8,24.271,MIN,@,TAM,L 24-38,*,,,,,,,,,,
9,2002,2002-11-10,9,24.278,MIN,,NYG,L 20-27,,,,,,,,,,,
10,2002,2002-11-17,10,24.285,MIN,,GNB,W 31-21,,,,,,,,,,,
11,2002,2002-11-24,11,24.292,MIN,@,NWE,L 17-24,,,,,,,,,,,
12,2002,2002-12-01,12,24.299,MIN,,ATL,L 24-30,,,,,,,,,,,
13,2002,2002-12-08,13,24.306,MIN,@,GNB,L 22-26,,,,,,,,,,,
14,2002,2002-12-15,14,24.313,MIN,@,NOR,W 32-31,,,,,,,,,,,
15,2002,2002-12-21,15,24.319,MIN,,MIA,W 20-17,,,,,,,,,,,
16,2002,2002-12-29,16,24.327,MIN,@,DET,W 38-36,,,,,,,,,,,
17,2003,2003-09-07,1,25.214,MIN,@,GNB,W 30-25,*,0,0,,0,0.0,,,1,5,0
18,2003,2003-09-14,2,25.221,MIN,,CHI,W 24-13,*,0,0,,0,0.0,,,1,19,0
19,2003,2003-09-21,3,25.228,MIN,@,DET,W 23-13,*,0,0,,0,0.0,,,1,1,0
20,2003,2003-09-28,4,25.235,MIN,,SFO,W 35-7,*,0,0,,0,0.0,,,1,19,0
21,2003,2003-10-05,5,25.242,MIN,@,ATL,W 39-26,*,0,0,,0,0.0,,,1,28,0
22,2003,2003-10-19,6,25.256,MIN,,DEN,W 28-20,*,0,0,,0,0.0,,,1,3,0
23,2003,2003-10-26,7,25.263,MIN,,NYG,L 17-29,*,,,,,,,,,,
24,2003,2003-11-02,8,25.270,MIN,,GNB,L 27-30,*,,,,,,,,,,
25,2003,2003-11-09,9,25.277,MIN,@,SDG,L 28-42,*,,,,,,,,,,
26,2003,2003-11-16,10,25.284,MIN,@,OAK,L 18-28,*,0,0,,0,1.0,,,0,0,0
27,2003,2003-11-23,11,25.291,MIN,,DET,W 24-14,*,,,,,,,,,,
28,2003,2003-11-30,12,25.298,MIN,@,STL,L 17-48,*,0,0,,0,0.0,,,1,44,0
29,2003,2003-12-07,13,25.305,MIN,,SEA,W 34-7,*,,,,,,,,,,
30,2003,2003-12-14,14,25.312,MIN,@,CHI,L 10-13,*,,,,,,,,,,
31,2003,2003-12-20,15,25.318,MIN,,KAN,W 45-20,*,0,0,,0,0.0,,,2,66,0
32,2003,2003-12-28,16,25.326,MIN,@,ARI,L 17-18,*,,,,,,,,,,
33,2004,2004-09-12,1,26.220,MIN,,DAL,W 35-17,*,,,,,,,,,,
34,2004,2004-09-20,2,26.228,MIN,@,PHI,L 16-27,*,,,,,,,,,,
35,2004,2004-09-26,3,26.234,MIN,,CHI,W 27-22,*,,,,,,,,,,
36,2004,2004-10-10,4,26.248,MIN,@,HOU,W 34-28,*,,,,,,,,,,
37,2004,2004-10-17,5,26.255,MIN,@,NOR,W 38-31,*,,,,,,,,,,
