ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1990,1990-09-09,1,22.134,CHI,,SEA,W 17-0,,,,,,,,,,
2,1990,1990-09-16,2,22.141,CHI,@,GNB,W 31-13,,0,0,,0,0,0,1,5,0
3,1990,1990-09-23,3,22.148,CHI,,MIN,W 19-16,,,,,,,,,,
4,1990,1990-09-30,4,22.155,CHI,@,RAI,L 10-24,,,,,,,,,,
5,1990,1990-10-07,5,22.162,CHI,,GNB,W 27-13,,,,,,,,,,
6,1990,1990-10-14,6,22.169,CHI,,RAM,W 38-9,,,,,,,,,,
7,1990,1990-10-28,7,22.183,CHI,@,PHO,W 31-21,,0,0,,0,0,0,1,14,0
8,1990,1990-11-04,8,22.190,CHI,@,TAM,W 26-6,,0,0,,0,0,0,2,12,0
9,1990,1990-11-11,9,22.197,CHI,,ATL,W 30-24,,0,0,,0,0,0,1,5,0
10,1990,1990-11-18,10,22.204,CHI,@,DEN,W 16-13,,,,,,,,,,
11,1990,1990-11-25,11,22.211,CHI,@,MIN,L 13-41,,,,,,,,,,
12,1990,1990-12-02,12,22.218,CHI,,DET,W 23-17,,,,,,,,,,
13,1990,1990-12-09,13,22.225,CHI,@,WAS,L 9-10,,0,0,,0,0,0,3,3,0
14,1990,1990-12-16,14,22.232,CHI,@,DET,L 21-38,,0,0,,0,0,0,1,0,0
15,1990,1990-12-23,15,22.239,CHI,,TAM,W 27-14,,0,0,,0,0,0,1,0,0
16,1990,1990-12-29,16,22.245,CHI,,KAN,L 10-21,,,,,,,,,,
17,1991,1991-09-01,1,23.126,CHI,,MIN,W 10-6,,,,,,,,,,
18,1991,1991-09-08,2,23.133,CHI,@,TAM,W 21-20,,,,,,,,,,
19,1991,1991-09-15,3,23.140,CHI,,NYG,W 20-17,,,,,,,,,,
20,1991,1991-09-23,4,23.148,CHI,,NYJ,W 19-13,,,,,,,,,,
21,1991,1991-09-29,5,23.154,CHI,@,BUF,L 20-35,,,,,,,,,,
22,1991,1991-10-06,6,23.161,CHI,,WAS,L 7-20,,,,,,,,,,
23,1991,1991-10-17,7,23.172,CHI,@,GNB,W 10-0,,,,,,,,,,
24,1991,1991-10-27,8,23.182,CHI,@,NOR,W 20-17,,,,,,,,,,
25,1991,1991-11-03,9,23.189,CHI,,DET,W 20-10,,,,,,,,,,
26,1991,1991-11-11,10,23.197,CHI,@,MIN,W 34-17,,,,,,,,,,
27,1991,1991-11-17,11,23.203,CHI,@,IND,W 31-17,,,,,,,,,,
28,1991,1991-11-24,12,23.210,CHI,,MIA,L 13-16,,0,0,,0,0,0,1,15,0
29,1991,1991-11-28,13,23.214,CHI,@,DET,L 6-16,,0,0,,0,0,0,1,39,0
30,1991,1991-12-08,14,23.224,CHI,,GNB,W 27-13,,,,,,,,,,
31,1991,1991-12-14,15,23.230,CHI,,TAM,W 27-0,,,,,,,,,,
32,1991,1991-12-23,16,23.239,CHI,@,SFO,L 14-52,,,,,,,,,,
33,1992,1992-09-06,1,24.131,CHI,,DET,W 27-24,,,,,,,,,,
34,1992,1992-09-13,2,24.138,CHI,@,NOR,L 6-28,,,,,,,,,,
35,1992,1992-09-21,3,24.146,CHI,,NYG,L 14-27,,,,,,,,,,
36,1992,1992-09-27,4,24.152,CHI,,ATL,W 41-31,,,,,,,,,,
37,1992,1992-10-04,5,24.159,CHI,@,MIN,L 20-21,,,,,,,,,,
38,1992,1992-10-18,6,24.173,CHI,,TAM,W 31-14,,,,,,,,,,
39,1992,1992-10-25,7,24.180,CHI,@,GNB,W 30-10,,,,,,,,,,
40,1992,1992-11-02,8,24.188,CHI,,MIN,L 10-38,,,,,,,,,,
41,1992,1992-11-08,9,24.194,CHI,,CIN,L 28-31,,,,,,,,,,
42,1992,1992-11-15,10,24.201,CHI,@,TAM,L 17-20,,,,,,,,,,
43,1992,1992-11-22,11,24.208,CHI,,GNB,L 3-17,,,,,,,,,,
44,1992,1992-11-29,12,24.215,CHI,@,CLE,L 14-27,,,,,,,,,,
45,1992,1992-12-07,13,24.223,CHI,@,HOU,L 7-24,,,,,,,,,,
46,1992,1992-12-13,14,24.229,CHI,,PIT,W 30-6,,,,,,,,,,
47,1992,1992-12-20,15,24.236,CHI,@,DET,L 3-16,,,,,,,,,,
48,1992,1992-12-27,16,24.243,CHI,@,DAL,L 14-27,,,,,,,,,,
49,1993,1993-09-05,1,25.130,CHI,,NYG,L 20-26,,,,,,,,,,
50,1993,1993-09-12,2,25.137,CHI,@,MIN,L 7-10,,,,,,,,,,
51,1993,1993-09-26,3,25.151,CHI,,TAM,W 47-17,,0,0,,0,0,0,1,22,0
52,1993,1993-10-03,4,25.158,CHI,,ATL,W 6-0,,,,,,,,,,
53,1993,1993-10-10,5,25.165,CHI,@,PHI,W 17-6,,,,,,,,,,
54,1993,1993-10-25,6,25.180,CHI,,MIN,L 12-19,,0,0,,0,0,0,1,17,0
55,1993,1993-10-31,7,25.186,CHI,@,GNB,L 3-17,,0,0,,0,0,0,1,21,0
56,1993,1993-11-07,8,25.193,CHI,,RAI,L 14-16,,,,,,,,,,
