ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1997,1997-08-31,1,23.049,NYJ,@,SEA,W 41-3,,11,36,3.27,0,0,0,0,,0,0.0%,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0
2,1997,1997-09-07,2,23.056,NYJ,,BUF,L 22-28,,4,11,2.75,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
3,1997,1997-09-14,3,23.063,NYJ,@,NWE,L 24-27,,0,0,,0,5,5,32,6.40,0,100.0%,6.40,0,0,,0,0,0,,0,,,,1,20,20.00,0,3,51,17.00,0,0,0
4,1997,1997-09-21,4,23.070,NYJ,,OAK,W 23-22,,1,10,10.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,3,20,6.67,0,0,0
5,1997,1997-09-28,5,23.077,NYJ,@,CIN,W 31-14,,3,17,5.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,1,14,14.00,0,3,45,15.00,0,0,0
6,1997,1997-10-05,6,23.084,NYJ,@,IND,W 16-12,,1,1,1.00,0,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,,,,0,0,,0,4,48,12.00,0,0,0
7,1997,1997-10-12,7,23.091,NYJ,,MIA,L 20-31,,2,21,10.50,1,4,3,36,12.00,0,75.0%,9.00,0,0,,0,0,0,,0,,,,2,37,18.50,0,2,13,6.50,0,1,6
8,1997,1997-10-19,8,23.098,NYJ,,NWE,W 24-19,,4,8,2.00,1,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,,,1,22,22.00,0,1,8,8.00,0,1,6
9,1997,1997-11-02,9,23.112,NYJ,,BAL,W 19-16,,8,19,2.38,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,1,21,21.00,0,6,117,19.50,0,0,0
10,1997,1997-11-09,10,23.119,NYJ,@,MIA,L 17-24,,4,7,1.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,1,24,24.00,0,6,37,6.17,0,0,0
