ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2007,2007-09-16,2,23.024,CLE,,CIN,W 51-45,,,0,0,,0,0.0%,,0,0,,0,0.0,,
2,2007,2007-10-07,5,23.045,CLE,@,NWE,L 17-34,,,0,0,,0,0.0%,,0,0,,0,0.0,,
3,2007,2007-10-14,6,23.052,CLE,,MIA,W 41-31,,,0,0,,0,0.0%,,0,0,,0,0.0,,
4,2007,2007-10-28,7,23.066,CLE,@,STL,W 27-20,,,0,0,,0,0.0%,,0,0,,0,0.0,,
5,2007,2007-11-04,8,23.073,CLE,,SEA,W 33-30,,,0,0,,0,0.0%,,0,0,,0,0.0,,
6,2007,2007-11-11,9,23.080,CLE,@,PIT,L 28-31,,,0,0,,0,0.0%,,0,0,,0,0.0,,
7,2007,2007-11-18,10,23.087,CLE,@,BAL,W 33-30,,,0,0,,0,0.0%,,0,0,,0,0.0,,
8,2007,2007-11-25,11,23.094,CLE,,HOU,W 27-17,,,0,0,,0,0.0%,,0,0,,0,0.0,,
9,2007,2007-12-02,12,23.101,CLE,@,ARI,L 21-27,,,0,0,,0,0.0%,,0,0,,0,0.0,,
10,2007,2007-12-09,13,23.108,CLE,@,NYJ,W 24-18,,,0,0,,0,0.0%,,0,0,,0,0.0,,
11,2007,2007-12-16,14,23.115,CLE,,BUF,W 8-0,,,0,0,,0,0.0%,,0,0,,0,0.0,,
12,2007,2007-12-23,15,23.122,CLE,@,CIN,L 14-19,,,0,0,,0,0.0%,,0,0,,0,0.0,,
13,2007,2007-12-30,16,23.129,CLE,,SFO,W 20-7,,,0,0,,0,0.0%,,0,0,,0,0.0,,
14,2008,2008-09-07,1,24.015,CLE,,DAL,L 10-28,,,,,,,0.0%,,,,,,,,
15,2008,2008-09-14,2,24.022,CLE,,PIT,L 6-10,,,,,,,0.0%,,,,,,,,
16,2008,2008-09-21,3,24.029,CLE,@,BAL,L 10-28,,0,0,0,,0,0.0%,,1,10,10.00,0,0.0,0,0
17,2008,2008-09-28,4,24.036,CLE,@,CIN,W 20-12,,,,,,,0.0%,,,,,,,,
18,2008,2008-10-13,5,24.051,CLE,,NYG,W 35-14,,,,,,,0.0%,,,,,,,,
19,2008,2008-10-19,6,24.057,CLE,@,WAS,L 11-14,,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,0.0,0,0
20,2008,2008-10-26,7,24.064,CLE,@,JAX,W 23-17,,1,,,,,0.0%,,,,,,,,
21,2008,2008-11-02,8,24.071,CLE,,BAL,L 27-37,*,,,,,,0.0%,,,,,,,,
22,2008,2008-11-06,9,24.075,CLE,,DEN,L 30-34,*,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0.0,0,0
23,2008,2008-11-17,10,24.086,CLE,@,BUF,W 29-27,*,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0.0,0,0
24,2008,2008-11-23,11,24.092,CLE,,HOU,L 6-16,,,,,,,0.0%,,,,,,,,
25,2008,2008-11-30,12,24.099,CLE,,IND,L 6-10,,,,,,,0.0%,,,,,,,,
26,2008,2008-12-15,14,24.114,CLE,@,PHI,L 10-30,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,1,0
27,2008,2008-12-21,15,24.120,CLE,,CIN,L 0-14,*,,0,0,,0,0.0%,,0,0,,0,0.0,1,0
28,2008,2008-12-28,16,24.127,CLE,@,PIT,L 0-31,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0.0,0,0
