ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2000,2000-10-15,6,23.363,CIN,@,PIT,L 0-15,,3,12,4.00,0,0,0,0,,0,0.0%,,0,0,,0
2,2000,2000-10-22,7,24.004,CIN,,DEN,W 31-21,,0,0,,0,,0,0,,0,0.0%,,1,14,14.00,0
3,2000,2000-10-29,8,24.011,CIN,@,CLE,W 12-3,,1,3,3.00,0,0,0,0,,0,0.0%,,1,22,22.00,0
4,2000,2000-11-05,9,24.018,CIN,,BAL,L 7-27,,2,9,4.50,0,0,0,0,,0,0.0%,,2,37,18.50,0
5,2000,2000-11-19,11,24.032,CIN,@,NWE,L 13-16,,0,0,,0,0,0,0,,0,0.0%,,1,16,16.00,0
6,2000,2000-12-24,16,24.067,CIN,@,PHI,L 7-16,,0,0,,0,0,0,0,,0,0.0%,,1,11,11.00,0
7,2001,2001-09-09,1,24.326,CIN,,NWE,W 23-17,,0,0,,0,0,0,0,,0,0.0%,,3,109,36.33,0
8,2001,2001-09-23,2,24.340,CIN,,BAL,W 21-10,,0,0,,0,0,0,0,,0,0.0%,,3,90,30.00,0
9,2001,2001-09-30,3,24.347,CIN,@,SDG,L 14-28,,3,44,14.67,0,0,0,0,,0,0.0%,,3,66,22.00,0
10,2001,2001-10-07,4,24.354,CIN,@,PIT,L 7-16,,0,0,,0,0,0,0,,0,0.0%,,5,75,15.00,0
11,2001,2001-10-14,5,24.361,CIN,,CLE,W 24-14,,0,0,,0,0,0,0,,0,0.0%,,2,36,18.00,0
12,2001,2001-10-21,6,25.003,CIN,,CHI,L 0-24,,1,3,3.00,0,0,0,0,,0,0.0%,,5,97,19.40,0
13,2001,2001-10-28,7,25.010,CIN,@,DET,W 31-27,,0,0,,0,0,0,0,,0,0.0%,,5,86,17.20,0
14,2001,2001-11-11,8,25.024,CIN,@,JAX,L 13-30,,0,0,,0,0,0,0,,0,0.0%,,4,85,21.25,0
15,2001,2001-11-18,9,25.031,CIN,,TEN,L 7-20,,0,0,,0,0,0,0,,0,0.0%,,3,70,23.33,0
16,2001,2001-11-25,10,25.038,CIN,@,CLE,L 0-18,,0,0,,0,0,0,0,,0,0.0%,,3,69,23.00,0
17,2001,2001-12-02,11,25.045,CIN,,TAM,L 13-16,,0,0,,0,0,0,0,,0,0.0%,,2,47,23.50,0
18,2001,2001-12-09,12,25.052,CIN,,JAX,L 10-14,,1,1,1.00,0,0,0,0,,0,0.0%,,1,18,18.00,0
19,2001,2001-12-16,13,25.059,CIN,@,NYJ,L 14-15,,0,0,,0,1,1,9,9.00,0,100.0%,9.00,3,43,14.33,0
20,2002,2002-09-22,3,25.339,NOR,@,CHI,W 29-23,,,,,,0,,,,,0.0%,,,,,
21,2002,2002-09-29,4,25.346,NOR,@,DET,L 21-26,,,,,,,,,,,0.0%,,,,,
22,2002,2002-10-06,5,25.353,NOR,,PIT,W 32-29,,,,,,,,,,,0.0%,,,,,
23,2002,2002-10-13,6,25.360,NOR,@,WAS,W 43-27,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0
24,2002,2002-10-20,7,26.002,NOR,,SFO,W 35-27,,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,,0
25,2002,2002-11-24,11,26.037,NOR,,CLE,L 15-24,,10,19,1.90,0,0,0,0,,0,0.0%,,0,0,,0
