ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1950,1950-10-22,6,22.229,RAM,,BAL,W 70-27,2,70,35.00,2,0,0,,0
2,1950,1950-10-29,7,22.236,RAM,,DET,W 65-24,2,40,20.00,1,0,0,,0
3,1950,1950-11-05,8,22.243,RAM,,SFO,W 28-21,1,72,72.00,1,0,0,,0
4,1950,1950-11-12,9,22.250,RAM,@,GNB,W 45-14,2,17,8.50,0,1,-2,-2.00,0
5,1950,1950-11-26,11,22.264,RAM,@,CHI,L 14-24,1,8,8.00,0,0,0,,0
6,1950,1950-12-03,12,22.271,RAM,,GNB,W 51-14,1,13,13.00,0,0,0,,0
7,1951,1951-09-28,1,23.205,RAM,,NYY,W 54-14,1,14,14.00,0,0,0,,0
8,1951,1951-10-21,4,23.228,RAM,@,GNB,W 28-0,2,8,4.00,0,0,0,,0
9,1951,1951-10-28,5,23.235,RAM,@,SFO,L 17-44,1,16,16.00,0,0,0,,0
10,1951,1951-11-11,7,23.249,RAM,,CRD,W 45-21,1,14,14.00,0,0,0,,0
11,1951,1951-11-18,8,23.256,RAM,,NYY,W 48-21,2,21,10.50,0,0,0,,0
12,1951,1951-11-25,9,23.263,RAM,@,WAS,L 21-31,2,55,27.50,1,0,0,,0
13,1953,1953-09-27,1,25.204,RAM,,NYG,W 21-7,2,36,18.00,0,0,0,,0
14,1953,1953-10-04,2,25.211,RAM,@,SFO,L 30-31,4,107,26.75,1,0,0,,0
15,1953,1953-10-11,3,25.218,RAM,@,GNB,W 38-20,2,24,12.00,0,0,0,,0
16,1953,1953-10-18,4,25.225,RAM,@,DET,W 31-19,2,50,25.00,1,0,0,,0
17,1953,1953-10-25,5,25.232,RAM,,CHI,W 38-24,4,130,32.50,2,0,0,,0
18,1953,1953-11-01,6,25.239,RAM,,DET,W 37-24,3,30,10.00,0,0,0,,0
19,1953,1953-11-08,7,25.246,RAM,,SFO,L 27-31,1,5,5.00,0,0,0,,0
20,1953,1953-11-15,8,25.253,RAM,@,CRD,T 24-24,2,19,9.50,0,0,0,,0
21,1953,1953-11-22,9,25.260,RAM,@,BAL,W 21-13,2,63,31.50,0,0,0,,0
22,1953,1953-11-29,10,25.267,RAM,@,CHI,L 21-24,1,38,38.00,0,0,0,,0
23,1953,1953-12-05,11,25.273,RAM,,BAL,W 45-2,1,46,46.00,0,0,0,,0
24,1954,1954-09-26,1,26.203,RAM,@,BAL,W 48-0,4,121,30.25,0,0,0,,0
25,1954,1954-10-03,2,26.210,RAM,,SFO,T 24-24,5,157,31.40,1,0,0,,0
26,1954,1954-10-10,3,26.217,RAM,@,DET,L 3-21,8,128,16.00,0,0,0,,0
27,1954,1954-10-17,4,26.224,RAM,@,GNB,L 17-35,3,149,49.67,1,0,0,,0
28,1954,1954-10-24,5,26.231,RAM,,CHI,W 42-38,8,131,16.38,0,0,0,,0
29,1954,1954-10-31,6,26.238,RAM,,DET,L 24-27,1,32,32.00,0,0,0,,0
30,1954,1954-11-07,7,26.245,RAM,@,SFO,W 42-34,5,49,9.80,1,0,0,,0
31,1954,1954-11-14,8,26.252,RAM,,CRD,W 28-17,3,59,19.67,1,0,0,,0
