ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1981,1981-09-27,4,24.168,HOU,@,NYJ,L 17-33,,,,,,,,
2,1981,1981-10-04,5,24.175,HOU,,CIN,W 17-10,,,,,,,,
3,1981,1981-10-11,6,24.182,HOU,,SEA,W 35-17,,,,,,,,
4,1981,1981-10-18,7,24.189,HOU,@,NWE,L 10-38,,,,,,,,
5,1981,1981-10-26,8,24.197,HOU,@,PIT,L 13-26,,,,,,,,
6,1981,1981-11-08,10,24.210,HOU,,OAK,W 17-16,,,,,,,,
7,1981,1981-11-22,12,24.224,HOU,,NOR,L 24-27,,,,,,,,
8,1981,1981-11-29,13,24.231,HOU,,ATL,L 27-31,,,,,,,,
9,1981,1981-12-03,14,24.235,HOU,,CLE,W 17-13,,,,,,,,
10,1981,1981-12-13,15,24.245,HOU,@,SFO,L 6-28,,,,,,,,
11,1981,1981-12-20,16,24.252,HOU,,PIT,W 21-20,,,,,,,,
12,1982,1982-09-12,1,25.153,HOU,@,CIN,L 6-27,4,31,7.75,0,0,0,,0
13,1982,1982-09-19,2,25.160,HOU,,SEA,W 23-21,0,0,,0,1,13,13.00,0
14,1982,1982-11-21,3,25.223,HOU,,PIT,L 10-24,4,84,21.00,0,0,0,,0
15,1982,1982-11-28,4,25.230,HOU,@,NWE,L 21-29,2,34,17.00,0,0,0,,0
16,1982,1982-12-05,5,25.237,HOU,@,NYG,L 14-17,2,27,13.50,0,0,0,,0
17,1982,1982-12-13,6,25.245,HOU,,DAL,L 7-37,3,33,11.00,0,0,0,,0
18,1982,1982-12-19,7,25.251,HOU,@,PHI,L 14-35,1,19,19.00,0,0,0,,0
19,1982,1982-12-26,8,25.258,HOU,,CLE,L 14-20,7,97,13.86,0,0,0,,0
20,1982,1983-01-02,9,25.265,HOU,,CIN,L 27-35,3,42,14.00,0,0,0,,0
