ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1992,1992-12-20,15,24.036,CHI,@,DET,L 3-16,,,,,,,0.0%,,,,,,,
2,1992,1992-12-27,16,24.043,CHI,@,DAL,L 14-27,,,,,,,0.0%,,,,,,,
3,1993,1993-09-05,1,24.295,CHI,,NYG,L 20-26,,4,3,37,12.33,0,75.0%,9.25,1,12,12.00,0,0,0
4,1993,1993-09-12,2,24.302,CHI,@,MIN,L 7-10,,1,0,0,,0,0.0%,0.00,1,-1,-1.00,0,0,0
5,1993,1993-09-26,3,24.316,CHI,,TAM,W 47-17,,,0,0,,0,0.0%,,3,10,3.33,0,0,0
6,1993,1993-10-03,4,24.323,CHI,,ATL,W 6-0,,,0,0,,0,0.0%,,0,0,,0,0,
7,1993,1993-10-10,5,24.330,CHI,@,PHI,W 17-6,,,0,0,,0,0.0%,,1,1,1.00,0,0,0
8,1993,1993-10-25,6,24.345,CHI,,MIN,L 12-19,,,0,0,,0,0.0%,,0,0,,0,0,
9,1993,1993-10-31,7,24.351,CHI,@,GNB,L 3-17,,,0,0,,0,0.0%,,0,0,,0,0,
10,1993,1993-11-07,8,24.358,CHI,,RAI,L 14-16,,3,3,23,7.67,0,100.0%,7.67,0,0,,0,0,0
11,1993,1993-11-14,9,25.000,CHI,@,SDG,W 16-13,,4,2,40,20.00,0,50.0%,10.00,2,-3,-1.50,0,0,0
12,1993,1993-12-05,12,25.021,CHI,,GNB,W 30-17,,,0,0,,0,0.0%,,0,0,,0,0,
13,1993,1993-12-12,13,25.028,CHI,@,TAM,L 10-13,,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0
14,1993,1993-12-18,14,25.034,CHI,,DEN,L 3-13,,6,4,40,10.00,0,66.7%,6.67,0,0,,0,0,0
15,1993,1993-12-26,15,25.042,CHI,,DET,L 14-20,,,0,0,,0,0.0%,,0,0,,0,0,
16,1993,1994-01-02,16,25.049,CHI,@,RAM,L 6-20,,4,3,17,5.67,0,75.0%,4.25,0,0,,0,0,0
17,1994,1994-09-04,1,25.294,CHI,,TAM,W 21-9,,0,0,0,,0,0.0%,,0,0,,0,0,
18,1994,1994-09-12,2,25.302,CHI,@,PHI,L 22-30,,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0
19,1994,1994-09-18,3,25.308,CHI,,MIN,L 14-42,,,0,0,,0,0.0%,,0,0,,0,0,
20,1994,1994-09-25,4,25.315,CHI,@,NYJ,W 19-7,,0,0,0,,0,0.0%,,1,4,4.00,0,0,0
21,1994,1994-10-02,5,25.322,CHI,,BUF,W 20-13,,,0,0,,0,0.0%,,0,0,,0,0,
22,1994,1994-10-09,6,25.329,CHI,,NOR,W 17-7,,1,0,0,,0,0.0%,0.00,0,0,,0,0,
23,1994,1994-10-23,7,25.343,CHI,@,DET,L 16-21,,1,0,0,,0,0.0%,0.00,0,0,,0,0,
24,1994,1994-10-31,8,25.351,CHI,,GNB,L 6-33,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0
25,1994,1994-11-06,9,25.357,CHI,@,TAM,W 20-6,,0,0,0,,0,0.0%,,3,20,6.67,0,0,0
26,1994,1994-11-13,10,25.364,CHI,@,MIA,W 17-14,,,0,0,,0,0.0%,,0,0,,0,0,
27,1994,1994-11-20,11,26.006,CHI,,DET,W 20-10,,0,0,0,,0,0.0%,,2,5,2.50,0,0,0
28,1994,1994-11-27,12,26.013,CHI,@,ARI,W 19-16,,0,0,0,,0,0.0%,,1,0,0.00,0,0,0
29,1995,1995-09-03,1,26.293,CAR,@,ATL,L 20-23,,5,4,53,13.25,0,80.0%,10.60,1,1,1.00,0,0,0
30,1995,1995-09-10,2,26.300,CAR,@,BUF,L 9-31,,1,1,3,3.00,0,100.0%,3.00,4,12,3.00,0,0,0
31,1995,1995-09-17,3,26.307,CAR,,STL,L 10-31,,5,4,26,6.50,0,80.0%,5.20,4,13,3.25,0,0,0
32,1995,1995-10-01,4,26.321,CAR,,TAM,L 13-20,,3,2,9,4.50,0,66.7%,3.00,5,19,3.80,0,0,0
33,1995,1995-10-08,5,26.328,CAR,@,CHI,L 27-31,,0,0,0,,0,0.0%,,1,4,4.00,0,0,0
34,1995,1995-10-15,6,26.335,CAR,,NYJ,W 26-15,,2,1,13,13.00,0,50.0%,6.50,2,7,3.50,0,0,0
35,1995,1995-10-22,7,26.342,CAR,,NOR,W 20-3,,2,2,12,6.00,0,100.0%,6.00,3,9,3.00,0,0,0
36,1995,1995-11-12,10,26.363,CAR,@,STL,L 17-28,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0
37,1995,1995-11-19,11,27.005,CAR,,ARI,W 27-7,,2,2,5,2.50,1,100.0%,2.50,0,0,,0,1,6
38,1995,1995-11-26,12,27.012,CAR,@,NOR,L 26-34,,3,3,43,14.33,0,100.0%,14.33,6,39,6.50,0,0,0
39,1995,1995-12-03,13,27.019,CAR,,IND,W 13-10,,2,2,23,11.50,0,100.0%,11.50,6,24,4.00,0,0,0
40,1995,1995-12-10,14,27.026,CAR,,SFO,L 10-31,,2,2,12,6.00,0,100.0%,6.00,4,16,4.00,0,0,0
41,1995,1995-12-17,15,27.033,CAR,,ATL,W 21-17,,2,2,19,9.50,0,100.0%,9.50,3,4,1.33,0,0,0
42,1995,1995-12-24,16,27.040,CAR,@,WAS,L 17-20,,4,3,24,8.00,0,75.0%,6.00,2,10,5.00,0,0,0
43,1997,1997-08-31,1,28.290,ATL,@,DET,L 17-28,,3,3,23,7.67,0,100.0%,7.67,0,0,,0,0,0
44,1997,1997-09-07,2,28.297,ATL,,CAR,L 6-9,,2,2,8,4.00,0,100.0%,4.00,1,0,0.00,0,0,0
45,1997,1997-09-14,3,28.304,ATL,,OAK,L 31-36,,3,3,24,8.00,1,100.0%,8.00,0,0,,0,1,6
46,1997,1997-09-21,4,28.311,ATL,@,SFO,L 7-34,,2,1,6,6.00,0,50.0%,3.00,1,0,0.00,0,0,0
47,1997,1997-09-28,5,28.318,ATL,,DEN,L 21-29,,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0
48,1997,1997-10-12,6,28.332,ATL,@,NOR,W 23-17,,2,0,0,,0,0.0%,0.00,0,0,,0,0,
49,1997,1997-10-19,7,28.339,ATL,,SFO,L 28-35,,0,0,0,,0,0.0%,,1,2,2.00,0,0,0
50,1997,1997-10-26,8,28.346,ATL,@,CAR,L 12-21,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0
51,1997,1997-11-02,9,28.353,ATL,,STL,W 34-31,,1,1,8,8.00,0,100.0%,8.00,1,1,1.00,0,0,0
52,1997,1997-11-09,10,28.360,ATL,,TAM,L 10-31,,1,1,11,11.00,0,100.0%,11.00,1,3,3.00,0,0,0
53,1997,1997-11-16,11,29.002,ATL,@,STL,W 27-21,,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0
54,1997,1997-11-23,12,29.009,ATL,,NOR,W 20-3,,4,3,17,5.67,0,75.0%,4.25,1,0,0.00,0,0,0
55,1997,1997-11-30,13,29.016,ATL,@,SEA,W 24-17,,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0
56,1997,1997-12-07,14,29.023,ATL,@,SDG,W 14-3,,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0
57,1997,1997-12-14,15,29.030,ATL,,PHI,W 20-17,,,0,0,,0,0.0%,,0,0,,0,0,
58,1997,1997-12-21,16,29.037,ATL,@,ARI,L 26-29,,1,0,0,,0,0.0%,0.00,1,2,2.00,0,0,0
59,1998,1998-09-06,1,29.296,ATL,@,CAR,W 19-14,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0
60,1998,1998-09-13,2,29.303,ATL,,PHI,W 17-12,,3,1,16,16.00,0,33.3%,5.33,0,0,,0,0,0
61,1998,1998-09-27,3,29.317,ATL,@,SFO,L 20-31,,1,,,,,0.0%,,,,,,,
62,1998,1998-10-04,4,29.324,ATL,,CAR,W 51-23,,0,0,0,,0,0.0%,,1,1,1.00,1,1,6
63,1998,1998-10-11,5,29.331,ATL,@,NYG,W 34-20,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0
64,1998,1998-10-18,6,29.338,ATL,,NOR,W 31-23,,2,2,5,2.50,1,100.0%,2.50,1,6,6.00,0,1,6
65,1998,1998-10-25,7,29.345,ATL,@,NYJ,L 3-28,,5,3,43,14.33,0,60.0%,8.60,0,0,,0,0,0
66,1998,1998-11-01,8,29.352,ATL,,STL,W 37-15,,1,1,17,17.00,0,100.0%,17.00,1,2,2.00,0,0,0
67,1998,1998-11-08,9,29.359,ATL,@,NWE,W 41-10,,1,1,39,39.00,0,100.0%,39.00,0,0,,0,0,0
68,1998,1998-11-15,10,30.001,ATL,,SFO,W 31-19,,4,4,48,12.00,0,100.0%,12.00,0,0,,0,0,0
69,1998,1998-11-22,11,30.008,ATL,,CHI,W 20-13,,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0
70,1998,1998-11-29,12,30.015,ATL,@,STL,W 21-10,,2,,,,,0.0%,,,,,,,
71,1998,1998-12-06,13,30.022,ATL,,IND,W 28-21,,1,1,9,9.00,0,100.0%,9.00,1,1,1.00,0,0,0
72,1998,1998-12-13,14,30.029,ATL,@,NOR,W 27-17,,3,2,11,5.50,0,66.7%,3.67,4,11,2.75,1,1,6
73,1999,1999-09-12,1,30.302,ATL,,MIN,L 14-17,*,2,1,14,14.00,0,50.0%,7.00,1,1,1.00,1,1,6
74,1999,1999-09-20,2,30.310,ATL,@,DAL,L 7-24,*,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0
75,1999,1999-09-26,3,30.316,ATL,@,STL,L 7-35,*,7,5,37,7.40,0,71.4%,5.29,1,3,3.00,0,0,0
76,1999,1999-10-03,4,30.323,ATL,,BAL,L 13-19,,6,4,33,8.25,0,66.7%,5.50,1,5,5.00,0,0,0
77,1999,1999-10-10,5,30.330,ATL,@,NOR,W 20-17,*,1,1,4,4.00,0,100.0%,4.00,1,1,1.00,1,1,6
78,1999,1999-10-17,6,30.337,ATL,,STL,L 13-41,*,6,3,31,10.33,1,50.0%,5.17,3,-2,-0.67,0,1,6
79,1999,1999-10-25,7,30.345,ATL,@,PIT,L 9-13,*,5,4,13,3.25,0,80.0%,2.60,3,0,0.00,0,0,0
80,1999,1999-10-31,8,30.351,ATL,,CAR,W 27-20,*,3,3,40,13.33,0,100.0%,13.33,0,0,,0,0,0
81,1999,1999-11-07,9,30.358,ATL,,JAX,L 7-30,*,4,2,8,4.00,0,50.0%,2.00,1,10,10.00,0,0,0
82,1999,1999-11-21,10,31.007,ATL,@,TAM,L 10-19,*,4,3,36,12.00,0,75.0%,9.00,3,14,4.67,0,0,0
83,1999,1999-11-28,11,31.014,ATL,@,CAR,L 28-34,*,3,2,19,9.50,1,66.7%,6.33,1,11,11.00,0,1,6
84,1999,1999-12-05,12,31.021,ATL,,NOR,W 35-12,*,0,0,0,,0,0.0%,,6,44,7.33,1,1,6
85,1999,1999-12-12,13,31.028,ATL,@,SFO,L 7-26,,2,1,3,3.00,0,50.0%,1.50,2,5,2.50,0,0,0
86,1999,1999-12-19,14,31.035,ATL,@,TEN,L 17-30,,9,6,55,9.17,0,66.7%,6.11,3,20,6.67,0,0,0
87,1999,1999-12-26,15,31.042,ATL,,ARI,W 37-14,*,5,3,46,15.33,0,60.0%,9.20,9,54,6.00,2,2,12
88,1999,2000-01-03,16,31.050,ATL,,SFO,W 34-29,*,4,1,7,7.00,0,25.0%,1.75,3,8,2.67,0,0,0
89,2000,2000-09-03,1,31.294,ATL,,SFO,W 36-28,*,3,1,12,12.00,0,33.3%,4.00,3,5,1.67,0,0,0
90,2000,2000-09-10,2,31.301,ATL,@,DEN,L 14-42,*,6,3,16,5.33,0,50.0%,2.67,0,0,,0,0,0
91,2000,2000-09-17,3,31.308,ATL,@,CAR,W 15-10,*,7,6,26,4.33,0,85.7%,3.71,2,7,3.50,0,0,0
92,2000,2000-09-24,4,31.315,ATL,,STL,L 20-41,*,4,2,20,10.00,0,50.0%,5.00,1,4,4.00,0,0,0
93,2000,2000-10-01,5,31.322,ATL,@,PHI,L 10-38,*,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0,0
94,2000,2000-10-08,6,31.329,ATL,,NYG,L 6-13,*,7,5,42,8.40,0,71.4%,6.00,0,0,,0,0,0
95,2000,2000-10-15,7,31.336,ATL,@,STL,L 29-45,*,4,3,29,9.67,0,75.0%,7.25,0,0,,0,0,0
96,2000,2000-10-22,8,31.343,ATL,,NOR,L 19-21,*,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0
97,2000,2000-10-29,9,31.350,ATL,,CAR,W 13-12,*,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0
98,2000,2000-11-05,10,31.357,ATL,,TAM,L 14-27,,4,4,24,6.00,0,100.0%,6.00,0,0,,0,0,0
99,2000,2000-11-12,11,31.364,ATL,@,DET,L 10-13,,1,0,0,,0,0.0%,0.00,2,0,0.00,0,0,0
100,2000,2000-11-19,12,32.005,ATL,@,SFO,L 6-16,,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0
101,2000,2000-11-26,13,32.012,ATL,@,OAK,L 14-41,*,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0
102,2000,2000-12-03,14,32.019,ATL,,SEA,L 10-30,,5,3,16,5.33,0,60.0%,3.20,1,3,3.00,0,0,0
