ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2008,2008-12-14,14,23.357,TEN,@,HOU,L 12-13,,,,,,,0.0%,,,,,,,,,
2,2009,2009-09-10,1,24.261,TEN,@,PIT,L 10-13,,,,,,,0.0%,,,,,,,,,
3,2009,2009-10-04,4,24.285,TEN,@,JAX,L 17-37,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
4,2009,2009-10-11,5,24.292,TEN,,IND,L 9-31,,,0,0,,0,0.0%,,0,0,0.0,0,1,0,0,0
5,2009,2009-10-18,6,24.299,TEN,@,NWE,L 0-59,,0,0,0,,0,0.0%,,0,0,0.0,4,4,0,0,0
6,2009,2009-12-07,12,24.349,BAL,@,GNB,L 14-27,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
7,2009,2009-12-13,13,24.355,BAL,,DET,W 48-3,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
8,2009,2009-12-20,14,24.362,BAL,,CHI,W 31-7,*,0,0,0,,0,0.0%,,0,0,0.0,1,0,0,0,0
9,2009,2009-12-27,15,25.004,BAL,@,PIT,L 20-23,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
10,2009,2010-01-03,16,25.011,BAL,@,OAK,W 21-13,,,,,,,0.0%,,,,,,,,,
11,2010,2010-09-26,3,25.277,BAL,,CLE,W 24-17,,,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
12,2010,2010-10-03,4,25.284,BAL,@,PIT,W 17-14,,,,,,,0.0%,,,,,,,,,
13,2010,2010-10-10,5,25.291,BAL,,DEN,W 31-17,,,,,,,0.0%,,,,,,,,,
14,2010,2010-10-17,6,25.298,BAL,@,NWE,L 20-23,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
15,2010,2010-10-24,7,25.305,BAL,,BUF,W 37-34,,,,,,,0.0%,,,,,,,,,
16,2010,2010-11-07,8,25.319,BAL,,MIA,W 26-10,,1,1,13,13.00,0,100.0%,13.00,0,0,0.0,0,0,0,0,0
17,2010,2010-11-11,9,25.323,BAL,@,ATL,L 21-26,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
18,2010,2010-11-21,10,25.333,BAL,@,CAR,W 37-13,,,0,0,,0,0.0%,,0,0,0.0,0,1,0,0,0
19,2010,2010-11-28,11,25.340,BAL,,TAM,W 17-10,,,,,,,0.0%,,,,,,,,,
20,2010,2010-12-13,13,25.355,BAL,@,HOU,W 34-28,,,,,,,0.0%,,,,,,,,,
21,2010,2010-12-19,14,25.361,BAL,,NOR,W 30-24,,,,,,,0.0%,,,,,,,,,
22,2010,2010-12-26,15,26.003,BAL,@,CLE,W 20-10,,,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
23,2010,2011-01-02,16,26.010,BAL,,CIN,W 13-7,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
24,2011,2011-09-11,1,26.262,BAL,,PIT,W 35-7,*,0,0,0,,0,0.0%,,0,0,0.0,4,1,0,0,0
25,2011,2011-09-18,2,26.269,BAL,@,TEN,L 13-26,*,0,0,0,,0,0.0%,,0,0,0.0,4,4,0,0,0
26,2011,2011-09-25,3,26.276,BAL,@,STL,W 37-7,*,0,0,0,,0,0.0%,,0,0,0.0,2,0,0,0,0
27,2011,2011-10-02,4,26.283,BAL,,NYJ,W 34-17,*,0,0,0,,0,0.0%,,0,0,0.0,8,0,0,0,0
28,2011,2011-10-16,5,26.297,BAL,,HOU,W 29-14,*,0,0,0,,0,0.0%,,0,0,0.0,5,0,0,0,0
29,2011,2011-10-24,6,26.305,BAL,@,JAX,L 7-12,*,0,0,0,,0,0.0%,,0,0,0.0,4,3,0,0,0
30,2011,2011-10-30,7,26.311,BAL,,ARI,W 30-27,*,0,0,0,,0,0.0%,,0,0,0.0,2,1,0,0,0
31,2011,2011-11-06,8,26.318,BAL,@,PIT,W 23-20,,0,0,0,,0,0.0%,,0,0,0.0,2,0,0,0,0
32,2011,2011-11-13,9,26.325,BAL,@,SEA,L 17-22,,0,0,0,,0,0.0%,,0,0,0.0,4,0,0,0,0
33,2011,2011-11-20,10,26.332,BAL,,CIN,W 31-24,,0,0,0,,0,0.0%,,0,0,0.0,5,1,0,0,0
34,2011,2011-11-24,11,26.336,BAL,,SFO,W 16-6,,0,0,0,,0,0.0%,,0,0,0.0,3,0,0,0,0
35,2011,2011-12-04,12,26.346,BAL,@,CLE,W 24-10,,0,0,0,,0,0.0%,,0,0,0.0,3,1,0,0,0
36,2011,2011-12-11,13,26.353,BAL,,IND,W 24-10,*,0,0,0,,0,0.0%,,0,0,0.0,2,2,0,0,0
37,2011,2011-12-18,14,26.360,BAL,@,SDG,L 14-34,*,0,0,0,,0,0.0%,,0,0,0.0,6,1,0,0,0
38,2011,2011-12-24,15,27.001,BAL,,CLE,W 20-14,*,0,0,0,,0,0.0%,,0,0,0.0,1,2,0,0,0
39,2011,2012-01-01,16,27.009,BAL,@,CIN,W 24-16,*,0,0,0,,0,0.0%,,0,0,0.0,6,0,0,0,0
40,2012,2012-09-10,1,27.262,BAL,,CIN,W 44-13,*,0,0,0,,0,0.0%,,0,0,0.0,6,0,0,0,0
41,2012,2012-09-16,2,27.268,BAL,@,PHI,L 23-24,*,0,0,0,,0,0.0%,,0,0,0.0,2,0,0,0,0
42,2012,2012-09-23,3,27.275,BAL,,NWE,W 31-30,*,0,0,0,,0,0.0%,,0,0,0.0,10,0,0,0,0
43,2012,2012-09-27,4,27.279,BAL,,CLE,W 23-16,*,0,0,0,,0,0.0%,,0,6,0.0,3,0,1,63,1
44,2012,2012-10-07,5,27.289,BAL,@,KAN,W 9-6,*,0,0,0,,0,0.0%,,0,0,0.0,3,1,1,1,0
45,2012,2012-10-14,6,27.296,BAL,,DAL,W 31-29,*,0,0,0,,0,0.0%,,0,0,0.0,5,0,1,0,0
46,2012,2012-10-21,7,27.303,BAL,@,HOU,L 13-43,*,0,0,0,,0,0.0%,,0,0,1.0,8,0,0,0,0
47,2012,2012-11-04,8,27.317,BAL,@,CLE,W 25-15,*,0,0,0,,0,0.0%,,0,0,0.0,6,0,1,26,0
48,2012,2012-11-11,9,27.324,BAL,,OAK,W 55-20,*,0,0,0,,0,0.0%,,0,0,0.0,3,1,0,0,0
49,2012,2012-11-18,10,27.331,BAL,@,PIT,W 13-10,*,0,0,0,,0,0.0%,,0,0,0.0,0,1,0,0,0
50,2012,2012-11-25,11,27.338,BAL,@,SDG,W 16-13,*,0,0,0,,0,0.0%,,0,0,0.0,3,0,0,0,0
