ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1969,1969-09-14,1,22.328,SDG,,KAN,L 9-27,0,0,,0,0,0,1,0,0
2,1969,1969-09-21,2,22.335,SDG,@,CIN,L 20-34,0,0,,0,0,0,1,0,0
3,1969,1969-09-28,3,22.342,SDG,,NYJ,W 34-27,0,0,,0,0,0,1,2,0
4,1969,1969-10-19,6,22.363,SDG,@,BOS,W 13-10,0,0,,0,0,0,1,21,0
5,1969,1969-11-16,10,23.026,SDG,@,OAK,L 16-21,0,0,,0,0,0,1,42,0
6,1969,1969-12-07,13,23.047,SDG,,BOS,W 28-18,0,0,,0,0,0,2,27,0
7,1970,1970-09-20,1,23.334,SDG,,BAL,L 14-16,,,,,,,,,
8,1970,1970-09-27,2,23.341,SDG,,OAK,T 27-27,,,,,,,,,
9,1970,1970-10-04,3,23.348,SDG,@,RAM,L 10-37,,,,,,,,,
10,1970,1970-10-12,4,23.356,SDG,,GNB,L 20-22,,,,,,,,,
11,1970,1970-10-18,5,23.362,SDG,@,CHI,W 20-7,,,,,,,,,
12,1970,1970-10-25,6,24.004,SDG,,HOU,T 31-31,,,,,,,,,
13,1970,1970-11-01,7,24.011,SDG,@,CLE,W 27-10,,,,,,,,,
14,1970,1970-11-08,8,24.018,SDG,,DEN,W 24-21,,,,,,,,,
15,1970,1970-11-15,9,24.025,SDG,@,BOS,W 16-14,1,0,0.00,0,0,0,0,0,0
16,1970,1970-11-22,10,24.032,SDG,@,OAK,L 17-20,,,,,,,,,
17,1970,1970-11-29,11,24.039,SDG,@,KAN,L 14-26,,,,,,,,,
18,1970,1970-12-06,12,24.046,SDG,,CIN,L 14-17,,,,,,,,,
19,1970,1970-12-13,13,24.053,SDG,@,DEN,T 17-17,,,,,,,,,
20,1970,1970-12-20,14,24.060,SDG,,KAN,W 31-13,,,,,,,,,
21,1971,1971-09-19,1,24.333,SDG,,KAN,W 21-14,0,0,,0,0,0,1,7,0
22,1971,1971-09-26,2,24.340,SDG,,OAK,L 0-34,,,,,,,,,
23,1971,1971-10-03,3,24.347,SDG,@,PIT,L 17-21,,,,,,,,,
24,1971,1971-10-10,4,24.354,SDG,@,KAN,L 10-31,,,,,,,,,
25,1971,1971-10-17,5,24.361,SDG,@,DEN,L 16-20,,,,,,,,,
26,1971,1971-10-23,6,25.002,SDG,,BUF,W 20-3,,,,,,,,,
27,1971,1971-10-31,7,25.010,SDG,,NYJ,W 49-21,0,0,,0,0,0,1,0,0
28,1971,1971-11-07,8,25.017,SDG,@,NYG,L 17-35,,,,,,,,,
29,1971,1971-11-15,9,25.025,SDG,,STL,W 20-17,,,,,,,,,
30,1971,1971-11-21,10,25.031,SDG,@,OAK,L 33-34,,,,,,,,,
31,1971,1971-11-28,11,25.038,SDG,@,CIN,L 0-31,,,,,,,,,
32,1971,1971-12-05,12,25.045,SDG,,MIN,W 30-14,,,,,,,,,
33,1971,1971-12-12,13,25.052,SDG,,DEN,W 45-17,,,,,,,,,
34,1971,1971-12-19,14,25.059,SDG,@,HOU,L 33-49,,,,,,,,,
35,1972,1972-09-17,1,25.332,GNB,@,CLE,W 26-10,0,0,,0,0,0,1,0,0
36,1972,1972-09-24,2,25.339,GNB,,OAK,L 14-20,,,,,,,,,
37,1972,1972-10-01,3,25.346,GNB,,DAL,W 16-13,,,,,,,,,
38,1972,1972-10-08,4,25.353,GNB,,CHI,W 20-17,,,,,,,,,
39,1972,1972-10-16,5,25.361,GNB,@,DET,W 24-23,0,0,,0,0,0,2,21,0
40,1972,1972-10-22,6,26.001,GNB,,ATL,L 9-10,,,,,,,,,
41,1972,1972-10-29,7,26.008,GNB,,MIN,L 13-27,,,,,,,,,
42,1972,1972-11-05,8,26.015,GNB,,SFO,W 34-24,,,,,,,,,
43,1972,1972-11-12,9,26.022,GNB,@,CHI,W 23-17,,,,,,,,,
44,1972,1972-11-19,10,26.029,GNB,@,HOU,W 23-10,,,,,,,,,
45,1972,1972-11-26,11,26.036,GNB,@,WAS,L 16-21,,,,,,,,,
46,1972,1972-12-03,12,26.043,GNB,,DET,W 33-7,,,,,,,,,
47,1972,1972-12-10,13,26.050,GNB,@,MIN,W 23-7,,,,,,,,,
