ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2009,2009-09-10,1,24.211,PIT,,TEN,W 13-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,1,0,0,0
2,2009,2009-09-20,2,24.221,PIT,@,CHI,L 14-17,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
3,2009,2009-09-27,3,24.228,PIT,@,CIN,L 20-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,0,0,0
4,2009,2009-10-04,4,24.235,PIT,,SDG,W 38-28,,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,0.0,0,0,0,0,0
5,2009,2009-10-11,5,24.242,PIT,@,DET,W 28-20,,,,,,,0.0%,,,,,,,,,,,,,
6,2009,2009-10-18,6,24.249,PIT,,CLE,W 27-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,2,0,0,0
7,2009,2009-10-25,7,24.256,PIT,,MIN,W 27-17,,,,,,,0.0%,,,,,,,,,,,,,
8,2009,2009-11-09,8,24.271,PIT,@,DEN,W 28-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,0,0,0
9,2009,2009-11-15,9,24.277,PIT,,CIN,L 12-18,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,0,0,0
10,2009,2009-11-22,10,24.284,PIT,@,KAN,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
11,2009,2009-11-29,11,24.291,PIT,@,BAL,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
12,2009,2009-12-06,12,24.298,PIT,,OAK,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
13,2009,2009-12-10,13,24.302,PIT,@,CLE,L 6-13,,,,,,,0.0%,,,,,,,,,,,,,
14,2009,2009-12-20,14,24.312,PIT,,GNB,W 37-36,,0,,,,,0.0%,,,,,,,,,,,,,
15,2009,2009-12-27,15,24.319,PIT,,BAL,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,2,0,0,0
16,2009,2010-01-03,16,24.326,PIT,@,MIA,W 30-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,1,0,0,0
17,2010,2010-09-12,1,25.213,PIT,,ATL,W 15-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
18,2010,2010-09-19,2,25.220,PIT,@,TEN,W 19-11,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,0,0,0
19,2010,2010-09-26,3,25.227,PIT,@,TAM,W 38-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,3,0,0,0,0
20,2010,2010-10-03,4,25.234,PIT,,BAL,L 14-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
21,2010,2010-10-17,5,25.248,PIT,,CLE,W 28-10,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
22,2010,2010-10-24,6,25.255,PIT,@,MIA,W 23-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,0,0,0
23,2010,2010-10-31,7,25.262,PIT,@,NOR,L 10-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
24,2010,2010-11-08,8,25.270,PIT,@,CIN,W 27-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
25,2010,2010-11-14,9,25.276,PIT,,NWE,L 26-39,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
26,2010,2010-11-21,10,25.283,PIT,,OAK,W 35-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,0,0,0
27,2010,2010-11-28,11,25.290,PIT,@,BUF,W 19-16,,,,,,,0.0%,,,,,,,,,,,,,
28,2010,2010-12-05,12,25.297,PIT,@,BAL,W 13-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
29,2010,2010-12-12,13,25.304,PIT,,CIN,W 23-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
30,2010,2010-12-19,14,25.311,PIT,,NYJ,L 17-22,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,3,0,0,0
31,2010,2010-12-23,15,25.315,PIT,,CAR,W 27-3,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,7,1,0,0,0
32,2010,2011-01-02,16,25.325,PIT,@,CLE,W 41-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,0,0,0,0
33,2011,2011-09-11,1,26.212,PIT,@,BAL,L 7-35,,,,,,,0.0%,,,,,,,,,,,,,
34,2011,2011-09-18,2,26.219,PIT,,SEA,W 24-0,,,,,,,0.0%,,,,,,,,,,,,,
