ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1966,1966-12-04,12,23.211,MIN,,ATL,L 13-20,1,2,2.00,0,1,19,19.00,0,0,0,,0
2,1966,1966-12-11,13,23.218,MIN,@,DET,W 28-16,0,0,,0,2,42,21.00,0,1,3,3.00,0
3,1966,1966-12-18,14,23.225,MIN,@,CHI,L 28-41,0,0,,0,0,0,,0,3,-5,-1.67,0
