ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1978,1978-09-03,1,22.201,GNB,@,DET,W 13-7,0,0,,0,,,,,,,0,0,0.0,1,10,0
2,1978,1978-09-10,2,22.208,GNB,,NOR,W 28-17,0,0,,0,,,,,,,0,0,0.0,1,12,0
3,1978,1978-09-17,3,22.215,GNB,,OAK,L 3-28,0,0,,0,,,,,,,0,0,0.0,2,5,0
4,1978,1978-09-24,4,22.222,GNB,@,SDG,W 24-3,,,,,,,,,,,,,,,,
5,1978,1978-10-01,5,22.229,GNB,,DET,W 35-14,,,,,,,,,,,,,,,,
6,1978,1978-10-08,6,22.236,GNB,,CHI,W 24-14,,,,,,,,,,,,,,,,
7,1978,1978-10-15,7,22.243,GNB,,SEA,W 45-28,,,,,,,,,,,,,,,,
8,1978,1978-10-22,8,22.250,GNB,@,MIN,L 7-21,,,,,,,,,,,,,,,,
9,1978,1978-10-29,9,22.257,GNB,,TAM,W 9-7,,,,,,,,,,,,,,,,
10,1978,1978-11-05,10,22.264,GNB,@,PHI,L 3-10,,,,,,,,,,,,,,,,
11,1978,1978-11-12,11,22.271,GNB,,DAL,L 14-42,,,,,,,,,,,,,,,,
12,1978,1978-11-26,13,22.285,GNB,,MIN,T 10-10,0,0,,0,,,,,,,0,0,0.0,1,0,0
13,1978,1978-12-03,14,22.292,GNB,@,TAM,W 17-7,,,,,,,,,,,,,,,,
14,1979,1979-11-04,10,23.263,GNB,,NYJ,L 22-27,0,0,,0,1,2,50.0,1,1,100.0,0,4,0.0,0,0,0
15,1979,1979-11-11,11,23.270,GNB,,MIN,W 19-7,,,,,,,,,,,,,,,,
16,1979,1979-11-18,12,23.277,GNB,@,BUF,L 12-19,,,,,,,,,,,,,,,,
17,1979,1979-11-25,13,23.284,GNB,,PHI,L 10-21,,,,,,,,,,,,,,,,
18,1979,1979-12-02,14,23.291,GNB,@,WAS,L 21-38,,,,,,,,,,,,,,,,
19,1979,1979-12-09,15,23.298,GNB,,CHI,L 14-15,,,,,,,,,,,,,,,,
20,1979,1979-12-15,16,23.304,GNB,@,DET,W 18-13,,,,,,,,,,,,,,,,
21,1980,1980-09-07,1,24.206,GNB,,CHI,W 12-6,,,,,,,,,,,,,,,,
22,1980,1980-09-14,2,24.213,GNB,,DET,L 7-29,,,,,,,,,,,,,,,,
23,1980,1980-09-21,3,24.220,GNB,@,RAM,L 21-51,,,,,,,,,,,,,,,,
24,1980,1980-09-28,4,24.227,GNB,,DAL,L 7-28,,,,,,,,,,,,,,,,
25,1980,1980-10-05,5,24.234,GNB,,CIN,W 14-9,,,,,,,,,,,,,,,,
26,1980,1980-10-12,6,24.241,GNB,@,TAM,T 14-14,,,,,,,,,,,,,,,,
27,1980,1980-10-19,7,24.248,GNB,@,CLE,L 21-26,,,,,,,,,,,,,,,,
28,1980,1980-10-26,8,24.255,GNB,,MIN,W 16-3,,,,,,,,,,,,,,,,
29,1980,1980-11-02,9,24.262,GNB,@,PIT,L 20-22,,,,,,,,,,,,,,,,
30,1981,1981-09-06,1,25.204,GNB,@,CHI,W 16-9,,,,,,,,,,,,,,,,
31,1981,1981-09-13,2,25.211,GNB,,ATL,L 17-31,,,,,,,,,,,,,,,,
32,1981,1981-09-20,3,25.218,GNB,@,RAM,L 23-35,,,,,,,,,,,,,,,,
33,1981,1981-09-27,4,25.225,GNB,,MIN,L 13-30,,,,,,,,,,,,,,,,
34,1981,1981-10-04,5,25.232,GNB,@,NYG,W 27-14,,,,,,,,,,,,,,,,
35,1981,1981-10-11,6,25.239,GNB,,TAM,L 10-21,,,,,,,,,,,,,,,,
36,1981,1981-10-18,7,25.246,GNB,,SFO,L 3-13,,,,,,,,,,,,,,,,
37,1981,1981-10-25,8,25.253,GNB,@,DET,L 27-31,,,,,,,,,,,,,,,,
38,1981,1981-11-01,9,25.260,GNB,,SEA,W 34-24,,,,,,,,,,,,,,,,
39,1981,1981-11-08,10,25.267,GNB,,NYG,W 26-24,0,0,,0,,,,,,,0,0,0.0,1,8,0
40,1981,1981-11-15,11,25.274,GNB,,CHI,W 21-17,,,,,,,,,,,,,,,,
41,1981,1981-11-22,12,25.281,GNB,@,TAM,L 3-37,,,,,,,,,,,,,,,,
42,1981,1981-11-29,13,25.288,GNB,@,MIN,W 35-23,0,0,,0,,,,,,,0,0,0.0,1,2,0
43,1981,1981-12-06,14,25.295,GNB,,DET,W 31-17,0,0,,0,,,,,,,0,0,0.0,1,2,0
44,1981,1981-12-13,15,25.302,GNB,@,NOR,W 35-7,,,,,,,,,,,,,,,,
45,1981,1981-12-20,16,25.309,GNB,@,NYJ,L 3-28,,,,,,,,,,,,,,,,
46,1982,1982-09-12,1,26.210,GNB,,RAM,W 35-23,0,0,,0,,,,,,,0,0,0.0,1,7,0
47,1982,1982-09-20,2,26.218,GNB,@,NYG,W 27-19,,,,,,,,,,,,,,,,
48,1982,1982-11-21,3,26.280,GNB,,MIN,W 26-7,,,,,,,,,,,,,,,,
49,1982,1982-11-28,4,26.287,GNB,@,NYJ,L 13-15,,,,,,,,,,,,,,,,
50,1982,1982-12-05,5,26.294,GNB,,BUF,W 33-21,,,,,,,,,,,,,,,,
51,1982,1982-12-12,6,26.301,GNB,,DET,L 10-30,,,,,,,,,,,,,,,,
52,1982,1982-12-19,7,26.308,GNB,@,BAL,T 20-20,,,,,,,,,,,,,,,,
53,1982,1982-12-26,8,26.315,GNB,@,ATL,W 38-7,0,0,,0,,,,,,,0,0,0.5,1,9,0
54,1982,1983-01-02,9,26.322,GNB,@,DET,L 24-27,0,0,,0,,,,,,,0,0,0.0,1,6,0
55,1983,1983-09-04,1,27.202,GNB,@,HOU,W 41-38,0,0,,0,,,,,,,0,0,0.0,1,14,0
56,1983,1983-09-11,2,27.209,GNB,,PIT,L 21-25,,,,,,,,,,,,,,,,
57,1983,1983-09-18,3,27.216,GNB,,RAM,W 27-24,,,,,,,,,,,,,,,,
58,1983,1983-09-26,4,27.224,GNB,@,NYG,L 3-27,,,,,,,,,,,,,,,,
