ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1966,1966-09-11,1,23.201,PIT,,NYG,T 34-34,18,83,4.61,1,1,20,20.00,0,0,0,,0,0,0,,0,0,,,1,6
2,1966,1966-09-18,2,23.208,PIT,,DET,W 17-3,23,57,2.48,0,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0
3,1966,1966-09-25,3,23.215,PIT,,WAS,L 27-33,14,52,3.71,0,3,37,12.33,0,0,0,,0,0,0,,0,0,,,0,0
4,1966,1966-10-02,4,23.222,PIT,@,WAS,L 10-24,15,39,2.60,0,3,48,16.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
5,1966,1966-10-08,5,23.228,PIT,@,CLE,L 10-41,4,0,0.00,0,2,19,9.50,0,0,0,,0,0,0,,0,0,,,0,0
6,1966,1966-10-16,6,23.236,PIT,,PHI,L 14-31,13,52,4.00,1,3,44,14.67,1,0,0,,0,0,0,,0,0,,,2,12
7,1966,1966-10-30,7,23.250,PIT,@,DAL,L 21-52,4,8,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
8,1966,1966-11-06,8,23.257,PIT,,CLE,W 16-6,17,94,5.53,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
9,1966,1966-11-13,9,23.264,PIT,,STL,W 30-9,16,24,1.50,0,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0
10,1966,1966-11-20,10,23.271,PIT,,DAL,L 7-20,6,17,2.83,0,1,11,11.00,1,0,0,,0,0,0,,0,0,,,1,6
11,1966,1966-11-27,11,23.278,PIT,@,STL,L 3-6,8,12,1.50,0,2,8,4.00,0,0,0,,0,0,0,,0,0,,,0,0
12,1966,1966-12-04,12,23.285,PIT,@,PHI,L 23-27,14,70,5.00,2,0,0,,0,0,0,,0,0,0,,0,0,,,2,12
13,1966,1966-12-11,13,23.292,PIT,@,NYG,W 47-28,9,19,2.11,2,2,28,14.00,0,0,0,,0,0,0,,0,0,,,2,12
14,1966,1966-12-18,14,23.299,PIT,@,ATL,W 57-33,8,17,2.13,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
15,1967,1967-09-17,1,24.207,PIT,,CHI,W 41-13,12,107,8.92,2,1,10,10.00,0,0,0,,0,0,0,,0,0,,,2,12
16,1967,1967-09-24,2,24.214,PIT,,STL,L 14-28,15,27,1.80,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
17,1967,1967-10-01,3,24.221,PIT,@,PHI,L 24-34,7,54,7.71,1,2,42,21.00,0,0,0,,0,0,0,,0,0,,,1,6
18,1967,1967-10-07,4,24.227,PIT,@,CLE,L 10-21,11,16,1.45,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
19,1967,1967-10-15,5,24.235,PIT,,NYG,L 24-27,6,6,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
20,1967,1967-10-22,6,24.242,PIT,,DAL,L 21-24,2,3,1.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
21,1967,1967-11-05,8,24.256,PIT,,CLE,L 14-34,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
22,1967,1967-11-12,9,24.263,PIT,@,STL,T 14-14,4,27,6.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
23,1967,1967-11-19,10,24.270,PIT,@,NYG,L 20-28,7,20,2.86,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
24,1967,1967-11-26,11,24.277,PIT,,MIN,L 27-41,15,48,3.20,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
25,1968,1968-10-27,7,25.248,PIT,,PHI,W 6-3,1,4,4.00,0,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0
26,1968,1968-11-03,8,25.255,PIT,@,ATL,W 41-21,2,6,3.00,0,1,16,16.00,0,0,0,,0,0,0,,0,0,,,0,0
27,1968,1968-12-15,14,25.297,PIT,@,NOR,L 14-24,1,-1,-1.00,0,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0
