ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2015,2015-09-13,1,24.000,DET,@,SDG,L 28-33,,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
2,2015,2015-09-20,2,24.007,DET,@,MIN,L 16-26,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
3,2015,2015-09-27,3,24.014,DET,,DEN,L 12-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
4,2015,2015-10-05,4,24.022,DET,@,SEA,L 10-13,,2,9,4.50,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0
5,2015,2015-10-11,5,24.028,DET,,ARI,L 17-42,*,10,30,3.00,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0
6,2015,2015-10-18,6,24.035,DET,,CHI,W 37-34,,3,15,5.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
7,2016,2016-09-25,3,25.012,DET,@,GNB,L 27-34,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
8,2016,2016-10-02,4,25.019,DET,@,CHI,L 14-17,,3,12,4.00,0,1,1,22,22.00,0,100.0%,22.00,0,0,,0,0,0
9,2016,2016-10-09,5,25.026,DET,,PHI,W 24-23,,7,9,1.29,0,2,2,23,11.50,0,100.0%,11.50,0,0,,0,0,0
10,2016,2016-10-16,6,25.033,DET,,LAR,W 31-28,*,14,58,4.14,0,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0
11,2016,2016-10-23,7,25.040,DET,,WAS,W 20-17,*,9,29,3.22,1,2,0,0,,0,0.0%,0.00,0,0,,0,1,6
12,2016,2016-10-30,8,25.047,DET,@,HOU,L 13-20,,3,2,0.67,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0
13,2016,2016-11-06,9,25.054,DET,@,MIN,W 22-16,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
14,2016,2016-11-20,10,25.068,DET,,JAX,W 26-19,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
15,2016,2016-11-24,11,25.072,DET,,MIN,W 16-13,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
16,2016,2016-12-04,12,25.082,DET,@,NOR,W 28-13,,9,40,4.44,0,0,0,0,,0,0.0%,,0,0,,0,0,0
17,2016,2016-12-11,13,25.089,DET,,CHI,W 20-17,,7,36,5.14,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0
18,2016,2016-12-18,14,25.096,DET,@,NYG,L 6-17,,3,12,4.00,0,5,4,52,13.00,0,80.0%,10.40,0,0,,0,0,0
19,2016,2016-12-26,15,25.104,DET,@,DAL,L 21-42,*,12,67,5.58,2,3,2,25,12.50,0,66.7%,8.33,0,0,,0,2,12
20,2016,2017-01-01,16,25.110,DET,,GNB,L 24-31,*,20,69,3.45,1,5,4,41,10.25,0,80.0%,8.20,0,0,,0,1,6
21,2017,2017-09-24,3,26.011,DET,,ATL,L 26-30,,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0
22,2017,2017-10-01,4,26.018,DET,@,MIN,W 14-7,,3,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
23,2017,2017-10-08,5,26.025,DET,,CAR,L 24-27,,3,11,3.67,1,0,0,0,,0,0.0%,,0,0,,0,1,6
24,2017,2017-10-15,6,26.032,DET,@,NOR,L 38-52,,1,0,0.00,0,1,0,0,,0,0.0%,0.00,1,20,20.00,0,0,0
25,2017,2017-11-19,10,26.067,DET,@,CHI,W 27-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
26,2017,2017-11-23,11,26.071,DET,,MIN,L 23-30,,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
27,2017,2017-12-03,12,26.081,DET,@,BAL,L 20-44,,1,4,4.00,0,0,0,0,,0,0.0%,,2,42,21.00,0,0,0
28,2017,2017-12-10,13,26.088,DET,@,TAM,W 24-21,,2,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
