ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1988,1988-10-31,9,22.358,DEN,@,IND,L 23-55,0,0,,0,0,0,,0,5,103,20.60,0,0,0,,0
2,1988,1988-11-06,10,22.364,DEN,,KAN,W 17-11,0,0,,0,0,0,,0,0,0,,0,0,0,,0
3,1988,1988-11-13,11,23.005,DEN,,CLE,W 30-7,0,0,,0,0,0,,0,1,21,21.00,0,0,0,,0
4,1988,1988-11-20,12,23.012,DEN,@,NOR,L 0-42,0,0,,0,0,0,,0,2,36,18.00,0,0,0,,0
5,1988,1988-11-27,13,23.019,DEN,,RAM,W 35-24,0,0,,0,1,6,6.00,0,3,80,26.67,0,0,0,,0
6,1988,1988-12-04,14,23.026,DEN,@,RAI,L 20-21,1,3,3.00,0,0,0,,0,3,52,17.33,0,1,5,5.00,0
7,1988,1988-12-11,15,23.033,DEN,@,SEA,L 14-42,0,0,,0,0,0,,0,0,0,,0,0,0,,0
8,1988,1988-12-17,16,23.039,DEN,,NWE,W 21-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0
9,1989,1989-09-10,1,23.306,PIT,,CLE,L 0-51,0,0,,0,0,0,,0,3,43,14.33,0,2,22,11.00,0
10,1989,1989-09-17,2,23.313,PIT,@,CIN,L 10-41,,,,,,,,,0,0,,0,0,0,,0
11,1989,1989-09-24,3,23.320,PIT,,MIN,W 27-14,,,,,,,,,0,0,,0,0,0,,0
12,1989,1989-10-01,4,23.327,PIT,@,DET,W 23-3,,,,,,,,,0,0,,0,0,0,,0
13,1989,1989-10-08,5,23.334,PIT,,CIN,L 16-26,,,,,,,,,0,0,,0,0,0,,0
14,1989,1989-10-15,6,23.341,PIT,@,CLE,W 17-7,,,,,,,,,0,0,,0,0,0,,0
15,1989,1989-10-22,7,23.348,PIT,@,HOU,L 0-27,,,,,,,,,0,0,,0,0,0,,0
16,1989,1989-10-29,8,23.355,PIT,,KAN,W 23-17,,,,,,,,,0,0,,0,0,0,,0
17,1989,1989-11-05,9,23.362,PIT,@,DEN,L 7-34,,,,,,,,,0,0,,0,0,0,,0
18,1989,1989-11-12,10,24.004,PIT,,CHI,L 0-20,,,,,,,,,0,0,,0,0,0,,0
19,1989,1989-11-19,11,24.011,PIT,,SDG,W 20-17,,,,,,,,,0,0,,0,0,0,,0
20,1989,1989-11-26,12,24.018,PIT,@,MIA,W 34-14,,,,,,,,,0,0,,0,0,0,,0
21,1989,1989-12-03,13,24.025,PIT,,HOU,L 16-23,,,,,,,,,0,0,,0,0,0,,0
22,1989,1989-12-10,14,24.032,PIT,@,NYJ,W 13-0,,,,,,,,,0,0,,0,0,0,,0
