ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-09-12,1,23.185,BUF,,JAX,L 10-13,*,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
2,2004,2004-09-19,2,23.192,BUF,@,OAK,L 10-13,*,2,1,65,65.00,0,50.0%,32.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
3,2004,2004-10-03,3,23.206,BUF,,NWE,L 17-31,*,5,4,93,23.25,0,80.0%,18.60,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
4,2004,2004-10-10,4,23.213,BUF,@,NYJ,L 14-16,*,1,1,46,46.00,1,100.0%,46.00,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
5,2004,2004-10-17,5,23.220,BUF,,MIA,W 20-13,*,5,2,32,16.00,0,40.0%,6.40,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
6,2004,2004-10-24,6,23.227,BUF,@,BAL,L 6-20,*,4,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
7,2004,2004-10-31,7,23.234,BUF,,ARI,W 38-14,*,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
8,2004,2004-11-07,8,23.241,BUF,,NYJ,W 22-17,,6,5,64,12.80,1,83.3%,10.67,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
9,2004,2004-11-14,9,23.248,BUF,@,NWE,L 6-29,,3,1,15,15.00,0,33.3%,5.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
10,2004,2004-11-21,10,23.255,BUF,,STL,W 37-17,*,3,2,38,19.00,0,66.7%,12.67,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
11,2004,2004-11-28,11,23.262,BUF,@,SEA,W 38-9,*,9,6,70,11.67,1,66.7%,7.78,1,15,15.00,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
12,2004,2004-12-05,12,23.269,BUF,@,MIA,W 42-32,,5,4,110,27.50,2,80.0%,22.00,0,0,,0,0,0,,0,0,0,,,,,,,2,12,0.0,,
13,2004,2004-12-12,13,23.276,BUF,,CLE,W 37-7,*,4,4,33,8.25,1,100.0%,8.25,1,48,48.00,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
14,2004,2004-12-19,14,23.283,BUF,@,CIN,W 33-17,,7,5,101,20.20,1,71.4%,14.43,1,-14,-14.00,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
15,2004,2004-12-26,15,23.290,BUF,@,SFO,W 41-7,*,9,8,92,11.50,2,88.9%,10.22,1,21,21.00,0,0,0,,0,0,0,,,,,,,2,12,0.0,,
16,2004,2005-01-02,16,23.297,BUF,,PIT,L 24-29,,6,2,63,31.50,0,33.3%,10.50,1,15,15.00,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
17,2005,2005-09-11,1,24.184,BUF,,HOU,W 22-7,*,5,3,68,22.67,0,60.0%,13.60,1,-10,-10.00,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
18,2005,2005-09-18,2,24.191,BUF,@,TAM,L 3-19,*,5,1,12,12.00,0,20.0%,2.40,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
19,2005,2005-09-25,3,24.198,BUF,,ATL,L 16-24,,5,2,7,3.50,0,40.0%,1.40,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
20,2005,2005-10-02,4,24.205,BUF,@,NOR,L 7-19,*,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
