ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1951,1951-09-30,1,23.004,CHI,@,GNB,W 31-20,5,22,4.40,1,2,25,12.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
2,1951,1951-10-07,2,23.011,CHI,@,CRD,L 14-28,0,0,,0,1,8,8.00,1,0,0,,0,0,,,,,,
3,1951,1951-10-14,3,23.018,CHI,,NYY,W 24-21,2,50,25.00,0,0,0,,0,0,0,,0,0,,,,,,
4,1951,1951-10-21,4,23.025,CHI,,SFO,W 13-7,1,4,4.00,0,0,0,,0,0,0,,0,0,,,,,,
5,1951,1951-12-02,10,23.067,CHI,,RAM,L 17-42,1,10,10.00,0,0,0,,0,0,0,,0,0,,,,,,
6,1952,1952-09-28,1,24.002,CHI,@,GNB,W 24-14,9,10,1.11,0,5,79,15.80,0,0,0,,0,0,,,,,,
7,1952,1952-10-05,2,24.009,CHI,@,CRD,L 10-21,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
8,1952,1952-10-19,4,24.023,CHI,,SFO,L 16-40,3,4,1.33,0,0,0,,0,0,0,,0,0,,,,,,
9,1952,1952-10-26,5,24.030,CHI,@,RAM,L 7-31,6,-35,-5.83,0,2,62,31.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
10,1952,1952-11-16,8,24.051,CHI,,RAM,L 24-40,0,0,,0,1,0,0.00,0,0,0,,0,0,,,,,,
