ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1966,1966-10-30,8,22.211,DET,,GNB,L 7-31,1,13,13.00,0,0,0,0,0,,0
2,1966,1966-12-11,14,22.253,DET,,MIN,L 16-28,4,21,5.25,0,0,0,0,0,,0
3,1967,1967-09-17,1,23.168,DET,@,GNB,T 17-17,1,7,7.00,0,0,0,0,0,,0
4,1967,1967-09-24,2,23.175,DET,,CLE,W 31-14,5,88,17.60,0,0,0,0,0,,0
5,1967,1967-10-01,3,23.182,DET,@,STL,L 28-38,2,19,9.50,0,0,0,0,0,,0
6,1967,1967-10-08,4,23.189,DET,,GNB,L 17-27,1,34,34.00,1,1,6,0,0,,0
7,1967,1967-10-15,5,23.196,DET,@,CHI,L 3-14,1,14,14.00,0,0,0,0,0,,0
8,1967,1967-10-22,6,23.203,DET,,ATL,W 24-3,2,18,9.00,1,1,6,0,0,,0
9,1967,1967-11-12,9,23.224,DET,@,MIN,T 10-10,1,26,26.00,1,1,6,0,0,,0
10,1967,1967-11-19,10,23.231,DET,@,BAL,L 7-41,1,12,12.00,0,0,0,0,0,,0
11,1967,1967-11-23,11,23.235,DET,,RAM,L 7-31,2,16,8.00,0,0,0,0,0,,0
12,1967,1967-12-03,12,23.245,DET,,PIT,L 14-24,5,97,19.40,0,0,0,0,0,,0
13,1967,1967-12-10,13,23.252,DET,@,NYG,W 30-7,4,51,12.75,1,1,6,0,0,,0
14,1967,1967-12-17,14,23.259,DET,,MIN,W 14-3,1,15,15.00,0,0,0,0,0,,0
15,1968,1968-09-22,2,24.173,DET,,CHI,W 42-0,1,41,41.00,0,0,0,0,0,,0
16,1969,1969-09-21,1,25.172,DET,@,PIT,L 13-16,1,21,21.00,0,0,0,0,0,,0
17,1969,1969-10-12,4,25.193,DET,,GNB,L 17-28,1,3,3.00,0,0,0,0,0,,0
18,1969,1969-10-19,5,25.200,DET,,CHI,W 13-7,0,0,,0,0,0,5,184,36.80,0
19,1970,1970-10-11,4,26.192,WAS,,DET,W 31-10,,,,,,,,,,
20,1970,1970-10-19,5,26.200,WAS,@,OAK,L 20-34,,,,,,,,,,
21,1970,1970-10-25,6,26.206,WAS,,CIN,W 20-0,,,,,,,,,,
22,1970,1970-11-01,7,26.213,WAS,@,DEN,W 19-3,,,,,,,,,,
23,1970,1970-11-08,8,26.220,WAS,,MIN,L 10-19,,,,,,,,,,
24,1970,1970-11-29,11,26.241,WAS,,NYG,L 24-27,,,,,,,,,,
25,1970,1970-12-06,12,26.248,WAS,@,DAL,L 0-34,,,,,,,,,,
26,1970,1970-12-13,13,26.255,WAS,,PHI,W 24-6,,,,,,,,,,
27,1970,1970-12-20,14,26.262,WAS,,STL,W 28-27,,,,,,,,,,
28,1971,1971-09-26,2,27.177,WAS,@,NYG,W 30-3,,,,,,,,,,
29,1971,1971-10-03,3,27.184,WAS,@,DAL,W 20-16,,,,,,,,,,
30,1971,1971-10-10,4,27.191,WAS,,HOU,W 22-13,,,,,,,,,,
31,1971,1971-10-17,5,27.198,WAS,,STL,W 20-0,,,,,,,,,,
32,1971,1971-10-24,6,27.205,WAS,@,KAN,L 20-27,,,,,,,,,,
33,1971,1971-10-31,7,27.212,WAS,,NOR,W 24-14,,,,,,,,,,
34,1971,1971-11-07,8,27.219,WAS,,PHI,T 7-7,,,,,,,,,,
35,1971,1971-11-14,9,27.226,WAS,@,CHI,L 15-16,,,,,,,,,,
36,1971,1971-11-21,10,27.233,WAS,,DAL,L 0-13,,,,,,,,,,
37,1971,1971-11-28,11,27.240,WAS,@,PHI,W 20-13,,,,,,,,,,
38,1971,1971-12-05,12,27.247,WAS,,NYG,W 23-7,,,,,,,,,,
39,1971,1971-12-13,13,27.255,WAS,@,RAM,W 38-24,,,,,,,,,,
40,1971,1971-12-19,14,27.261,WAS,,CLE,L 13-20,,,,,,,,,,
41,1972,1972-09-18,1,28.169,WAS,@,MIN,W 24-21,,,,,,,,,,
42,1972,1972-09-24,2,28.175,WAS,,STL,W 24-10,,,,,,,,,,
43,1972,1972-10-01,3,28.182,WAS,@,NWE,L 23-24,,,,,,,,,,
44,1972,1972-10-08,4,28.189,WAS,,PHI,W 14-0,,,,,,,,,,
45,1972,1972-10-15,5,28.196,WAS,@,STL,W 33-3,,,,,,,,,,
46,1972,1972-10-22,6,28.203,WAS,,DAL,W 24-20,,,,,,,,,,
47,1973,1973-09-16,1,29.167,WAS,,SDG,W 38-0,,,,,,,,,,
48,1973,1973-09-23,2,29.174,WAS,@,STL,L 27-34,,,,,,,,,,
49,1973,1973-09-30,3,29.181,WAS,@,PHI,W 28-7,,,,,,,,,,
50,1973,1973-10-08,4,29.189,WAS,,DAL,W 14-7,,,,,,,,,,
51,1973,1973-10-14,5,29.195,WAS,@,NYG,W 21-3,,,,,,,,,,
52,1973,1973-10-21,6,29.202,WAS,,STL,W 31-13,,,,,,,,,,
53,1973,1973-10-28,7,29.209,WAS,@,NOR,L 3-19,,,,,,,,,,
54,1973,1973-11-05,8,29.217,WAS,@,PIT,L 16-21,,,,,,,,,,
