ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,1997,1997-08-31,1,22.297,CAR,,WAS,L 10-24,,,,,,,0.0%,,,,,,
2,1997,1997-09-14,3,22.311,CAR,@,SDG,W 26-7,,,,,,,0.0%,,,,,,
3,1997,1997-12-20,16,23.043,CAR,,STL,L 18-30,,,0,0,,0,0.0%,,0,0,,0,1.0
4,1998,1998-09-06,1,23.303,CAR,,ATL,L 14-19,,,,,,,0.0%,,,,,,
5,1998,1998-09-13,2,23.310,CAR,@,NOR,L 14-19,,,,,,,0.0%,,,,,,
6,1998,1998-09-27,3,23.324,CAR,,GNB,L 30-37,,0,0,0,,0,0.0%,,1,8,8.00,0,0.0
7,1998,1998-10-04,4,23.331,CAR,@,ATL,L 23-51,,,,,,,0.0%,,,,,,
8,1998,1998-10-11,5,23.338,CAR,@,DAL,L 20-27,,,,,,,0.0%,,,,,,
9,1998,1998-10-18,6,23.345,CAR,@,TAM,L 13-16,,,,,,,0.0%,,,,,,
10,1998,1998-10-25,7,23.352,CAR,,BUF,L 14-30,,,,,,,0.0%,,,,,,
11,1998,1998-11-01,8,23.359,CAR,,NOR,W 31-17,,,,,,,0.0%,,,,,,
12,1998,1998-11-08,9,24.001,CAR,@,SFO,L 23-25,,,,,,,0.0%,,,,,,
13,1998,1998-12-20,15,24.043,CAR,,STL,W 20-13,,,,,,,0.0%,,,,,,
14,1998,1998-12-27,16,24.050,CAR,@,IND,W 27-19,,,,,,,0.0%,,,,,,
15,1999,1999-09-12,1,24.309,CLE,,PIT,L 0-43,,0,0,0,,0,0.0%,,1,14,14.00,0,0.0
16,1999,1999-09-19,2,24.316,CLE,@,TEN,L 9-26,,0,,,,,0.0%,,,,,,
17,1999,1999-09-26,3,24.323,CLE,@,BAL,L 10-17,,0,,,,,0.0%,,,,,,
18,1999,1999-10-03,4,24.330,CLE,,NWE,L 7-19,,,,,,,0.0%,,,,,,
19,1999,1999-10-10,5,24.337,CLE,,CIN,L 17-18,,,,,,,0.0%,,,,,,
20,1999,1999-10-17,6,24.344,CLE,@,JAX,L 7-24,,,,,,,0.0%,,,,,,
21,1999,1999-10-24,7,24.351,CLE,@,STL,L 3-34,,,,,,,0.0%,,,,,,
22,1999,1999-10-31,8,24.358,CLE,@,NOR,W 21-16,,0,,,,,0.0%,,,,,,
23,1999,1999-11-07,9,25.000,CLE,,BAL,L 9-41,,0,,,,,0.0%,,,,,,
24,1999,1999-11-14,10,25.007,CLE,@,PIT,W 16-15,,,,,,,0.0%,,0,0,,0,
25,1999,1999-11-21,11,25.014,CLE,,CAR,L 17-31,,0,,,,,0.0%,,,,,,
26,1999,1999-11-28,12,25.021,CLE,,TEN,L 21-33,,0,0,0,,0,0.0%,,2,24,12.00,0,0.0
27,1999,1999-12-05,13,25.028,CLE,@,SDG,L 10-23,,,,,,,0.0%,,,,,,
28,1999,1999-12-12,14,25.035,CLE,@,CIN,L 28-44,,0,0,0,,0,0.0%,,1,11,11.00,0,0.0
29,1999,1999-12-19,15,25.042,CLE,,JAX,L 14-24,,,,,,,0.0%,,,,,,
30,1999,1999-12-26,16,25.049,CLE,,IND,L 28-29,,0,0,0,,0,0.0%,,1,-6,-6.00,0,0.0
31,2000,2000-09-03,1,25.301,CLE,,JAX,L 7-27,,,,,,,0.0%,,,,,,
32,2000,2000-09-10,2,25.308,CLE,@,CIN,W 24-7,,0,,,,,0.0%,,,,,,
33,2000,2000-09-17,3,25.315,CLE,,PIT,W 23-20,,,,,,,0.0%,,,,,,
34,2000,2000-09-24,4,25.322,CLE,@,OAK,L 10-36,,,,,,,0.0%,,,,,,
35,2000,2000-10-01,5,25.329,CLE,,BAL,L 0-12,,1,,,,,0.0%,,,,,,
36,2000,2000-10-08,6,25.336,CLE,@,ARI,L 21-29,,0,0,0,,0,0.0%,,1,8,8.00,0,0.0
37,2000,2000-10-15,7,25.343,CLE,@,DEN,L 10-44,,0,0,0,,0,0.0%,,1,11,11.00,0,0.0
38,2000,2000-10-22,8,25.350,CLE,@,PIT,L 0-22,,,,,,,0.0%,,,,,,
39,2000,2000-10-29,9,25.357,CLE,,CIN,L 3-12,,0,0,0,,0,0.0%,,1,12,12.00,0,0.0
40,2000,2000-11-05,10,25.364,CLE,,NYG,L 3-24,,0,,,,,0.0%,,,,,,
41,2000,2000-11-12,11,26.005,CLE,,NWE,W 19-11,,0,,,,,0.0%,,,,,,
42,2000,2000-11-19,12,26.012,CLE,@,TEN,L 10-24,,,,,,,0.0%,,,,,,
43,2000,2000-11-26,13,26.019,CLE,@,BAL,L 7-44,,0,,,,,0.0%,,,,,,
44,2000,2000-12-03,14,26.026,CLE,@,JAX,L 0-48,,,,,,,0.0%,,,,,,
45,2000,2000-12-10,15,26.033,CLE,,PHI,L 24-35,,1,1,22,22.00,0,100.0%,22.00,0,0,,0,0.0
46,2000,2000-12-17,16,26.040,CLE,,TEN,L 0-24,,0,0,0,,0,0.0%,,1,15,15.00,0,0.0
47,2001,2001-09-09,1,26.306,CLE,,SEA,L 6-9,,0,,,,,0.0%,,,,,,
48,2001,2001-09-23,2,26.320,CLE,,DET,W 24-14,,,,,,,0.0%,,,,,,
49,2001,2001-09-30,3,26.327,CLE,@,JAX,W 23-14,,0,,,,,0.0%,,,,,,
50,2001,2001-10-07,4,26.334,CLE,,SDG,W 20-16,,0,,,,,0.0%,,,,,,
51,2001,2001-10-14,5,26.341,CLE,@,CIN,L 14-24,,,,,,,0.0%,,,,,,
52,2001,2001-10-21,6,26.348,CLE,,BAL,W 24-14,,,,,,,0.0%,,,,,,
53,2001,2001-11-04,7,26.362,CLE,@,CHI,L 21-27,,,,,,,0.0%,,,,,,
54,2001,2001-11-11,8,27.004,CLE,,PIT,L 12-15,,0,,,,,0.0%,,,,,,
55,2001,2001-11-18,9,27.011,CLE,@,BAL,W 27-17,,0,,,,,0.0%,,,,,,
56,2001,2001-11-25,10,27.018,CLE,,CIN,W 18-0,,,,,,,0.0%,,,,,,
57,2001,2001-12-23,14,27.046,CLE,@,GNB,L 7-30,,0,,,,,0.0%,,,,,,
58,2001,2001-12-30,15,27.053,CLE,@,TEN,W 41-38,,,,,,,0.0%,,,,,,
59,2001,2002-01-06,16,27.060,CLE,@,PIT,L 7-28,,0,,,,,0.0%,,,,,,
