ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2001,2001-09-30,3,22.361,DAL,@,PHI,L 18-40,,1,,,,,0.0%,,,,,,,,,
2,2001,2001-10-07,4,23.003,DAL,@,OAK,L 21-28,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0
3,2001,2001-10-28,6,23.024,DAL,,ARI,W 17-3,,0,0,0,,0,0.0%,,2,30,15.00,0,2,15,7.50,0
4,2001,2001-11-04,7,23.031,DAL,@,NYG,L 24-27,,,,,,,0.0%,,,,,,,,,
5,2001,2001-11-11,8,23.038,DAL,@,ATL,L 13-20,,,,,,,0.0%,,,,,,,,,
6,2001,2001-11-18,9,23.045,DAL,,PHI,L 3-36,,,,,,,0.0%,,,,,,,,,
7,2001,2001-11-22,10,23.049,DAL,,DEN,L 24-26,,1,,,,,0.0%,,,,,,,,,
8,2001,2001-12-02,11,23.059,DAL,@,WAS,W 20-14,,,,,,,0.0%,,,,,,,,,
9,2001,2001-12-09,12,23.066,DAL,,NYG,W 20-13,,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,,0
10,2001,2001-12-16,13,23.073,DAL,@,SEA,L 3-29,,,,,,,0.0%,,,,,,,,,
11,2001,2001-12-23,14,23.080,DAL,@,ARI,L 10-17,,0,,,,,0.0%,,,,,,,,,
12,2001,2001-12-30,15,23.087,DAL,,SFO,W 27-21,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0
13,2001,2002-01-06,16,23.094,DAL,@,DET,L 10-15,,,,,,,0.0%,,,,,,,,,
14,2002,2002-09-08,1,23.339,DAL,@,HOU,L 10-19,,3,0,0,,0,0.0%,0.00,4,63,15.75,0,4,2,0.50,0
15,2002,2002-09-15,2,23.346,DAL,,TEN,W 21-13,,5,3,37,12.33,0,60.0%,7.40,3,64,21.33,0,0,0,,0
16,2002,2002-09-22,3,23.353,DAL,@,PHI,L 13-44,,,,,,,0.0%,,,,,,,,,
17,2002,2002-09-29,4,23.360,DAL,@,STL,W 13-10,,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0
18,2002,2002-10-06,5,24.002,DAL,,NYG,L 17-21,,2,,,,,0.0%,,,,,,,,,
19,2002,2002-10-13,6,24.009,DAL,,CAR,W 14-13,,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,0
20,2002,2002-10-20,7,24.016,DAL,@,ARI,L 6-9,,1,,,,,0.0%,,,,,,,,,
21,2002,2002-10-27,8,24.023,DAL,,SEA,L 14-17,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0
22,2002,2002-11-03,9,24.030,DAL,@,DET,L 7-9,,3,2,42,21.00,0,66.7%,14.00,0,0,,0,1,1,1.00,0
23,2002,2002-11-17,10,24.044,DAL,@,IND,L 3-20,,,,,,,0.0%,,,,,,,,,
24,2002,2002-11-24,11,24.051,DAL,,JAX,W 21-19,,3,2,65,32.50,0,66.7%,21.67,0,0,,0,0,0,,0
25,2002,2002-11-28,12,24.055,DAL,,WAS,W 27-20,,2,,,,,0.0%,,,,,,,,,
26,2002,2002-12-08,13,24.065,DAL,,SFO,L 27-31,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0
27,2002,2002-12-15,14,24.072,DAL,@,NYG,L 7-37,,4,1,23,23.00,0,25.0%,5.75,0,0,,0,0,0,,0
28,2002,2002-12-21,15,24.078,DAL,,PHI,L 3-27,,,,,,,0.0%,,,,,,,,,
29,2002,2002-12-29,16,24.086,DAL,@,WAS,L 14-20,,2,,,,,0.0%,,,,,,,,,
