ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1974,1974-09-15,1,22.067,SDG,@,HOU,L 14-21,,,
2,1974,1974-09-22,2,22.074,SDG,@,CIN,W 20-17,1,23,0
3,1974,1974-09-29,3,22.081,SDG,,MIA,L 21-28,,,
4,1974,1974-10-06,4,22.088,SDG,,PHI,L 7-13,,,
5,1974,1974-10-13,5,22.095,SDG,,OAK,L 10-14,,,
6,1974,1974-10-20,6,22.102,SDG,@,DEN,L 7-27,,,
7,1974,1974-10-27,7,22.109,SDG,,KAN,L 14-24,,,
8,1974,1974-11-03,8,22.116,SDG,,CLE,W 36-35,,,
9,1974,1974-11-10,9,22.123,SDG,@,KAN,W 14-7,,,
10,1974,1974-11-17,10,22.130,SDG,@,OAK,L 10-17,,,
11,1974,1974-11-24,11,22.137,SDG,@,GNB,L 0-34,,,
12,1974,1974-12-01,12,22.144,SDG,@,NYJ,L 14-27,,,
13,1974,1974-12-15,14,22.158,SDG,,DEN,W 17-0,,,
