ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1982,1982-09-19,2,23.029,CHI,,NOR,L 0-10,,12,22,54.55,131,0,1,53.4,4,33,5.95,3.91,1,4,4.00,0,,0,0,,0,,,0,0,0,0,,0
2,1982,1982-11-21,3,23.092,CHI,,DET,W 20-17,*,16,27,59.26,233,2,3,72.5,3,12,8.63,5.11,3,14,4.67,0,,0,0,,0,,,0,0,0,0,,0
3,1982,1982-11-28,4,23.099,CHI,@,MIN,L 7-35,*,12,20,60.00,139,1,1,76.9,7,56,6.95,5.70,3,17,5.67,0,,0,0,,0,,,0,0,0,0,,0
4,1982,1982-12-05,5,23.106,CHI,,NWE,W 26-13,*,15,21,71.43,192,2,1,111.6,3,16,9.14,8.90,2,7,3.50,1,,0,0,,0,,,1,6,0,0,,0
5,1982,1982-12-12,6,23.113,CHI,@,SEA,L 14-20,*,19,29,65.52,199,0,1,70.9,3,25,6.86,5.31,3,16,5.33,0,,0,0,,0,,,0,0,0,0,,0
6,1982,1982-12-19,7,23.120,CHI,,STL,L 7-10,*,16,33,48.48,160,1,0,72.8,1,5,4.85,5.45,5,24,4.80,0,,0,0,,0,,,0,0,0,0,,0
7,1982,1982-12-26,8,23.127,CHI,@,RAM,W 34-26,*,18,28,64.29,280,2,0,121.1,2,17,10.00,11.43,7,23,3.29,0,,0,0,,0,,,0,0,0,0,,0
8,1982,1983-01-02,9,23.134,CHI,@,TAM,L 23-26,*,12,30,40.00,167,1,0,69.7,4,32,5.57,6.23,0,0,,0,,0,0,,0,,,0,0,1,59,59.00,0
9,1983,1983-09-04,1,24.014,CHI,,ATL,L 17-20,*,20,29,68.97,254,1,1,93.2,4,22,8.76,7.90,2,3,1.50,0,,0,0,,0,,,0,0,0,0,,0
10,1983,1983-09-11,2,24.021,CHI,,TAM,W 17-10,*,16,24,66.67,286,1,2,86.5,4,23,11.92,9.00,2,15,7.50,0,,0,0,,0,,,0,0,1,36,36.00,0
11,1983,1983-09-18,3,24.028,CHI,@,NOR,L 31-34,*,11,17,64.71,172,1,1,93.3,5,41,10.12,8.65,1,9,9.00,0,,0,0,,0,,,0,0,0,0,,0
12,1983,1983-09-25,4,24.035,CHI,@,BAL,L 19-22,*,8,20,40.00,89,0,0,54.0,3,15,4.45,4.45,2,21,10.50,0,,0,0,,0,,,0,0,0,0,,0
13,1983,1983-10-02,5,24.042,CHI,,DEN,W 31-14,*,15,23,65.22,174,1,3,62.9,0,0,7.57,2.57,2,28,14.00,0,,0,0,,0,,,0,0,0,0,,0
14,1983,1983-10-09,6,24.049,CHI,,MIN,L 14-23,*,4,11,36.36,35,0,2,6.1,2,13,3.18,-5.00,2,6,3.00,0,,0,0,,0,,,0,0,0,0,,0
15,1983,1983-10-30,9,24.070,CHI,,DET,L 17-38,,11,16,68.75,126,1,0,113.0,0,0,7.88,9.13,3,22,7.33,0,,0,0,,0,,,0,0,0,0,,0
16,1983,1983-11-06,10,24.077,CHI,@,RAM,L 14-21,*,19,29,65.52,178,0,1,67.9,4,26,6.14,4.59,5,29,5.80,1,,1,18,18.00,1,,,2,12,0,0,,0
17,1983,1983-11-13,11,24.084,CHI,,PHI,W 17-14,*,10,16,62.50,140,2,0,130.2,4,28,8.75,11.25,5,43,8.60,0,,0,0,,0,,,0,0,0,0,,0
18,1983,1983-11-20,12,24.091,CHI,@,TAM,W 27-0,*,8,12,66.67,79,0,0,85.1,1,6,6.58,6.58,7,22,3.14,0,,0,0,,0,,,0,0,0,0,,0
19,1983,1983-11-27,13,24.098,CHI,,SFO,W 13-3,*,11,19,57.89,159,1,0,102.7,4,26,8.37,9.42,9,74,8.22,0,,0,0,,0,,,0,0,0,0,,0
