ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2012,2012-09-09,1,23.355,IND,@,CHI,L 21-41,*,10,6,82,13.67,0,60.0%,8.20,0,0,,0,,0,0,0.0,0,0,0,0,0
2,2012,2012-09-16,2,23.362,IND,,MIN,W 23-20,*,4,2,16,8.00,0,50.0%,4.00,0,0,,0,,0,0,0.0,0,0,0,0,0
3,2012,2012-09-23,3,24.003,IND,,JAX,L 17-22,*,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0
4,2012,2012-10-07,4,24.017,IND,,GNB,W 30-27,*,9,5,41,8.20,0,55.6%,4.56,0,0,,0,,0,0,0.0,0,0,0,0,0
5,2012,2012-10-14,5,24.024,IND,@,NYJ,L 9-35,*,6,4,42,10.50,0,66.7%,7.00,0,0,,0,,0,0,0.0,0,0,0,0,0
6,2012,2012-10-21,6,24.031,IND,,CLE,W 17-13,,2,2,17,8.50,0,100.0%,8.50,0,0,,0,,0,0,0.0,0,0,0,0,0
7,2012,2012-10-28,7,24.038,IND,@,TEN,W 19-13,*,3,2,24,12.00,0,66.7%,8.00,0,0,,0,,0,0,0.0,0,0,0,0,0
8,2012,2012-12-02,12,24.073,IND,@,DET,W 35-33,*,2,1,26,26.00,1,50.0%,13.00,0,0,,0,,1,6,0.0,0,0,0,0,0
9,2012,2012-12-09,13,24.080,IND,,TEN,W 27-23,*,4,1,9,9.00,0,25.0%,2.25,0,0,,0,,0,0,0.0,0,0,0,0,0
10,2012,2012-12-16,14,24.087,IND,@,HOU,L 17-29,*,1,1,21,21.00,0,100.0%,21.00,0,0,,0,,0,0,0.0,0,0,0,0,0
11,2012,2012-12-23,15,24.094,IND,@,KAN,W 20-13,,3,1,2,2.00,0,33.3%,0.67,0,0,,0,,0,0,0.0,0,0,0,0,0
12,2012,2012-12-30,16,24.101,IND,,HOU,W 28-16,*,2,1,1,1.00,1,50.0%,0.50,0,0,,0,,1,6,0.0,0,0,0,0,0
13,2013,2013-09-08,1,24.353,IND,,OAK,W 21-17,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,0,0
14,2013,2013-09-15,2,24.360,IND,,MIA,L 20-24,*,8,4,69,17.25,1,50.0%,8.63,0,0,,0,,1,6,0.0,0,0,0,0,0
15,2013,2013-09-22,3,25.002,IND,@,SFO,W 27-7,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,,0,0,0.0,0,0,0,0,0
16,2013,2013-09-29,4,25.009,IND,@,JAX,W 37-3,,7,5,77,15.40,1,71.4%,11.00,0,0,,0,,1,6,0.0,0,0,0,0,0
17,2013,2013-10-06,5,25.016,IND,,SEA,W 34-28,*,3,2,15,7.50,0,66.7%,5.00,0,0,,0,,0,0,0.0,0,0,0,0,0
18,2013,2013-10-14,6,25.024,IND,@,SDG,L 9-19,*,6,3,16,5.33,0,50.0%,2.67,0,0,,0,,0,0,0.0,1,0,0,0,0
19,2013,2013-10-20,7,25.030,IND,,DEN,W 39-33,*,5,5,38,7.60,1,100.0%,7.60,0,0,,0,,1,6,0.0,0,0,0,0,0
20,2013,2013-11-03,8,25.044,IND,@,HOU,W 27-24,*,5,3,64,21.33,0,60.0%,12.80,0,0,,0,1,0,2,0.0,0,0,0,0,0
21,2013,2013-11-10,9,25.051,IND,,STL,L 8-38,*,10,4,33,8.25,0,40.0%,3.30,0,0,,0,1,0,2,0.0,0,0,0,0,0
22,2013,2013-11-14,10,25.055,IND,@,TEN,W 30-27,,10,8,107,13.38,0,80.0%,10.70,0,0,,0,,0,0,0.0,0,0,0,0,0
23,2013,2013-11-24,11,25.065,IND,@,ARI,L 11-40,*,8,4,55,13.75,1,50.0%,6.88,0,0,,0,,1,6,0.0,0,0,0,0,0
24,2013,2013-12-01,12,25.072,IND,,TEN,W 22-14,*,5,3,50,16.67,0,60.0%,10.00,0,0,,0,,0,0,0.0,1,0,0,0,0
25,2013,2013-12-08,13,25.079,IND,@,CIN,L 28-42,*,9,5,31,6.20,0,55.6%,3.44,0,0,,0,,0,0,0.0,0,0,0,0,0
26,2013,2013-12-15,14,25.086,IND,,HOU,W 25-3,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0
27,2013,2013-12-22,15,25.093,IND,@,KAN,W 23-7,*,3,2,8,4.00,0,66.7%,2.67,0,0,,0,,0,0,0.0,0,0,0,0,0
28,2013,2013-12-29,16,25.100,IND,,JAX,W 30-10,*,4,1,25,25.00,0,25.0%,6.25,0,0,,0,,0,0,0.0,0,0,0,0,0
29,2014,2014-09-07,1,25.352,IND,@,DEN,L 24-31,*,8,3,21,7.00,0,37.5%,2.63,0,0,,0,,0,0,0.0,0,0,0,0,0
30,2014,2014-09-15,2,25.360,IND,,PHI,L 27-30,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,,0,0,0.0,0,0,0,0,0
31,2014,2014-09-21,3,26.001,IND,@,JAX,W 44-17,*,7,4,49,12.25,1,57.1%,7.00,0,0,,0,,1,6,0.0,0,0,0,0,0
32,2014,2014-09-28,4,26.008,IND,,TEN,W 41-17,,3,2,26,13.00,1,66.7%,8.67,0,0,,0,,1,6,0.0,0,1,0,0,0
33,2014,2014-10-05,5,26.015,IND,,BAL,W 20-13,*,2,1,30,30.00,0,50.0%,15.00,0,0,,0,,0,0,0.0,0,0,0,0,0
34,2014,2014-10-09,6,26.019,IND,@,HOU,W 33-28,,4,2,11,5.50,1,50.0%,2.75,0,0,,0,,1,6,0.0,0,0,0,0,0
35,2014,2014-10-19,7,26.029,IND,,CIN,W 27-0,*,5,4,64,16.00,0,80.0%,12.80,0,0,,0,,0,0,0.0,0,0,0,0,0
36,2014,2014-10-26,8,26.036,IND,@,PIT,L 34-51,*,4,1,4,4.00,0,25.0%,1.00,0,0,,0,,0,0,0.0,0,0,0,0,0
37,2014,2014-11-03,9,26.044,IND,@,NYG,W 40-24,,11,4,77,19.25,1,36.4%,7.00,0,0,,0,,1,6,0.0,0,0,0,0,0
38,2014,2014-11-16,10,26.057,IND,,NWE,L 20-42,*,7,7,144,20.57,0,100.0%,20.57,0,0,,0,,0,0,0.0,1,0,0,0,0
39,2014,2014-11-23,11,26.064,IND,,JAX,W 23-3,*,4,2,28,14.00,0,50.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,0,0
40,2014,2014-11-30,12,26.071,IND,,WAS,W 49-27,*,7,4,127,31.75,2,57.1%,18.14,0,0,,0,,2,12,0.0,0,0,0,0,0
41,2014,2014-12-07,13,26.078,IND,@,CLE,W 25-24,*,10,5,56,11.20,0,50.0%,5.60,0,0,,0,,0,0,0.0,1,0,0,0,0
42,2014,2014-12-14,14,26.085,IND,,HOU,W 17-10,*,5,2,32,16.00,0,40.0%,6.40,0,0,,0,,0,0,0.0,0,0,0,0,0
43,2014,2014-12-21,15,26.092,IND,@,DAL,L 7-42,*,7,4,36,9.00,0,57.1%,5.14,0,0,,0,,0,0,0.0,0,0,0,0,0
44,2014,2014-12-28,16,26.099,IND,@,TEN,W 27-10,*,7,5,56,11.20,2,71.4%,8.00,0,0,,0,,2,12,0.0,0,0,0,0,0
45,2015,2015-09-13,1,26.358,IND,@,BUF,L 14-27,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,1,0,2,0.0,0,0,0,0,0
46,2015,2015-09-21,2,27.001,IND,,NYJ,L 7-20,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0
47,2015,2015-09-27,3,27.007,IND,@,TEN,W 35-33,*,6,4,51,12.75,0,66.7%,8.50,0,0,,0,,0,0,0.0,0,0,0,0,0
48,2015,2015-10-04,4,27.014,IND,,JAX,W 16-13,*,12,9,83,9.22,1,75.0%,6.92,0,0,,0,,1,6,0.0,0,0,0,0,0
49,2015,2015-10-08,5,27.018,IND,@,HOU,W 27-20,,3,2,9,4.50,0,66.7%,3.00,0,0,,0,,0,0,0.0,0,0,0,0,0
50,2015,2015-10-18,6,27.028,IND,,NWE,L 27-34,*,6,3,20,6.67,0,50.0%,3.33,0,0,,0,,0,0,0.0,0,0,0,0,0
51,2015,2015-10-25,7,27.035,IND,,NOR,L 21-27,,5,3,47,15.67,0,60.0%,9.40,0,0,,0,,0,0,0.0,0,0,0,0,0
52,2015,2015-11-02,8,27.043,IND,@,CAR,L 26-29,*,11,7,43,6.14,1,63.6%,3.91,0,0,,0,,1,6,0.0,0,0,0,0,0
53,2015,2015-11-08,9,27.049,IND,,DEN,W 27-24,*,6,4,22,5.50,0,66.7%,3.67,0,0,,0,,0,0,0.0,0,0,0,0,0
54,2015,2015-11-22,10,27.063,IND,@,ATL,W 24-21,*,5,3,45,15.00,0,60.0%,9.00,0,0,,0,,0,0,0.0,0,0,1,2,0
55,2015,2015-11-29,11,27.070,IND,,TAM,W 25-12,*,3,3,27,9.00,0,100.0%,9.00,0,0,,0,,0,0,0.0,0,0,0,0,0
56,2015,2015-12-06,12,27.077,IND,@,PIT,L 10-45,,8,4,20,5.00,0,50.0%,2.50,0,0,,0,,0,0,0.0,0,0,0,0,0
57,2015,2015-12-13,13,27.084,IND,@,JAX,L 16-51,*,4,1,6,6.00,0,25.0%,1.50,0,0,,0,,0,0,0.0,0,0,0,0,0
58,2015,2015-12-20,14,27.091,IND,,HOU,L 10-16,*,3,1,12,12.00,0,33.3%,4.00,0,0,,0,,0,0,0.0,0,0,0,0,0
59,2015,2015-12-27,15,27.098,IND,@,MIA,W 18-12,*,4,2,13,6.50,0,50.0%,3.25,0,0,,0,,0,0,0.0,0,0,0,0,0
60,2015,2016-01-03,16,27.105,IND,,TEN,W 30-24,,7,7,88,12.57,1,100.0%,12.57,0,0,,0,,1,6,0.0,0,0,0,0,0
61,2016,2016-09-11,1,27.357,NOR,,OAK,L 34-35,*,4,1,6,6.00,0,25.0%,1.50,0,0,,0,,0,0,0.0,0,0,0,,0
62,2016,2016-09-18,2,27.364,NOR,@,NYG,L 13-16,,8,2,29,14.50,0,25.0%,3.63,0,0,,0,,0,0,0.0,0,0,0,,0
63,2016,2016-09-26,3,28.006,NOR,,ATL,L 32-45,,11,7,109,15.57,1,63.6%,9.91,0,0,,0,,1,6,0.0,0,0,0,,0
64,2016,2016-10-02,4,28.012,NOR,@,SDG,W 35-34,,5,3,19,6.33,0,60.0%,3.80,0,0,,0,,0,0,0.0,0,0,0,,0
65,2016,2016-10-16,5,28.026,NOR,,CAR,W 41-38,*,7,6,74,12.33,1,85.7%,10.57,1,2,2.00,1,,2,12,0.0,0,0,0,,0
66,2016,2016-10-23,6,28.033,NOR,@,KAN,L 21-27,,2,2,44,22.00,0,100.0%,22.00,0,0,,0,,0,0,0.0,0,0,0,,0
67,2016,2016-10-30,7,28.040,NOR,,SEA,W 25-20,*,4,4,36,9.00,0,100.0%,9.00,0,0,,0,,0,0,0.0,0,0,0,,0
68,2016,2016-11-06,8,28.047,NOR,@,SFO,W 41-23,,6,3,42,14.00,0,50.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,,0
69,2016,2016-11-13,9,28.054,NOR,,DEN,L 23-25,*,2,2,26,13.00,0,100.0%,13.00,0,0,,0,,0,0,0.0,0,0,0,,0
70,2016,2016-11-17,10,28.058,NOR,@,CAR,L 20-23,*,5,3,17,5.67,1,60.0%,3.40,0,0,,0,,1,6,0.0,0,0,0,,0
71,2016,2016-11-27,11,28.068,NOR,,LAR,W 49-21,*,4,4,59,14.75,0,100.0%,14.75,0,0,,0,,0,0,0.0,0,0,0,,0
72,2016,2016-12-04,12,28.075,NOR,,DET,L 13-28,,7,5,86,17.20,0,71.4%,12.29,0,0,,0,,0,0,0.0,0,0,0,,0
73,2016,2016-12-11,13,28.082,NOR,@,TAM,L 11-16,*,3,1,6,6.00,0,33.3%,2.00,0,0,,0,,0,0,0.0,0,0,0,,0
74,2016,2016-12-18,14,28.089,NOR,@,ARI,W 48-41,,3,2,10,5.00,0,66.7%,3.33,0,0,,0,,0,0,0.0,0,0,0,,0
75,2016,2016-12-24,15,28.095,NOR,,TAM,W 31-24,,3,2,30,15.00,0,66.7%,10.00,0,0,,0,,0,0,0.0,0,0,0,,0
76,2016,2017-01-01,16,28.103,NOR,@,ATL,L 32-38,*,7,3,38,12.67,0,42.9%,5.43,0,0,,0,,0,0,0.0,0,0,0,,0
77,2017,2017-09-11,1,28.356,NOR,@,MIN,L 19-29,,6,5,54,10.80,1,83.3%,9.00,0,0,,0,,1,6,0.0,0,0,0,0,0
78,2017,2017-09-17,2,28.362,NOR,,NWE,L 20-36,,4,3,33,11.00,1,75.0%,8.25,0,0,,0,,1,6,0.0,0,0,0,0,0
79,2017,2017-09-24,3,29.004,NOR,@,CAR,W 34-13,,1,1,21,21.00,0,100.0%,21.00,0,0,,0,,0,0,0.0,0,0,0,0,0
80,2017,2017-10-01,4,29.011,NOR,@,MIA,W 20-0,,4,2,21,10.50,0,50.0%,5.25,0,0,,0,,0,0,0.0,0,0,0,0,0
81,2017,2017-10-15,5,29.025,NOR,,DET,W 52-38,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0
82,2017,2017-10-22,6,29.032,NOR,@,GNB,W 26-17,,3,2,22,11.00,0,66.7%,7.33,0,0,,0,,0,0,0.0,0,0,0,0,0
