ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,def_int,def_int_yds,def_int_td
1,1996,1996-10-06,6,23.294,NOR,,JAX,W 17-13,,,,
2,1996,1996-10-13,7,23.301,NOR,,CHI,W 27-24,,,,
3,1996,1996-10-20,8,23.308,NOR,@,CAR,L 7-19,,,,
4,1996,1996-11-03,9,23.322,NOR,,SFO,L 17-24,,,,
5,1996,1996-11-10,10,23.329,NOR,,HOU,L 14-31,,,,
6,1996,1996-11-17,11,23.336,NOR,@,ATL,L 15-17,,,,
7,1996,1996-11-24,12,23.343,NOR,@,TAM,L 7-13,,,,
8,1996,1996-12-01,13,23.350,NOR,,STL,L 10-26,,,,
9,1996,1996-12-08,14,23.357,NOR,,ATL,L 15-31,,,,
10,1996,1996-12-15,15,23.364,NOR,@,NYG,W 17-3,,,,
11,1996,1996-12-21,16,24.004,NOR,@,STL,L 13-14,,,,
12,1997,1997-08-31,1,24.257,NOR,@,STL,L 24-38,,,,
13,1997,1997-09-07,2,24.264,NOR,,SDG,L 6-20,,,,
14,1997,1997-09-14,3,24.271,NOR,@,SFO,L 7-33,,,,
15,1997,1997-09-21,4,24.278,NOR,,DET,W 35-17,,,,
16,1997,1997-09-28,5,24.285,NOR,@,NYG,L 9-14,,,,
17,1997,1997-10-05,6,24.292,NOR,@,CHI,W 20-17,,,,
18,1997,1997-10-12,7,24.299,NOR,,ATL,L 17-23,,,,
19,1997,1997-10-19,8,24.306,NOR,,CAR,L 0-13,,,,
20,1997,1997-10-26,9,24.313,NOR,,SFO,L 0-23,,,,
21,1997,1997-11-09,10,24.327,NOR,@,OAK,W 13-10,,,,
22,1997,1997-11-16,11,24.334,NOR,,SEA,W 20-17,,,,
23,1999,1999-09-12,1,26.269,TAM,,NYG,L 13-17,,,,
24,1999,1999-09-19,2,26.276,TAM,@,PHI,W 19-5,,,,
25,1999,1999-09-26,3,26.283,TAM,,DEN,W 13-10,,,,
26,1999,1999-10-24,6,26.311,TAM,,CHI,W 6-3,,,,
27,1999,1999-10-31,7,26.318,TAM,@,DET,L 3-20,,,,
28,1999,1999-11-07,8,26.325,TAM,@,NOR,W 31-16,,,,
29,1999,1999-11-14,9,26.332,TAM,,KAN,W 17-10,,,,
30,1999,1999-11-21,10,26.339,TAM,,ATL,W 19-10,,,,
31,1999,1999-11-28,11,26.346,TAM,@,SEA,W 16-3,,,,
32,1999,1999-12-06,12,26.354,TAM,,MIN,W 24-17,,,,
33,1999,1999-12-12,13,26.360,TAM,,DET,W 23-16,,,,
34,1999,1999-12-19,14,27.002,TAM,@,OAK,L 0-45,,,,
35,1999,1999-12-26,15,27.009,TAM,,GNB,W 29-10,,,,
36,1999,2000-01-02,16,27.016,TAM,@,CHI,W 20-6,,,,
37,2000,2000-09-03,1,27.261,TAM,@,NWE,W 21-16,,,,
38,2000,2000-09-10,2,27.268,TAM,,CHI,W 41-0,,,,
39,2000,2000-09-17,3,27.275,TAM,@,DET,W 31-10,,,,
40,2000,2000-09-24,4,27.282,TAM,,NYJ,L 17-21,,,,
41,2000,2000-10-01,5,27.289,TAM,@,WAS,L 17-20,,,,
42,2000,2000-10-09,6,27.297,TAM,@,MIN,L 23-30,,,,
43,2000,2000-10-19,7,27.307,TAM,,DET,L 14-28,,,,
44,2000,2000-10-29,8,27.317,TAM,,MIN,W 41-13,,,,
45,2000,2000-11-05,9,27.324,TAM,@,ATL,W 27-14,,,,
46,2000,2000-11-12,10,27.331,TAM,,GNB,W 20-15,,,,
47,2000,2000-11-19,11,27.338,TAM,@,CHI,L 10-13,,,,
48,2000,2000-11-26,12,27.345,TAM,,BUF,W 31-17,,,,
49,2000,2000-12-03,13,27.352,TAM,,DAL,W 27-7,,,,
50,2000,2000-12-10,14,27.359,TAM,@,MIA,W 16-13,,,,
51,2000,2000-12-18,15,28.001,TAM,,STL,W 38-35,,,,
52,2000,2000-12-24,16,28.007,TAM,@,GNB,L 14-17,,,,
53,2001,2001-09-23,2,28.280,STL,@,SFO,W 30-26,,,,
54,2001,2001-09-30,3,28.287,STL,,MIA,W 42-10,*,,,
55,2001,2001-10-08,4,28.295,STL,@,DET,W 35-0,*,,,
56,2001,2001-10-14,5,28.301,STL,,NYG,W 15-14,*,,,
57,2001,2001-10-21,6,28.308,STL,@,NYJ,W 34-14,*,,,
58,2001,2001-10-28,7,28.315,STL,,NOR,L 31-34,*,,,
59,2001,2001-12-09,12,28.357,STL,,SFO,W 27-14,,,,
60,2001,2001-12-17,13,29.000,STL,@,NOR,W 34-21,,,,
61,2001,2001-12-23,14,29.006,STL,@,CAR,W 38-32,,,,
62,2001,2001-12-30,15,29.013,STL,,IND,W 42-17,*,,,
63,2001,2002-01-06,16,29.020,STL,,ATL,W 31-13,*,,,
64,2002,2002-09-08,1,29.265,STL,@,DEN,L 16-23,*,1,29,0
65,2002,2002-09-15,2,29.272,STL,,NYG,L 21-26,,,,
66,2002,2002-09-23,3,29.280,STL,@,TAM,L 14-26,*,,,
67,2002,2002-09-29,4,29.286,STL,,DAL,L 10-13,*,,,
68,2002,2002-10-06,5,29.293,STL,@,SFO,L 13-37,*,,,
69,2002,2002-10-13,6,29.300,STL,,OAK,W 28-13,,,,
70,2002,2002-10-20,7,29.307,STL,,SEA,W 37-20,,,,
71,2002,2002-11-03,8,29.321,STL,@,ARI,W 27-14,*,,,
72,2002,2002-11-10,9,29.328,STL,,SDG,W 28-24,*,,,
73,2002,2002-11-18,10,29.336,STL,,CHI,W 21-16,,,,
74,2002,2002-11-24,11,29.342,STL,@,WAS,L 17-20,,,,
75,2002,2002-12-01,12,29.349,STL,@,PHI,L 3-10,,,,
76,2002,2002-12-08,13,29.356,STL,@,KAN,L 10-49,,,,
77,2002,2002-12-15,14,29.363,STL,,ARI,W 30-28,*,,,
78,2002,2002-12-22,15,30.005,STL,@,SEA,L 10-30,,,,
79,2002,2002-12-30,16,30.013,STL,,SFO,W 31-20,,,,
80,2003,2003-09-14,2,30.271,NWE,@,PHI,W 31-10,,,,
81,2003,2003-09-21,3,30.278,NWE,,NYJ,W 23-16,,,,
82,2003,2003-09-28,4,30.285,NWE,@,WAS,L 17-20,,,,
83,2003,2003-10-05,5,30.292,NWE,,TEN,W 38-30,,,,
84,2003,2003-10-12,6,30.299,NWE,,NYG,W 17-6,,,,
85,2003,2003-10-19,7,30.306,NWE,@,MIA,W 19-13,,,,
86,2003,2003-10-26,8,30.313,NWE,,CLE,W 9-3,,,,
87,2003,2003-11-03,9,30.321,NWE,@,DEN,W 30-26,,,,
88,2003,2003-11-16,10,30.334,NWE,,DAL,W 12-0,,,,
89,2003,2003-11-23,11,30.341,NWE,@,HOU,W 23-20,,,,
90,2003,2003-11-30,12,30.348,NWE,@,IND,W 38-34,,,,
91,2003,2003-12-07,13,30.355,NWE,,MIA,W 12-0,,,,
92,2003,2003-12-14,14,30.362,NWE,,JAX,W 27-13,,,,
93,2003,2003-12-20,15,31.003,NWE,@,NYJ,W 21-16,,,,
94,2003,2003-12-27,16,31.010,NWE,,BUF,W 31-0,,,,
95,2004,2004-09-09,1,31.267,NWE,,IND,W 27-24,,,,
96,2004,2004-09-19,2,31.277,NWE,@,ARI,W 23-12,,,,
97,2004,2004-10-03,3,31.291,NWE,@,BUF,W 31-17,,,,
98,2004,2004-10-10,4,31.298,NWE,,MIA,W 24-10,,,,
99,2004,2004-10-17,5,31.305,NWE,,SEA,W 30-20,,,,
100,2004,2004-10-24,6,31.312,NWE,,NYJ,W 13-7,,,,
101,2004,2004-10-31,7,31.319,NWE,@,PIT,L 20-34,,,,
102,2004,2004-11-07,8,31.326,NWE,@,STL,W 40-22,,,,
103,2004,2004-11-14,9,31.333,NWE,,BUF,W 29-6,,,,
104,2004,2004-11-22,10,31.341,NWE,@,KAN,W 27-19,,,,
105,2004,2004-11-28,11,31.347,NWE,,BAL,W 24-3,,,,
106,2004,2004-12-05,12,31.354,NWE,@,CLE,W 42-15,,,,
107,2004,2004-12-12,13,31.361,NWE,,CIN,W 35-28,,,,
108,2004,2004-12-20,14,32.003,NWE,@,MIA,L 28-29,,,,
109,2004,2004-12-26,15,32.009,NWE,@,NYJ,W 23-7,*,,,
110,2004,2005-01-02,16,32.016,NWE,,SFO,W 21-7,*,,,
111,2005,2005-09-08,1,32.265,NWE,,OAK,W 30-20,,,,
112,2005,2005-09-18,2,32.275,NWE,@,CAR,L 17-27,,,,
113,2005,2005-09-25,3,32.282,NWE,@,PIT,W 23-20,,,,
114,2005,2005-10-02,4,32.289,NWE,,SDG,L 17-41,,,,
115,2005,2005-10-09,5,32.296,NWE,@,ATL,W 31-28,,,,
116,2005,2005-10-16,6,32.303,NWE,@,DEN,L 20-28,,,,
117,2005,2005-10-30,7,32.317,NWE,,BUF,W 21-16,,,,
118,2005,2005-11-07,8,32.325,NWE,,IND,L 21-40,,,,
119,2005,2005-11-13,9,32.331,NWE,@,MIA,W 23-16,,,,
120,2005,2005-11-20,10,32.338,NWE,,NOR,W 24-17,,,,
121,2005,2005-11-27,11,32.345,NWE,@,KAN,L 16-26,,,,
122,2005,2005-12-04,12,32.352,NWE,,NYJ,W 16-3,,,,
123,2005,2005-12-11,13,32.359,NWE,@,BUF,W 35-7,,,,
124,2005,2005-12-17,14,33.000,NWE,,TAM,W 28-0,,,,
125,2005,2005-12-26,15,33.009,NWE,@,NYJ,W 31-21,,,,
126,2005,2006-01-01,16,33.015,NWE,,MIA,L 26-28,,,,
127,2006,2006-09-10,1,33.267,NWE,,BUF,W 19-17,,,,
128,2006,2006-09-17,2,33.274,NWE,@,NYJ,W 24-17,,,,
129,2006,2006-09-24,3,33.281,NWE,,DEN,L 7-17,,,,
130,2006,2006-10-01,4,33.288,NWE,@,CIN,W 38-13,,,,
131,2006,2006-10-08,5,33.295,NWE,,MIA,W 20-10,,,,
132,2006,2006-10-22,6,33.309,NWE,@,BUF,W 28-6,,,,
133,2006,2006-10-30,7,33.317,NWE,@,MIN,W 31-7,,,,
134,2006,2006-11-05,8,33.323,NWE,,IND,L 20-27,,,,
135,2006,2006-11-12,9,33.330,NWE,,NYJ,L 14-17,,,,
136,2006,2006-11-19,10,33.337,NWE,@,GNB,W 35-0,,,,
137,2006,2006-11-26,11,33.344,NWE,,CHI,W 17-13,,,,
138,2006,2006-12-03,12,33.351,NWE,,DET,W 28-21,,,,
