ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1993,1993-09-05,1,22.345,CIN,@,CLE,L 14-27,,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,,,,
2,1993,1993-09-12,2,22.352,CIN,,IND,L 6-9,,0,0,,0,0,0,,0,0,,,,,,2,3,66.7,0,6,0,0,,0
3,1993,1993-09-19,3,22.359,CIN,@,PIT,L 7-34,,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1,0,0,,0
4,1993,1993-09-26,4,23.001,CIN,,SEA,L 10-19,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,3,33.3,0,4,0,0,,0
5,1993,1993-10-10,5,23.015,CIN,@,KAN,L 15-17,,0,0,,0,0,0,,0,0,,,,,,5,5,100.0,0,15,0,0,,0
6,1993,1993-10-17,6,23.022,CIN,,CLE,L 17-28,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0,0,,0
7,1993,1993-10-24,7,23.029,CIN,@,HOU,L 12-28,,0,0,,0,0,0,,0,0,,,,1,0.0,2,2,100.0,0,6,0,0,,0
8,1993,1993-11-07,8,23.043,CIN,,PIT,L 16-24,,0,0,,0,0,0,,0,0,,,1,2,50.0,1,1,100.0,0,4,0,0,,0
9,1993,1993-11-14,9,23.050,CIN,,HOU,L 3-38,,0,0,,0,0,0,,0,0,,,,,,1,1,100.0,0,3,0,0,,0
10,1993,1993-11-21,10,23.057,CIN,@,NYJ,L 12-17,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0,0,,0
11,1993,1993-11-28,11,23.064,CIN,,RAI,W 16-10,,0,0,,0,0,0,,0,0,,,1,1,100.0,3,4,75.0,0,10,0,0,,0
12,1993,1993-12-05,12,23.071,CIN,@,SFO,L 8-21,,0,0,,0,0,0,,0,0,,,,,,2,2,100.0,0,6,0,0,,0
13,1993,1993-12-19,14,23.085,CIN,,RAM,W 15-3,,0,0,,0,0,0,,0,0,,,,1,0.0,3,5,60.0,0,9,0,0,,0
14,1993,1993-12-26,15,23.092,CIN,,ATL,W 21-17,,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,,,,
15,1993,1994-01-02,16,23.099,CIN,@,NOR,L 13-20,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7,0,0,,0
16,1994,1994-09-04,1,23.344,CIN,,CLE,L 20-28,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8,0,0,,0
17,1994,1994-09-11,2,23.351,CIN,@,SDG,L 10-27,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0,0,,0
18,1994,1994-09-18,3,23.358,CIN,,NWE,L 28-31,,0,0,,0,0,,,,,,,2,3,66.7,,,,0,2,,,,
19,1994,1994-09-25,4,24.000,CIN,@,HOU,L 13-20,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7,0,0,,0
20,1994,1994-10-02,5,24.007,CIN,,MIA,L 7-23,,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1,0,0,,0
21,1994,1994-10-16,6,24.021,CIN,@,PIT,L 10-14,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0,0,,0
22,1994,1994-10-23,7,24.028,CIN,@,CLE,L 13-37,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,3,66.7,0,7,0,0,,0
23,1994,1994-10-30,8,24.035,CIN,,DAL,L 20-23,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8,0,0,,0
24,1994,1994-11-06,9,24.042,CIN,@,SEA,W 20-17,,0,0,,0,0,0,,0,0,,,,,,6,6,100.0,0,18,0,0,,0
25,1994,1994-11-13,10,24.049,CIN,,HOU,W 34-31,,0,0,,0,0,0,,0,0,,,4,4,100.0,2,2,100.0,0,10,0,0,,0
26,1994,1994-11-20,11,24.056,CIN,,IND,L 13-17,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,3,66.7,0,7,0,0,,0
27,1994,1994-11-27,12,24.063,CIN,@,DEN,L 13-15,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,3,66.7,0,7,0,0,,0
28,1994,1994-12-04,13,24.070,CIN,,PIT,L 15-38,,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,,,,
29,1994,1994-12-11,14,24.077,CIN,@,NYG,L 20-27,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,3,66.7,0,8,0,0,,0
30,1994,1994-12-18,15,24.084,CIN,@,ARI,L 7-28,,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,,,,
31,1994,1994-12-24,16,24.090,CIN,,PHI,W 33-30,,0,0,,0,0,0,,0,0,,,3,3,100.0,4,4,100.0,0,15,0,0,,0
32,1995,1995-09-03,1,24.343,CIN,@,IND,W 24-21,,0,0,,0,0,0,,,,,,1,1,100.0,5,5,100.0,0,16,2,52,26.00,0
33,1995,1995-09-10,2,24.350,CIN,,JAX,W 24-17,,0,0,,0,0,0,,,,,,3,3,100.0,1,2,50.0,0,6,0,0,,0
34,1995,1995-09-17,3,24.357,CIN,@,SEA,L 21-24,,0,0,,0,0,0,,,,,,3,3,100.0,,2,0.0,0,3,0,0,,0
35,1995,1995-09-24,4,24.364,CIN,,HOU,L 28-38,,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4,,,,
36,1995,1995-10-01,5,25.006,CIN,,MIA,L 23-26,,0,0,,0,0,0,,,,,,2,2,100.0,1,2,50.0,0,5,0,0,,0
37,1995,1995-10-08,6,25.013,CIN,@,TAM,L 16-19,,0,0,,0,0,0,,,,,,1,1,100.0,3,3,100.0,0,10,0,0,,0
38,1995,1995-10-19,7,25.024,CIN,@,PIT,W 27-9,,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0,0,,0
39,1995,1995-10-29,8,25.034,CIN,,CLE,L 26-29,,0,0,,0,0,0,,,,,,2,2,100.0,2,3,66.7,0,8,0,0,,0
40,1995,1995-11-05,9,25.041,CIN,,OAK,L 17-20,,0,0,,0,0,0,,,,,,,,,3,3,100.0,0,9,0,0,,0
41,1995,1995-11-12,10,25.048,CIN,@,HOU,W 32-25,,0,0,,0,0,0,,,,,,3,3,100.0,3,3,100.0,0,12,0,0,,0
42,1995,1995-11-19,11,25.055,CIN,,PIT,L 31-49,,0,0,,0,0,0,,,,,,4,4,100.0,1,1,100.0,0,7,0,0,,0
43,1995,1995-11-26,12,25.062,CIN,@,JAX,W 17-13,,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0,0,,0
44,1995,1995-12-03,13,25.069,CIN,@,GNB,L 10-24,,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0,0,,0
45,1995,1995-12-10,14,25.076,CIN,,CHI,W 16-10,,0,0,,0,0,0,,,,,,1,1,100.0,3,4,75.0,0,10,0,0,,0
46,1995,1995-12-17,15,25.083,CIN,@,CLE,L 10-26,,0,0,,0,0,0,,,,,,1,1,100.0,1,2,50.0,0,4,0,0,,0
47,1995,1995-12-24,16,25.090,CIN,,MIN,W 27-24,,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0,0,,0
48,1996,1996-09-01,1,25.342,CIN,@,STL,L 16-26,,0,0,,0,0,0,,,,,,1,1,100.0,3,3,100.0,0,10,0,0,,0
49,1996,1996-09-08,2,25.349,CIN,@,SDG,L 14-27,,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,,,,
50,1996,1996-09-15,3,25.356,CIN,,NOR,W 30-15,,0,0,,0,0,0,,,,,,3,3,100.0,3,4,75.0,0,12,0,0,,0
51,1996,1996-09-29,4,26.004,CIN,,DEN,L 10-14,,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0,0,,0
52,1996,1996-10-06,5,26.011,CIN,,HOU,L 27-30,,0,0,,0,0,0,,,,,,3,3,100.0,2,3,66.7,0,9,0,0,,0
53,1996,1996-10-13,6,26.018,CIN,@,PIT,L 10-20,,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0,0,,0
54,1996,1996-10-20,7,26.025,CIN,@,SFO,L 21-28,,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,,,,
55,1996,1996-10-27,8,26.032,CIN,,JAX,W 28-21,,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4,,,,
56,1996,1996-11-03,9,26.039,CIN,@,BAL,W 24-21,,0,0,,0,0,0,,,,,,1,1,100.0,3,3,100.0,0,10,0,0,,0
57,1996,1996-11-10,10,26.046,CIN,,PIT,W 34-24,,0,0,,0,0,0,,,,,,4,4,100.0,2,2,100.0,0,10,0,0,,0
58,1996,1996-11-17,11,26.053,CIN,@,BUF,L 17-31,,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0,0,,0
59,1996,1996-11-24,12,26.060,CIN,,ATL,W 41-31,,0,0,,0,0,0,,,,,,5,5,100.0,2,2,100.0,0,11,0,0,,0
60,1996,1996-12-01,13,26.067,CIN,@,JAX,L 27-30,,0,0,,0,0,0,,,,,,3,3,100.0,2,3,66.7,0,9,0,0,,0
61,1996,1996-12-08,14,26.074,CIN,,BAL,W 21-14,,0,0,,0,0,0,,,,,,1,1,100.0,2,3,66.7,0,7,0,0,,0
62,1996,1996-12-15,15,26.081,CIN,@,HOU,W 21-13,,0,0,,0,0,0,,,,,,3,3,100.0,,1,0.0,0,3,1,4,4.00,0
63,1996,1996-12-22,16,26.088,CIN,,IND,W 31-24,,0,0,,0,0,0,,,,,,4,4,100.0,1,1,100.0,0,7,0,0,,0
64,1997,1997-08-31,1,26.340,CIN,,ARI,W 24-21,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0,0,,0
65,1997,1997-09-07,2,26.347,CIN,@,BAL,L 10-23,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,4,25.0,0,4,0,0,,0
66,1997,1997-09-21,3,26.361,CIN,@,DEN,L 20-38,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,3,66.7,0,8,0,0,,0
