ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2006,2006-09-10,1,23.092,BUF,@,NWE,L 17-19,,,,,,,,,,,,,
2,2006,2006-09-17,2,23.099,BUF,@,MIA,W 16-6,,,,,,,,,,,,,
3,2006,2006-09-24,3,23.106,BUF,,NYJ,L 20-28,,,,,,,,,,,,,
4,2006,2006-10-01,4,23.113,BUF,,MIN,W 17-12,,,,,,,,,,,,,
5,2006,2006-10-08,5,23.120,BUF,@,CHI,L 7-40,,,,,,,,,,,,,
6,2006,2006-10-15,6,23.127,BUF,@,DET,L 17-20,*,,,,,,,,,,,,
7,2006,2006-10-22,7,23.134,BUF,,NWE,L 6-28,*,,,,,,,,,,,,
8,2006,2006-11-05,8,23.148,BUF,,GNB,W 24-10,*,,,,,,,,,,,,
9,2006,2006-11-12,9,23.155,BUF,@,IND,L 16-17,*,,,,,,,,,,,,
10,2006,2006-11-19,10,23.162,BUF,@,HOU,W 24-21,*,,,,,,,,,,,,
11,2006,2006-11-26,11,23.169,BUF,,JAX,W 27-24,*,,,,,,,,,,,,
12,2006,2006-12-03,12,23.176,BUF,,SDG,L 21-24,*,,,,,,,,,,,,
13,2006,2006-12-10,13,23.183,BUF,@,NYJ,W 31-13,*,,,,,,,,,,,,
14,2006,2006-12-17,14,23.190,BUF,,MIA,W 21-0,*,,,,,,,,,,,,
15,2006,2006-12-24,15,23.197,BUF,,TEN,L 29-30,*,,,,,,,,,,,,
16,2006,2006-12-31,16,23.204,BUF,@,BAL,L 7-19,*,,,,,,,,,,,,
17,2007,2007-09-09,1,24.091,BUF,,DEN,L 14-15,*,,,,,,,,,,,,
18,2007,2007-09-16,2,24.098,BUF,@,PIT,L 3-26,*,,,,,,,,,,,,
19,2007,2007-09-23,3,24.105,BUF,@,NWE,L 7-38,*,,,,,,,,,,,,
20,2007,2007-09-30,4,24.112,BUF,,NYJ,W 17-14,*,,,,,,,,,,,,
21,2007,2007-10-08,5,24.120,BUF,,DAL,L 24-25,*,,,,,,,,,,,,
22,2007,2007-10-21,6,24.133,BUF,,BAL,W 19-14,*,,,,,,,,,,,,
23,2007,2007-10-28,7,24.140,BUF,@,NYJ,W 13-3,*,0,0,,0,0,0,1.0,,,0,0,0
24,2007,2007-11-04,8,24.147,BUF,,CIN,W 33-21,*,,,,,,,,,,,,
25,2007,2007-11-11,9,24.154,BUF,@,MIA,W 13-10,*,,,,,,,,,,,,
26,2007,2007-11-18,10,24.161,BUF,,NWE,L 10-56,*,,,,,,,,,,,,
27,2007,2007-11-25,11,24.168,BUF,@,JAX,L 14-36,*,,,,,,,,,,,,
28,2007,2007-12-02,12,24.175,BUF,@,WAS,W 17-16,*,0,0,,0,0,0,0.5,,,0,0,0
29,2007,2007-12-09,13,24.182,BUF,,MIA,W 38-17,*,0,0,,0,0,0,0.5,,,0,0,0
30,2007,2007-12-16,14,24.189,BUF,@,CLE,L 0-8,*,,,,,,,,,,,,
31,2007,2007-12-23,15,24.196,BUF,,NYG,L 21-38,*,,,,,,,,,,,,
32,2007,2007-12-30,16,24.203,BUF,@,PHI,L 9-17,*,,,,,,,,,,,,
33,2008,2008-09-07,1,25.089,BUF,,SEA,W 34-10,*,0,0,,0,0,0,0.0,0,1,0,0,0
34,2008,2008-09-14,2,25.096,BUF,@,JAX,W 20-16,*,0,0,,0,0,0,1.0,4,1,0,0,0
35,2008,2008-09-21,3,25.103,BUF,,OAK,W 24-23,*,0,0,,0,0,0,0.0,3,1,0,0,0
36,2008,2008-09-28,4,25.110,BUF,@,STL,W 31-14,*,0,0,,0,0,0,0.0,2,0,0,0,0
37,2008,2008-10-05,5,25.117,BUF,@,ARI,L 17-41,*,0,0,,0,0,0,0.0,1,3,0,0,0
38,2008,2008-10-19,6,25.131,BUF,,SDG,W 23-14,*,0,0,,0,0,0,0.0,1,2,0,0,0
39,2008,2008-10-26,7,25.138,BUF,@,MIA,L 16-25,*,0,0,,0,0,0,0.0,2,0,0,0,0
40,2008,2008-11-02,8,25.145,BUF,,NYJ,L 17-26,*,0,0,,0,0,0,0.0,2,1,0,0,0
41,2008,2008-11-09,9,25.152,BUF,@,NWE,L 10-20,*,0,0,,0,0,0,0.0,2,3,0,0,0
42,2008,2008-11-17,10,25.160,BUF,,CLE,L 27-29,*,0,0,,0,0,0,0.0,3,2,0,0,0
43,2008,2008-11-23,11,25.166,BUF,@,KAN,W 54-31,*,,,,,,,,,,,,
44,2008,2008-11-30,12,25.173,BUF,,SFO,L 3-10,*,0,0,,0,0,0,0.0,3,2,0,0,0
45,2008,2008-12-07,13,25.180,BUF,,MIA,L 3-16,*,0,0,,0,0,0,0.0,2,1,0,0,0
46,2008,2008-12-14,14,25.187,BUF,@,NYJ,L 27-31,*,0,0,,0,0,0,0.0,3,1,0,0,0
47,2008,2008-12-21,15,25.194,BUF,@,DEN,W 30-23,*,0,0,,0,0,0,0.0,3,0,0,0,0
48,2008,2008-12-28,16,25.201,BUF,,NWE,L 0-13,*,0,0,,0,0,0,1.0,6,0,0,0,0
49,2009,2009-09-14,1,26.096,BUF,@,NWE,L 24-25,*,0,0,,0,0,0,0.0,0,5,0,0,0
50,2009,2009-09-20,2,26.102,BUF,,TAM,W 33-20,*,0,0,,0,0,0,0.0,1,0,0,0,0
51,2009,2009-09-27,3,26.109,BUF,,NOR,L 7-27,*,0,0,,0,0,0,0.0,4,3,0,0,0
52,2009,2009-10-04,4,26.116,BUF,@,MIA,L 10-38,*,0,0,,0,0,0,0.0,3,1,0,0,0
53,2009,2009-10-11,5,26.123,BUF,,CLE,L 3-6,*,0,0,,0,0,0,1.0,7,3,0,0,0
54,2009,2009-10-18,6,26.130,BUF,@,NYJ,W 16-13,*,0,0,,0,0,0,0.0,1,2,0,0,0
55,2009,2009-10-25,7,26.137,BUF,@,CAR,W 20-9,*,,,,,,,,,,,,
56,2009,2009-11-22,10,26.165,BUF,@,JAX,L 15-18,*,0,0,,0,0,0,0.0,4,1,0,0,0
57,2009,2009-11-29,11,26.172,BUF,,MIA,W 31-14,*,0,0,,0,0,0,0.0,5,3,0,0,0
58,2009,2009-12-03,12,26.176,BUF,,NYJ,L 13-19,*,0,0,,0,0,0,2.0,4,4,0,0,0
59,2009,2009-12-13,13,26.186,BUF,@,KAN,W 16-10,*,0,0,,0,0,0,0.0,3,1,0,0,0
60,2009,2009-12-20,14,26.193,BUF,,NWE,L 10-17,*,0,0,,0,0,0,0.0,3,0,0,0,0
61,2009,2009-12-27,15,26.200,BUF,@,ATL,L 3-31,*,0,0,,0,0,0,0.0,1,0,0,0,0
62,2009,2010-01-03,16,26.207,BUF,,IND,W 30-7,*,0,0,,0,0,0,1.0,5,2,0,0,0
63,2010,2010-09-12,1,27.094,BUF,,MIA,L 10-15,*,0,0,,0,0,0,0.0,3,4,0,0,0
64,2010,2010-09-19,2,27.101,BUF,@,GNB,L 7-34,*,0,0,,0,0,0,0.0,3,0,0,0,0
65,2010,2010-09-26,3,27.108,BUF,@,NWE,L 30-38,*,0,0,,0,0,0,1.0,3,1,0,0,0
66,2010,2010-10-03,4,27.115,BUF,,NYJ,L 14-38,*,0,0,,0,0,0,0.0,5,0,0,0,0
67,2010,2010-10-10,5,27.122,BUF,,JAX,L 26-36,*,0,0,,0,0,0,0.0,4,2,0,0,0
68,2010,2010-10-24,6,27.136,BUF,@,BAL,L 34-37,*,0,0,,0,0,0,0.0,3,0,0,0,0
69,2010,2010-10-31,7,27.143,BUF,@,KAN,L 10-13,*,0,0,,0,0,0,2.0,6,3,0,0,0
70,2010,2010-11-07,8,27.150,BUF,,CHI,L 19-22,*,0,0,,0,0,0,0.0,4,2,0,0,0
71,2010,2010-11-14,9,27.157,BUF,,DET,W 14-12,*,0,0,,0,0,0,0.0,3,1,0,0,0
72,2010,2010-11-21,10,27.164,BUF,@,CIN,W 49-31,*,0,0,,0,0,0,0.0,1,2,0,0,0
73,2010,2010-11-28,11,27.171,BUF,,PIT,L 16-19,*,0,0,,0,0,0,2.0,8,2,0,0,0
74,2010,2010-12-05,12,27.178,BUF,@,MIN,L 14-38,*,0,0,,0,0,0,0.0,1,3,0,0,0
75,2010,2010-12-12,13,27.185,BUF,,CLE,W 13-6,*,0,0,,0,0,0,0.0,0,1,0,0,0
