ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,21.205,HOU,,WAS,W 17-6,*,0,0,0.0,1,0
2,2014,2014-10-26,8,21.254,HOU,@,TEN,W 30-16,,0,0,0.0,1,0
3,2014,2014-11-16,10,21.275,HOU,@,CLE,W 23-7,,0,0,0.0,2,0
4,2014,2014-11-23,11,21.282,HOU,,CIN,L 13-22,*,0,0,0.0,1,2
5,2015,2015-09-13,1,22.211,HOU,,KAN,L 20-27,,0,0,0.0,3,1
6,2015,2015-09-20,2,22.218,HOU,@,CAR,L 17-24,*,0,0,0.0,2,0
7,2015,2015-09-27,3,22.225,HOU,,TAM,W 19-9,*,0,0,0.0,1,1
8,2015,2015-10-04,4,22.232,HOU,@,ATL,L 21-48,*,0,0,0.0,1,1
9,2015,2015-10-08,5,22.236,HOU,,IND,L 20-27,*,0,0,0.0,2,0
10,2015,2015-10-25,7,22.253,HOU,@,MIA,L 26-44,*,0,0,1.0,7,1
11,2015,2015-11-01,8,22.260,HOU,,TEN,W 20-6,*,0,0,0.0,0,1
12,2015,2015-11-22,10,22.281,HOU,,NYJ,W 24-17,,0,0,0.5,1,1
13,2015,2015-11-29,11,22.288,HOU,,NOR,W 24-6,,0,0,0.0,1,1
14,2015,2015-12-06,12,22.295,HOU,@,BUF,L 21-30,,0,0,1.0,3,0
15,2015,2015-12-13,13,22.302,HOU,,NWE,L 6-27,*,0,0,2.0,4,3
16,2015,2015-12-20,14,22.309,HOU,@,IND,W 16-10,*,0,0,0.0,1,3
17,2015,2015-12-27,15,22.316,HOU,@,TEN,W 34-6,*,0,0,0.0,1,0
18,2016,2016-09-11,1,23.210,HOU,,CHI,W 23-14,*,0,0,1.0,3,1
19,2016,2016-09-18,2,23.217,HOU,,KAN,W 19-12,*,0,0,0.0,3,0
20,2016,2016-09-22,3,23.221,HOU,@,NWE,L 0-27,*,0,0,0.0,1,1
21,2016,2016-10-02,4,23.231,HOU,,TEN,W 27-20,*,0,0,1.0,2,0
22,2016,2016-10-09,5,23.238,HOU,@,MIN,L 13-31,*,0,0,0.0,7,1
23,2016,2016-10-16,6,23.245,HOU,,IND,W 26-23,*,0,0,0.0,3,1
24,2016,2016-10-24,7,23.253,HOU,@,DEN,L 9-27,*,0,0,0.0,3,1
25,2016,2016-10-30,8,23.259,HOU,,DET,W 20-13,*,0,0,1.0,2,1
26,2016,2016-11-13,9,23.273,HOU,@,JAX,W 24-21,*,0,0,0.0,4,0
27,2016,2016-11-21,10,23.281,HOU,@,OAK,L 20-27,*,0,0,0.0,5,0
28,2016,2016-11-27,11,23.287,HOU,,SDG,L 13-21,*,0,0,0.0,1,1
29,2016,2016-12-11,13,23.301,HOU,@,IND,W 22-17,*,0,0,1.0,1,2
30,2016,2016-12-18,14,23.308,HOU,,JAX,W 21-20,*,0,0,1.0,4,1
31,2016,2016-12-24,15,23.314,HOU,,CIN,W 12-10,*,0,0,1.0,1,2
32,2017,2017-09-10,1,24.208,HOU,,JAX,L 7-29,*,0,0,0.0,1,0
33,2017,2017-09-14,2,24.212,HOU,@,CIN,W 13-9,*,0,0,0.0,3,1
34,2017,2017-09-24,3,24.222,HOU,@,NWE,L 33-36,*,1,6,2.0,6,0
35,2017,2017-10-01,4,24.229,HOU,,TEN,W 57-14,*,0,0,1.0,2,0
36,2017,2017-10-08,5,24.236,HOU,,KAN,L 34-42,*,0,0,0.0,1,2
37,2017,2017-10-15,6,24.243,HOU,,CLE,W 33-17,*,0,0,0.0,2,1
38,2017,2017-10-29,7,24.257,HOU,@,SEA,L 38-41,*,0,0,1.0,4,0
39,2017,2017-11-05,8,24.264,HOU,,IND,L 14-20,*,0,0,1.0,3,1
40,2017,2017-11-12,9,24.271,HOU,@,LAR,L 7-33,*,0,0,1.0,3,0
41,2017,2017-11-19,10,24.278,HOU,,ARI,W 31-21,*,0,0,2.0,3,2
42,2017,2017-11-27,11,24.286,HOU,@,BAL,L 16-23,*,0,0,1.0,2,0
43,2017,2017-12-03,12,24.292,HOU,@,TEN,L 13-24,*,0,0,0.0,1,2
44,2017,2017-12-10,13,24.299,HOU,,SFO,L 16-26,*,0,0,0.0,3,3
45,2017,2017-12-17,14,24.306,HOU,@,JAX,L 7-45,*,0,0,0.0,2,2
46,2017,2017-12-25,15,24.314,HOU,,PIT,L 6-34,*,0,0,0.0,2,0
47,2017,2017-12-31,16,24.320,HOU,@,IND,L 13-22,*,0,0,0.5,3,4
48,2018,2018-09-09,1,25.207,HOU,@,NWE,L 20-27,*,0,0,0.0,1,1
49,2018,2018-09-23,3,25.221,HOU,,NYG,L 22-27,*,0,0,0.0,3,0
