ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1974,1974-09-15,1,22.007,DET,@,CHI,L 9-17,,,,,,,,,,,,,
2,1974,1974-09-22,2,22.014,DET,,MIN,L 6-7,,,,,,,,,,,,,
3,1974,1974-09-29,3,22.021,DET,@,GNB,L 19-21,,,,,,,,,,,,,
4,1974,1974-10-06,4,22.028,DET,@,RAM,L 13-16,,,,,,,,,,,,,
5,1974,1974-10-14,5,22.036,DET,,SFO,W 17-13,,,,,,,,,,,,,
6,1974,1974-10-20,6,22.042,DET,@,MIN,W 20-16,,,,,,,,,,,,,
7,1974,1974-10-27,7,22.049,DET,,GNB,W 19-17,,,,,,,,,,,,,
8,1974,1974-11-03,8,22.056,DET,,NOR,W 19-14,,,,,,,,,,,,,
9,1974,1974-11-10,9,22.063,DET,@,OAK,L 13-35,,,,,,,,,,,,,
10,1974,1974-11-17,10,22.070,DET,,NYG,W 20-19,,,,,,,,,,,,,
11,1974,1974-11-24,11,22.077,DET,,CHI,W 34-17,,,,,,,,,,,,,
12,1974,1974-11-28,12,22.081,DET,,DEN,L 27-31,,,,,,,,,,,,,
13,1974,1974-12-08,13,22.091,DET,@,CIN,W 23-19,,,,,,,,,,,,,
14,1974,1974-12-15,14,22.098,DET,@,PHI,L 17-28,,,,,,,,,,,,,
15,1975,1975-09-21,1,23.013,DET,@,GNB,W 30-16,,,,,,,,,,,,,
16,1975,1975-09-28,2,23.020,DET,@,ATL,W 17-14,,,,,,,,,,,,,
17,1975,1975-10-06,3,23.028,DET,,DAL,L 10-36,,,,,,,,,,,,,
18,1975,1975-10-12,4,23.034,DET,,CHI,W 27-7,,,,,,,,,,,,,
19,1975,1975-10-19,5,23.041,DET,@,MIN,L 19-25,,,,,,,,,,,,,
20,1975,1975-10-26,6,23.048,DET,@,HOU,L 8-24,,,,,,,,,,,,,
21,1975,1975-11-02,7,23.055,DET,@,SFO,W 28-17,,,,,,,,,,,,,
22,1975,1975-11-09,8,23.062,DET,,CLE,W 21-10,,,,,,,,,,,,,
23,1975,1975-11-16,9,23.069,DET,,GNB,W 13-10,,,,,,,,,,,,,
24,1975,1975-11-23,10,23.076,DET,@,KAN,L 21-24,,,,,,,,,,,,,
25,1975,1975-11-27,11,23.080,DET,,RAM,L 0-20,,,,,,,,,,,,,
26,1975,1975-12-07,12,23.090,DET,@,CHI,L 21-25,,,,,,,,,,,,,
27,1975,1975-12-14,13,23.097,DET,,MIN,W 17-10,,,,,,,,,,,,,
28,1975,1975-12-21,14,23.104,DET,,STL,L 13-24,,,,,,,,,,,,,
29,1976,1976-09-12,1,24.004,DET,@,CHI,L 3-10,,,,,,,,,,,,,
30,1976,1976-09-19,2,24.011,DET,,ATL,W 24-10,0,0,,0,1,32,32.00,1,1,6,0,0,0
31,1976,1976-09-26,3,24.018,DET,,MIN,L 9-10,,,,,,,,,,,,,
32,1976,1976-10-03,4,24.025,DET,@,GNB,L 14-24,,,,,,,,,,,,,
33,1976,1976-10-10,5,24.032,DET,,NWE,W 30-10,0,0,,0,0,0,,0,0,0,1,16,0
