ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,22.210,WAS,@,NOR,W 40-32,*,19,26,73.08,320,2,0,139.9,2,14,12.31,13.85,9,42,4.67,0,,0,0,0.0,0,0
2,2012,2012-09-16,2,22.217,WAS,@,STL,L 28-31,*,20,29,68.97,206,1,1,86.3,1,9,7.10,6.24,11,82,7.45,2,,2,12,0.0,0,0
3,2012,2012-09-23,3,22.224,WAS,,CIN,L 31-38,*,21,34,61.76,221,1,0,90.4,5,42,6.50,7.09,13,74,5.69,1,,1,6,0.0,0,0
4,2012,2012-09-30,4,22.231,WAS,@,TAM,W 24-22,*,26,35,74.29,323,0,0,102.4,1,2,9.23,9.23,8,36,4.50,1,,1,6,0.0,0,0
5,2012,2012-10-07,5,22.238,WAS,,ATL,L 17-24,*,10,15,66.67,91,0,0,82.9,2,9,6.07,6.07,1,7,7.00,0,,0,0,0.0,0,0
6,2012,2012-10-14,6,22.245,WAS,,MIN,W 38-26,*,17,22,77.27,182,1,1,97.2,1,4,8.27,7.14,13,138,10.62,2,,2,12,0.0,0,0
7,2012,2012-10-21,7,22.252,WAS,@,NYG,L 23-27,*,20,28,71.43,258,2,1,108.9,3,26,9.21,9.04,9,89,9.89,0,,0,0,0.0,0,0
8,2012,2012-10-28,8,22.259,WAS,@,PIT,L 12-27,*,16,34,47.06,177,1,0,72.8,1,8,5.21,5.79,6,8,1.33,0,,0,0,0.0,0,0
9,2012,2012-11-04,9,22.266,WAS,,CAR,L 13-21,*,23,39,58.97,215,0,0,74.2,4,29,5.51,5.51,11,53,4.82,0,,0,0,0.0,0,0
10,2012,2012-11-18,10,22.280,WAS,,PHI,W 31-6,*,14,15,93.33,200,4,0,158.3,2,8,13.33,18.67,12,84,7.00,0,,0,0,0.0,0,0
